Experiment	condition	Bh	Bt	Ri	Trehalose	Glucose	Pyruvate	Succinate	Lactate	Formate	Acetate	Butyrate
A6V7_1	E1_c1	0.100359228	0.053445626	0.017123013	0.707072364	10.0202682	10.33036638	0.661754597	0.78942582	0.993358966	2.507462751	0.22714961
A6V7_2	E1_c2	2.360131636	1.050931594	0.020462064	0.553844892	8.689491932	8.348793727	0.991895957	0.841662812	0.819649752	6.159969452	0.299873268
A6V7_3	E1_c3	2.24984467	9.177112773	0.410866222	0.162099536	0.777374915	0.099392449	5.585550539	1.021177334	0.856420158	15.54859196	1.760877031
A6V7_4	E1_c4	2.114266899	5.889452231	0.960802072	0.252398034	0.48171434	0	4.845946446	1.611162967	0.689268991	12.7205451	4.473542575
A6V7_5	E1_c5	0.860357018	4.348999806	0.557833107	0.307071126	0.198472494	0	3.606656404	2.123769161	0.741422092	9.11193047	6.601668637
A6V7_6	E1_c6	0.819150853	4.143729454	1.149901794	0.36181447	0.077390049	0	2.895228247	2.282435003	0.850027491	6.704051014	8.77716109
A6V7_7	E1_c7	0.610574487	5.419235385	2.984634089	0.448288339	0.085248128	0	2.912124887	2.506355062	1.033186256	5.700039613	11.60287079
A6V7_8	E1_c8	0.612917507	0.000329897	0.000412371	0.451882601	0.072384637	0	2.55552443	2.405239837	1.05708023	5.074005678	11.63757714
A6V7_9	E1_c9	0.615260528	5.848708786	4.800871947	0.455476863	0.059521146	0	2.198923973	2.304124613	1.080974205	4.447971742	11.67228349
A6V7_10	E1_c10	0.371130128	6.460413339	4.672917769	0.480411441	0.064781726	0	2.22621243	2.198027569	0.96619359	5.012382234	12.84248877
A6V7_11	E1_c11	2.366263439	5.794480192	4.607202037	0.139877789	0.058459069	0	1.991349771	1.703302131	0.934059166	6.251961924	12.37869438
A6V7_12	E1_c12	1.743214202	2.715923636	2.368371583	0	0.053918213	0	1.854411281	1.27518615	1.068092273	8.275535161	12.96180851
A6V7_13	E1_p1	1.575488151	5.867611515	5.640557441	0	0.05951385	0	2.011935177	1.061420305	1.18374814	9.501430851	15.2017711
A6V7_14	E1_p2	1.271097864	3.703075473	3.767017467	0	0.055825953	0	1.569417579	0.747115689	0.961137688	7.547407905	13.92016429
A6V7_15	E1_p3	1.478221874	2.466378247	3.187928288	0.083761758	0.162788261	0.433060516	1.314021505	0.637448155	0.766669752	6.858907234	12.78788722
A6V7_16	E1_p4	1.050346267	2.448216428	2.192691775	0.16149778	1.910299407	2.630350311	1.411345331	0.78401362	0.758933929	6.218607173	9.970126968
A6V7_17	E1_p5	0.587481583	2.122782643	1.513399334	0.248686742	3.681098643	4.440094407	1.285480839	0.612695045	0.801641408	5.127105799	7.484697176
A6V7_18	E1_p6	0.492892207	0.956868071	0.621044181	0.312081626	4.811491306	5.809945938	1.205187481	0.575746962	0.834341067	4.425401847	5.764759364
A6V7_19	E1_p7	0.583354363	1.009238837	1.207865629	0.407552368	6.580129658	7.904594283	1.373896899	0.614897555	1.012265296	4.496094385	5.017319685
A6V7_20	E1_p8	0.474585552	0.934459497	0.827845751	0.371157544	5.908267693	7.08857117	1.384143108	0.513819627	0.911935548	4.170162806	4.545643833
