species	parameter	value	min	max
bh	xa_mumax	1	0.0001	6
bh	xb_mumax	1	0.0001	6
bh	xa_pHopt	7	6	7.8
bh	xb_pHopt	7	6	7.8
bh	xa_pHalpha	100	10	400
bh	xb_pHalpha	100	10	400
bh	xa_k_s1	0.5	0.001	20
bh	xa_k_s2	0.5	0.001	20
bh	xb_k_s3	0.5	0.001	20
bh	xb_k_s4	0.5	0.001	20
bh	xb_k_s2	0.5	0.001	20
bh	xa_g_s1	1	0	10
bh	xa_g_s2	1	0	10
bh	xa_g_s6_s1	-1	-10	0
bh	xa_g_s5_s1	-1	-10	0
bh	xa_g_s6_s2	-1	-10	0
bh	xb_g_s3	1	0	10
bh	xb_g_s4	1	0	10
bh	xb_g_s2	1	0	10
bh	xb_g_s6_s3_s4	-1	-10	0
bh	xb_g_s6_s2	-1	-10	0
bh	z1_r	0.001	0	2
bh	z2_r	0.001	0	2
bh	z3_r	0.001	0	2
bh	z4_r	0.001	0	2
bh	z5_r	0.001	0	2
bh	z1_l_s1	1	0	10
bh	z2_l_s1	1	0	10
bh	z4_l_s3_s4	1	0	10
bh	z1_h_s1	0	0	50
bh	z2_h_s1	0	0	50
bh	z4_h_s3_s4	0	0	50
bt	xe_mumax	1	0.0001	6
bt	xf_mumax	1	0.0001	6
bt	xe_pHopt	7	6	7.8
bt	xf_pHopt	7	6	7.8
bt	xe_pHalpha	100	10	400
bt	xf_pHalpha	100	10	400
bt	xe_k_s3	0.5	0.001	20
bt	xe_k_s2	0.5	0.001	20
bt	xf_k_s7	0.5	0.001	20
bt	xe_g_s2	1	0	10
bt	xe_g_s3	1	0	10
bt	xe_g_s5_s2	-1	-10	0
bt	xe_g_s6_s2	-1	-10	0
bt	xe_g_s6_s3	-1	-10	0
bt	xe_g_s8_s3	-1	-10	0
bt	xe_g_s9_s2	-1	-10	0
bt	xf_g_s7	1	0	10
bt	xf_g_s6_s7	-1	-10	0
bt	xf_g_s8_s7	-1	-10	0
bt	z6_r	0.001	0	2
bt	z7_r	0.001	0	2
bt	z8_r	0.001	0	2
bt	z9_r	0.001	0	2
bt	z10_r	0.001	0	2
bt	z6_l_s3	1	0	10
bt	z6_l_s7	1	0	10
bt	z7_l_s3	1	0	10
bt	z7_l_pH	5	5	5.5
bt	z8_l_s7	1	0	10
bt	z8_l_pH	5	5	5.5
bt	z10_l_s3	1	0	10
bt	z6_h_s3	0	0	50
bt	z6_h_s7	0	0	50
bt	z7_h_s3	0	0	50
bt	z7_h_pH	0	0	50
bt	z8_h_s7	0	0	50
bt	z8_h_pH	0	0	50
bt	z10_h_s3	0	0	50
ri	xi_mumax	1	0.0001	6
ri	xj_mumax	1	0.0001	6
ri	xi_pHopt	7	6	7.8
ri	xj_pHopt	7	6	7.8
ri	xi_pHalpha	100	10	400
ri	xj_pHalpha	100	10	400
ri	xi_k_s2	0.5	0.001	20
ri	xi_k_s3	0.5	0.001	20
ri	xj_k_s5	0.5	0.001	20
ri	xj_k_s6	0.5	0.001	20
ri	xi_g_s2	1	0	10
ri	xi_g_s3	1	0	10
ri	xj_g_s5	1	0	10
ri	xj_g_s6	1	0	10
ri	xi_g_s5_s3	-1	-10	0
ri	xi_g_s6_s2	-1	-10	0
ri	xi_g_s6_s3	-1	-10	0
ri	xi_g_s10_s2	-1	-10	0
ri	xi_g_s10_s3	-1	-10	0
ri	xj_g_s10_s5	-1	-10	0
ri	xj_g_s10_s6	-1	-10	0
ri	z11_r	0.001	0	2
ri	z12_r	0.001	0	2
ri	z13_r	0.001	0	2
ri	z14_r	0.001	0	2
ri	z15_r	0.001	0	2
ri	z11_l_s5_s6	1	0	10
ri	z12_l_s3_s2	1	0	10
ri	z15_l_s3_s2	1	0	10
ri	z11_h_s5_s6	0	0	50
ri	z12_h_s3_s2	0	0	50
r1	z15_h_s3_s2	0	0	50
