species	parameter	value	min	max
bh	xa_mumax	0.19525183789329806	0.1	1.0
bh	xb_mumax	0.9999999999999886	0.1	1.0
bh	xa_pHopt	6.8839477123170605	6.5	7.5
bh	xb_pHopt	6.5000000000021085	6.5	7.5
bh	xa_pHalpha	18.445004420356447	10.0	400.0
bh	xb_pHalpha	10.000000000006494	10.0	400.0
bh	xa_k_s1	0.4114653830563737	0.1	5.0
bh	xa_k_s2	0.38077321076244064	0.1	5.0
bh	xb_k_s3	0.10000000000138505	0.1	5.0
bh	xb_k_s4	0.1000000009492312	0.1	5.0
bh	xa_g_s1	0.84422643706397	0.5	10.0
bh	xa_g_s2	1.023319702448696	0.5	10.0
bh	xa_g_s6_s1	-1.1275295483036463	-3.0	0.0
bh	xa_g_s5_s1	-2.2587780869214305	-3.0	0.0
bh	xa_g_s6_s2	-0.04559520487324331	-3.0	0.0
bh	xb_g_s3_s4	0.9999999999991398	0.5	1.0
bh	xb_g_s6_s3_s4	-2.8809134520836466	-3.0	0.0
bh	z1_r	0.08787331800678001	1e-05	1.0
bh	z2_r	0.02060401850176916	1e-05	1.0
bh	z3_r	0.9999999999999987	1e-05	1.0
bh	z4_r	0.026098851597709832	1e-05	1.0
bh	z1_l_s1	1.6085011244726389e-07	0.0	0.01
bh	z1_l_s3	0.11038758308833178	0.01	3.0
bh	z3_l_s3_s4	0.009999999999999995	0.0	0.01
bh	z1_h_s1	8.510191835760267	1.0	10.0
bh	z1_h_s3	1.0286365662997652	1.0	10.0
bh	z3_h_s3_s4	1.0	1.0	10.0
bh	z14_r	0.04716345736042865	1e-05	1.0
bh	z14_l_s1	0.00226687798374595	0.0	0.01
bh	z14_h_s1	5.366590560563582	1.0	10.0
