species	parameter	value	min	max
bh	xa_mumax	0.13183206440420384	0.1	1.0
bh	xb_mumax	0.8674450541260166	0.1	1.0
bh	xa_pHopt	6.5211363320185045	6.5	7.5
bh	xb_pHopt	6.500361246945862	6.5	7.5
bh	xa_pHalpha	10.02529771692333	10.0	400.0
bh	xb_pHalpha	58.91425869214234	50.0	400.0
bh	xa_k_s1	0.301183293216606	0.1	5.0
bh	xa_k_s2	0.12527144460832956	0.1	5.0
bh	xb_k_s3	0.10019191541104908	0.1	5.0
bh	xb_k_s4	0.10000870094195453	0.1	5.0
bh	xb_k_s2	2.2536491256026414	0.1	5.0
bh	xa_g_s1	0.726982095185684	0.5	10.0
bh	xa_g_s2	1.0492470321324885	0.5	10.0
bh	xa_g_s6_s1	-0.7016041800771973	-3.0	0.0
bh	xa_g_s5_s1	-1.8823962886925107	-3.0	0.0
bh	xa_g_s6_s2	-0.0012946913002194194	-3.0	0.0
bh	xb_g_s3_s4	1.3044983716169152	0.5	2.0
bh	xb_g_s2	0.9785839788233236	0.5	1.0
bh	xb_g_s6_s3_s4	-2.713238422266894	-3.0	0.0
bh	xb_g_s6_s2	-0.6294646050878479	-3.0	0.0
bh	z1_r	0.11117228549943156	1e-05	1.0
bh	z2_r	0.4085173930904602	1e-05	1.0
bh	z3_r	0.9999929324696202	1e-05	1.0
bh	z4_r	0.0358429330351278	1e-05	1.0
bh	z1_l_s1	4.349878631787485e-07	0.0	0.01
bh	z2_l_s1	1.7206341688280614e-07	0.0	0.01
bh	z3_l_s3_s4	0.0099999999997443	0.0	0.01
bh	z1_h_s1	9.999892346623781	1.0	10.0
bh	z2_h_s1	6.127987000675784	1.0	10.0
bh	z3_h_s3_s4	1.0000000000000004	1.0	10.0
