species	parameter	value	min	max
bt	xe_mumax	0.9763876340422369	0.8	1.0
bt	xf_mumax	0.9114559373930224	0.5	1.0
bt	xe_pHopt	7.544329190488671	6.5	7.8
bt	xf_pHopt	7.140702896628859	6.5	7.8
bt	xe_pHalpha	65.96574256712981	65.0	400.0
bt	xf_pHalpha	65.00095672893339	65.0	400.0
bt	xe_k_s3	0.10000000000001415	0.1	5.0
bt	xe_k_s2	4.9999999999995035	0.1	5.0
bt	xf_k_s7	0.11449682048218576	0.1	5.0
bt	xe_g_s2	2.554392138276675	0.5	10.0
bt	xe_g_s3	1.4881044792898561	0.5	10.0
bt	xe_g_s5_s2	-1.5352633662178015	-3.0	0.0
bt	xe_g_s6_s2	-0.18214405836242697	-3.0	0.0
bt	xe_g_s6_s3	-1.2678702126911128	-3.0	0.0
bt	xe_g_s8_s3	-1.017397763684596	-3.0	0.0
bt	xe_g_s9_s2	-0.3884677026956824	-3.0	0.0
bt	xf_g_s7	0.5185387820307681	0.5	10.0
bt	xf_g_s6_s7	-1.3974596912976567	-3.0	0.0
bt	xf_g_s8_s7	-2.093081213901327	-3.0	0.0
bt	z6_r	0.4965408482369645	1e-05	1.0
bt	z7_r	0.13996920959194076	1e-05	1.001
bt	z8_r	0.04929421905792542	1e-05	1.0
bt	z9_r	0.0022405682789532894	1e-05	1.0
bt	z6_l_s3	0.009999999999583113	1e-08	0.01
bt	z6_l_s7	2.141039694090577	0.5	5.0
bt	z7_l_s3	2.595207343685953e-06	1e-08	0.01
bt	z8_l_s7	0.01727664562264107	1e-08	5.0
bt	z6_h_s3	1.0000000000126987	1.0	10.0
bt	z6_h_s7	1.4161763290617757	1.0	10.0
bt	z7_h_s3	1.000000000049472	1.0	10.0
bt	z8_h_s7	9.999999999998206	1.0	10.0
