species	parameter	value	min	max
bhbtri	xe_mumax	0.8540998031574464	0.8	1.2
bhbtri	xf_mumax	1.1999999592665587	0.5	1.2
bhbtri	xe_pHopt	7.522727889129856	6.5	7.8
bhbtri	xf_pHopt	7.268981164962311	6.5	7.8
bhbtri	xe_pHalpha	58.904987405833126	35.0	400.0
bhbtri	xf_pHalpha	64.91651383700254	35.0	400.0
bhbtri	xe_k_s3	0.4769067833740968	0.01	5.0
bhbtri	xe_k_s2	4.992209178575512	0.1	5.0
bhbtri	xf_k_s7	0.09386916121206439	0.01	5.0
bhbtri	xe_g_s2	2.670606942776944	0.5	10.0
bhbtri	xe_g_s3	1.0644696405838285	0.5	10.0
bhbtri	xe_g_s5_s2	-1.4385374232419625	-3.0	0.0
bhbtri	xe_g_s6_s2	-1.7763568394002505e-15	-3.0	0.0
bhbtri	xe_g_s6_s3	-1.1572988373105177	-3.0	0.0
bhbtri	xe_g_s8_s3	-0.7488666489042162	-3.0	0.0
bhbtri	xe_g_s9_s2	-0.4676001437134758	-3.0	0.0
bhbtri	xf_g_s7	0.5103572218257796	0.05	10.0
bhbtri	xf_g_s6_s7	-0.9437144831948983	-3.0	0.0
bhbtri	xf_g_s8_s7	-2.2252959844512943	-3.0	0.0
bhbtri	z6_r	0.6627754124550728	1e-05	1.0
bhbtri	z7_r	0.8258585715710969	1e-05	1.001
bhbtri	z8_r	0.07373778805911374	1e-05	1.0
bhbtri	z9_r	0.0043251657974152724	1e-05	1.0
bhbtri	z6_l_s3	0.0099999999997298	1e-08	0.01
bhbtri	z6_l_s7	0.6580689937119183	0.5	5.0
bhbtri	z7_l_s3	0.0024501849068351727	1e-08	0.01
bhbtri	z8_l_s7	2.5451592515683125e-05	1e-08	5.0
bhbtri	z6_h_s3	1.0000000000032119	1.0	10.0
bhbtri	z6_h_s7	1.8673945445353506	1.0	10.0
bhbtri	z7_h_s3	2.046913061939687	1.0	20.0
bhbtri	z8_h_s7	29.999999991966156	1.0	30.0
bhbtri	xi_mumax	0.607647978459035	0.5	1.0
bhbtri	xj_mumax	0.01284664281258055	0.0001	0.1
bhbtri	xi_pHopt	7.749332522328661	6.5	7.8
bhbtri	xj_pHopt	7.176817630681404	6.5	7.8
bhbtri	xi_pHalpha	39.56620824859891	10.0	60.0
bhbtri	xj_pHalpha	10.706926825073957	5.0	20.0
bhbtri	xi_k_s2	0.32006504488878046	0.1	10.0
bhbtri	xi_k_s3	3.006952556340256	0.1	10.0
bhbtri	xj_k_s5	9.622691618283422	0.1	10.0
bhbtri	xj_k_s6	1.3414476400660087	0.001	5.0
bhbtri	xi_g_s2	5.341754337412022	0.05	10.0
bhbtri	xi_g_s3	1.4039270309929512	0.5	3.0
bhbtri	xj_g_s5	2.2370223579145323	0.5	10.0
bhbtri	xj_g_s6	1.0052452351341832	0.5	20.0
bhbtri	xi_g_s5_s3	-0.32531541736939307	-3.0	0.0
bhbtri	xi_g_s6_s2	-0.09553126799080314	-3.0	0.0
bhbtri	xi_g_s6_s3	-0.796570463129568	-3.0	0.0
bhbtri	xi_g_s10_s2	-2.9929716250296994	-3.0	0.0
bhbtri	xi_g_s10_s3	-1.938702443027296e-08	-3.0	0.0
bhbtri	xj_g_s10_s5	-2.2538300362162738	-3.0	0.0
bhbtri	xj_g_s10_s6	-7.166338633624036e-10	-3.0	0.0
bhbtri	z11_r	0.019450074497640125	0.01	1.0
bhbtri	z12_r	0.9999999996960064	1e-05	1.0
bhbtri	z13_r	0.00999999999999966	1e-05	0.01
bhbtri	z14_r	1.0000000032917785e-05	1e-05	1.0
bhbtri	z15_r	0.23107195121395196	0.0	1.0
bhbtri	z11_l_s5	2.6093566497477365	1.0	5.0
bhbtri	z12_l_s3_s2	0.000718646007670494	1e-08	0.1
bhbtri	z11_h_s5	19.999999999993058	1.0	20.0
bhbtri	z12_h_s3_s2	1.0000000000016087	1.0	10.0
