species	parameter	value	min	max
ri	xi_mumax	0.5268637708160697	0.5	6.0
ri	xj_mumax	0.0003639772109193723	0.0001	0.1
ri	xi_pHopt	7.7938698723927615	6.5	7.8
ri	xj_pHopt	7.342720532077539	6.5	7.8
ri	xi_pHalpha	19.23049650003201	10.0	20.0
ri	xj_pHalpha	18.99906756027615	5.0	20.0
ri	xi_k_s2	5.010544318778625	0.001	20.0
ri	xi_k_s3	2.170060983455258	0.001	20.0
ri	xj_k_s5	0.7710892898648388	0.001	20.0
ri	xj_k_s6	0.0010000000011345911	0.001	20.0
ri	xi_g_s2	1.5222138880795033	0.0	10.0
ri	xi_g_s3	4.344994756865298	0.0	10.0
ri	xj_g_s5	17.866889358933676	0.0	20.0
ri	xj_g_s6	19.99999999997454	0.0	20.0
ri	xi_g_s5_s3	-0.7850044583228453	-10.0	0.0
ri	xi_g_s6_s2	-0.1668348218385205	-10.0	0.0
ri	xi_g_s6_s3	-1.4587582717617114	-10.0	0.0
ri	xi_g_s10_s2	-1.3434129676226512	-10.0	0.0
ri	xi_g_s10_s3	-0.26075499610409203	-10.0	0.0
ri	xj_g_s10_s5	-9.999999999999595	-10.0	0.0
ri	xj_g_s10_s6	-9.999999999999998	-10.0	0.0
ri	z10_r	0.016668860681923185	0.005	1.0
ri	z11_r	0.08551789395857542	0.01	1.0
ri	z12_r	8.341122237354171e-14	0.0	0.0001
ri	z13_r	0.012973661208529719	0.0	1.0
ri	z10_l_s5	0.008142993232242435	0.0	5.0
ri	z11_l_s3	2.9518222849356235e-07	0.0	1.0
ri	z10_h_s5	0.27356725373914925	0.0	10.0
ri	z11_h_s3	0.7446372289915115	0.0	10.0
