time	experiment	replicate	acetate
0	AMBR7	A	10.25470332
12	AMBR7	A	1.898332218
24	AMBR7	A	2.294077868
36	AMBR7	A	11.55255194
48	AMBR7	A	14.79287237
60	AMBR7	A	10.98972758
72	AMBR7	A	0.82994496
84	AMBR7	A	18.19261274
96	AMBR7	A	20.46022689
108	AMBR7	A	17.22076936
120	AMBR7	A	16.80557322
132	AMBR7	A	14.74507595
144	AMBR7	A	16.62311796
156	AMBR7	A	15.19090229
168	AMBR7	A	17.32391022
180	AMBR7	A	16.69418216
192	AMBR7	A	19.58856639
204	AMBR7	A	18.06378186
216	AMBR7	A	22.49650643
228	AMBR7	A	20.5258305
240	AMBR7	A	24.34788167
252	AMBR7	A	20.90242177
0	AMBR7	B	2.364104335
12	AMBR7	B	12.13897125
24	AMBR7	B	6.452213362
36	AMBR7	B	9.99804221
48	AMBR7	B	10.72484019
60	AMBR7	B	9.416194758
72	AMBR7	B	19.34712567
84	AMBR7	B	17.54301686
96	AMBR7	B	18.46409819
108	AMBR7	B	16.29985641
120	AMBR7	B	16.66091925
132	AMBR7	B	14.65089608
144	AMBR7	B	15.03746814
156	AMBR7	B	14.02820039
168	AMBR7	B	15.9941734
180	AMBR7	B	15.39517312
192	AMBR7	B	17.89152264
204	AMBR7	B	16.41708689
216	AMBR7	B	19.46126233
228	AMBR7	B	18.21118143
240	AMBR7	B	20.97053756
252	AMBR7	B	19.87053295
0	AMBR7	C	2.321026376
12	AMBR7	C	12.02510533
24	AMBR7	C	6.289941627
36	AMBR7	C	9.050540929
48	AMBR7	C	10.352882
60	AMBR7	C	8.613370404
72	AMBR7	C	17.69238523
84	AMBR7	C	16.27344698
96	AMBR7	C	17.14594168
108	AMBR7	C	16.41966412
120	AMBR7	C	16.82714771
132	AMBR7	C	14.53464043
144	AMBR7	C	15.2302017
156	AMBR7	C	14.45786022
168	AMBR7	C	16.23488802
180	AMBR7	C	15.88222749
192	AMBR7	C	17.84702477
204	AMBR7	C	18.0464243
216	AMBR7	C	21.73999472
228	AMBR7	C	21.32593699
240	AMBR7	C	22.94904275
252	AMBR7	C	20.42851759
0	AMBR7	D	2.308642231
12	AMBR7	D	11.9349989
24	AMBR7	D	6.136141076
36	AMBR7	D	9.126466851
48	AMBR7	D	10.0533589
60	AMBR7	D	10.10890806
72	AMBR7	D	18.37770645
84	AMBR7	D	15.77307309
96	AMBR7	D	16.08934245
108	AMBR7	D	16.22924758
120	AMBR7	D	16.17908439
132	AMBR7	D	14.30459539
144	AMBR7	D	14.53527278
156	AMBR7	D	14.31854247
168	AMBR7	D	17.24737587
180	AMBR7	D	15.82906518
192	AMBR7	D	17.82467729
204	AMBR7	D	17.36970723
216	AMBR7	D	20.03890815
228	AMBR7	D	19.90593686
240	AMBR7	D	22.33422704
252	AMBR7	D	21.51884275
0	AMBR7	E	2.276648561
12	AMBR7	E	12.18407851
24	AMBR7	E	6.273722489
36	AMBR7	E	9.270715196
48	AMBR7	E	10.02490797
60	AMBR7	E	8.161533393
72	AMBR7	E	16.08488826
84	AMBR7	E	15.05439807
96	AMBR7	E	17.09678107
108	AMBR7	E	15.05542743
120	AMBR7	E	16.0816739
132	AMBR7	E	14.58991599
144	AMBR7	E	15.7555663
156	AMBR7	E	14.65827189
168	AMBR7	E	16.03775289
180	AMBR7	E	16.49309126
192	AMBR7	E	20.28901808
204	AMBR7	E	19.67887084
216	AMBR7	E	20.97674242
228	AMBR7	E	19.12803625
240	AMBR7	E	19.85514993
252	AMBR7	E	19.57573955
0	AMBR7	F	2.306919773
12	AMBR7	F	12.38688566
24	AMBR7	F	6.299453174
36	AMBR7	F	8.894415705
48	AMBR7	F	9.810246905
60	AMBR7	F	15.54960697
72	AMBR7	F	16.25748422
84	AMBR7	F	14.72140159
96	AMBR7	F	14.73186549
108	AMBR7	F	15.11070682
120	AMBR7	F	16.0065927
132	AMBR7	F	15.67536795
144	AMBR7	F	16.5739363
156	AMBR7	F	14.59584151
168	AMBR7	F	15.67505512
180	AMBR7	F	15.4289775
192	AMBR7	F	16.61079433
204	AMBR7	F	14.36308244
216	AMBR7	F	15.18854892
228	AMBR7	F	15.10607086
240	AMBR7	F	15.99289531
252	AMBR7	F	13.87865792
0	AMBR7	G	2.291841208
12	AMBR7	G	11.78487765
24	AMBR7	G	6.326461473
36	AMBR7	G	8.992840251
48	AMBR7	G	10.42585664
60	AMBR7	G	8.419581652
72	AMBR7	G	16.81731521
84	AMBR7	G	16.64916578
96	AMBR7	G	17.87315677
108	AMBR7	G	15.30057041
120	AMBR7	G	14.68001476
132	AMBR7	G	13.40850287
144	AMBR7	G	16.32970215
156	AMBR7	G	15.18153281
168	AMBR7	G	15.39377449
180	AMBR7	G	14.91746623
192	AMBR7	G	16.99887694
204	AMBR7	G	21.20377208
216	AMBR7	G	19.15583283
228	AMBR7	G	18.61275863
240	AMBR7	G	20.06276522
252	AMBR7	G	18.3317889
0	AMBR7	H	2.250265676
12	AMBR7	H	12.18682698
24	AMBR7	H	6.082205794
36	AMBR7	H	9.078564239
48	AMBR7	H	9.820704107
60	AMBR7	H	8.097639328
72	AMBR7	H	14.84927295
84	AMBR7	H	16.82306853
96	AMBR7	H	16.34424331
108	AMBR7	H	15.48834562
120	AMBR7	H	14.70497869
132	AMBR7	H	13.46676797
144	AMBR7	H	14.76018823
156	AMBR7	H	14.50007934
168	AMBR7	H	15.23069055
180	AMBR7	H	14.67753415
192	AMBR7	H	15.84487679
204	AMBR7	H	23.53493877
216	AMBR7	H	18.66799209
228	AMBR7	H	18.36232726
240	AMBR7	H	19.74688331
252	AMBR7	H	18.60894731
0	AMBR7	J	2.255440465
12	AMBR7	J	11.85098637
24	AMBR7	J	6.112299307
36	AMBR7	J	8.843205935
48	AMBR7	J	9.7526572
60	AMBR7	J	10.37475211
72	AMBR7	J	17.50246041
84	AMBR7	J	14.94975526
96	AMBR7	J	16.81463848
108	AMBR7	J	14.3950443
120	AMBR7	J	14.87615306
132	AMBR7	J	13.91699302
144	AMBR7	J	15.8471278
156	AMBR7	J	15.04004728
168	AMBR7	J	16.33263717
180	AMBR7	J	15.47702552
192	AMBR7	J	16.7410315
204	AMBR7	J	23.7872911
216	AMBR7	J	18.99173962
228	AMBR7	J	18.66188672
240	AMBR7	J	20.18336696
252	AMBR7	J	20.12968519
0	AMBR7	K	2.348320236
12	AMBR7	K	11.68358983
24	AMBR7	K	6.192253705
36	AMBR7	K	8.873897358
48	AMBR7	K	10.32372314
60	AMBR7	K	8.334081522
72	AMBR7	K	8.687276826
84	AMBR7	K	15.77288367
96	AMBR7	K	20.12520995
108	AMBR7	K	17.26008408
120	AMBR7	K	17.40173415
132	AMBR7	K	13.71885627
144	AMBR7	K	14.35490399
156	AMBR7	K	12.85392679
168	AMBR7	K	15.23027823
180	AMBR7	K	14.87357774
192	AMBR7	K	16.31656344
204	AMBR7	K	19.91317683
216	AMBR7	K	18.37718029
228	AMBR7	K	18.81304403
240	AMBR7	K	20.40763954
252	AMBR7	K	19.07194562
0	AMBR7	L	2.348320236
12	AMBR7	L	11.68358983
24	AMBR7	L	6.192253705
36	AMBR7	L	8.873897358
48	AMBR7	L	10.32372314
60	AMBR7	L	8.334081522
72	AMBR7	L	8.687276826
84	AMBR7	L	15.77288367
96	AMBR7	L	20.12520995
108	AMBR7	L	17.26008408
120	AMBR7	L	17.40173415
132	AMBR7	L	13.71885627
144	AMBR7	L	14.35490399
156	AMBR7	L	12.85392679
168	AMBR7	L	15.23027823
180	AMBR7	L	14.87357774
192	AMBR7	L	16.31656344
204	AMBR7	L	19.91317683
216	AMBR7	L	18.37718029
228	AMBR7	L	18.81304403
240	AMBR7	L	20.40763954
252	AMBR7	L	19.07194562
0	AMBR7	M	2.517077618
12	AMBR7	M	11.5829688
24	AMBR7	M	6.637601722
36	AMBR7	M	9.180725482
48	AMBR7	M	11.56307132
60	AMBR7	M	9.283928522
72	AMBR7	M	14.99144536
84	AMBR7	M	20.71342682
96	AMBR7	M	19.54337781
108	AMBR7	M	16.08139456
120	AMBR7	M	21.93309947
132	AMBR7	M	17.67909154
144	AMBR7	M	18.1168705
156	AMBR7	M	10.91488842
168	AMBR7	M	24.30964989
180	AMBR7	M	20.80089383
192	AMBR7	M	17.53757158
204	AMBR7	M	21.21441392
216	AMBR7	M	22.54614154
228	AMBR7	M	22.43454767
240	AMBR7	M	24.4947723
252	AMBR7	M	22.47934977
