Experiment	trehalose	glucose	pyruvate	succinate	lactate	formate	acetate	butyrate	Blautia hydrogenotrophica	Bacteroides thetaiotaomicron	Roseburia intinalis
A6_v7	0.511260313	0.998808963	2.260441012	9.392857717	3.710781526	1.652290083	11.22479602	0.066213676	0	7.028772278	0.001427722
A6_v8	0.501442277	0.560434343	1.27527059	9.860717919	5.252328143	1.636674274	11.84356368	0.248797687	0	7.924811374	0.001702463
A6_v9	0.504937478	0.559475991	1.417354217	10.17443528	4.746717779	1.78409944	12.00002469	0.163477898	0	7.49386083	0.001648017
A6_v11	0.481503847	0.302410522	0.688872073	10.52727456	4.634784036	1.629802178	12.19400381	0.208184359	0	8.360302783	0.001277497
A6_v12	0.387519555	0.024039393	0	5.441880253	2.485808904	1.414685843	4.343083074	12.17047831	0	14.23789959	3.481537498
A7_c1v1	0	0.032513868	0	2.436914796	2.051453398	0.673565752	20.90242177	12.4748346	8.178329813	11.25007155	9.677690279
A7_c1v2	0	0.028958839	0	1.765996478	2.223032012	0.635294668	19.87053295	13.16629928	9.211629961	9.861970123	5.956884488
A7_c1v8	0	0.025494119	0	1.867722509	1.891933138	0.59090023	18.60894731	12.18398676	8.957434996	10.52386681	6.157676907
A7_c1v6	0	0.024846692	0	1.050381545	1.045728801	0.722393966	13.87865792	14.8915113	6.946610068	4.931591588	4.977637609
A7_c1v3	0	0.022718603	0	1.831465654	2.207053204	0.613391487	20.42851759	12.21266006	10.52377895	8.662849726	5.014326098
A7_c1v4	0	0.034673197	0	2.45982995	2.374474441	0.553995037	21.51884275	11.9914739	10.04647742	10.18434076	3.136599819
A7_c1v5	0	0.03443292	0	2.088793289	1.953201645	0.640908891	19.57573955	12.0336189	11.12835594	9.545625748	3.457476179
A7_c1v11	0	0.056212959	0	2.230063771	2.093479107	0.570816962	22.00452719	11.67489717	10.78959718	11.26247945	4.506173987
A7_c1v12	0	0.029642141	0	2.061935533	1.586222394	0.604374533	22.47934977	11.38928864	11.01501551	10.76316734	4.086962874
A7_c1v7	0	0.033976809	0	2.276422796	1.918961161	0.599234134	18.3317889	12.44713603	8.876324947	14.41072622	3.53377954
A7_c1v9	0	0.052161297	0	2.201814638	1.883062684	0.590091927	20.12968519	11.87508479	7.80869617	8.375019927	6.495434974
A7_c1v10	0	0.033997068	0	2.151447982	1.836663889	0.595901861	19.07194562	12.21627144	9.577699191	14.53331247	6.145248601
A6_v10	0	0.035780036	0	2.666686473	0.94568111	1.07651738	24.18743523	12.25716519	10.68821775	11.30471813	1.425855788
A7_c2v7	0	0	0	0.847577184	0	0.672172097	20.40801455	10.04084973	7.076201297	10.2478823	0.715779272
A7_c2v8	0	0	0	0.78664357	0	0.706508321	20.83579837	9.566914812	7.967928476	9.854724403	0.425115107
A7_c2v9	0	0	0	0.741617725	0	0.667203311	21.7204139	8.611403299	7.218042663	9.059353725	0.261476501
A7_c2v10	0	0	0	0.872056341	0	0.691722189	20.88825753	8.80122715	0	16.08704	0
A7_c2v11	0	0	0	0.741902268	0	0.734247577	23.54190705	8.353366555	10.27342672	10.1078602	0.336179798
A7_c2v12	0	0	0	0.808354189	0	0.743588952	24.59393156	7.625320008	10.02183422	14.06164337	0.063978878
