Vessel	Condition	Description	Label	Time (h)	Time in condition (h)	Pyruvate (mM)	Glucose (mM)	Trehalose (mM)	Acetate (mM)	Lactate (mM)	Succinate (mM)	Formate (mM)	Butyrate (mM)	Blautia hydrogenotrophica (10^5 cells/uL)	Bacteroides thetaiotaomicron (10^5 cells/uL)	Roseburia intestinalis (10^5 cells/uL)
A6_C2_V7	control	control conditions	E1_C1	0	0	10.33036638	10.0202682	0.707072364	2.507462751	0.78942582	0.661754597	0.993358966	0.22714961	0.100359228	0.053445626	0.017123013
A6_C2_V7	control	control conditions	E1_C2	8	8	8.348793727	8.689491932	0.553844892	6.159969452	0.841662812	0.991895957	0.819649752	0.299873268	2.360131636	1.050931594	0.020462064
A6_C2_V7	control	control conditions	E1_C3	16	16	0.099392449	0.777374915	0.162099536	15.54859196	1.021177334	5.585550539	0.856420158	1.760877031	2.24984467	9.177112773	0.410866222
A6_C2_V7	control	control conditions	E1_C4	24	24	0	0.48171434	0.252398034	12.7205451	1.611162967	4.845946446	0.689268991	4.473542575	2.114266899	5.889452231	0.960802072
A6_C2_V7	control	control conditions	E1_C5	32	32	0	0.198472494	0.307071126	9.11193047	2.123769161	3.606656404	0.741422092	6.601668637	0.860357018	4.348999806	0.557833107
A6_C2_V7	control	control conditions	E1_C6	40	40	0	0.077390049	0.36181447	6.704051014	2.282435003	2.895228247	0.850027491	8.77716109	0.819150853	4.143729454	1.149901794
A6_C2_V7	control	control conditions	E1_C7	48	48	0	0.085248128	0.448288339	5.700039613	2.506355062	2.912124887	1.033186256	11.60287079	0.610574487	5.419235385	2.984634089
A6_C2_V7	control	control conditions	E1_C8	56	56	0	0.072384637	0.451882601	5.074005678	2.405239837	2.55552443	1.05708023	11.63757714	0.612917507	0.000329897	0.000412371
A6_C2_V7	control	control conditions	E1_C9	64	64	0	0.059521146	0.455476863	4.447971742	2.304124613	2.198923973	1.080974205	11.67228349	0.615260528	5.848708786	4.800871947
A6_C2_V7	control	control conditions	E1_C10	72	72	0	0.064781726	0.480411441	5.012382234	2.198027569	2.22621243	0.96619359	12.84248877	0.371130128	6.460413339	4.672917769
A6_C2_V7	control	control conditions	E1_C11	80	80	0	0.058459069	0.139877789	6.251961924	1.703302131	1.991349771	0.934059166	12.37869438	2.366263439	5.794480192	4.607202037
A6_C2_V7	control	control conditions	E1_C12	88	88	0	0.053918213	0	8.275535161	1.27518615	1.854411281	1.068092273	12.96180851	1.743214202	2.715923636	2.368371583
A6_C2_V7	perturbation	ongoing pH perturbation	E1_P1	96	8	0	0.05951385	0	9.501430851	1.061420305	2.011935177	1.18374814	15.2017711	1.575488151	5.867611515	5.640557441
A6_C2_V7	perturbation	ongoing pH perturbation	E1_P2	104	16	0	0.055825953	0	7.547407905	0.747115689	1.569417579	0.961137688	13.92016429	1.271097864	3.703075473	3.767017467
A6_C2_V7	perturbation	post pH perturbation	E1_P3	112	24	0.433060516	0.162788261	0.083761758	6.858907234	0.637448155	1.314021505	0.766669752	12.78788722	1.478221874	2.466378247	3.187928288
A6_C2_V7	perturbation	post pH perturbation	E1_P4	120	8	2.630350311	1.910299407	0.16149778	6.218607173	0.78401362	1.411345331	0.758933929	9.970126968	1.050346267	2.448216428	2.192691775
A6_C2_V7	perturbation	post pH perturbation	E1_P5	128	16	4.440094407	3.681098643	0.248686742	5.127105799	0.612695045	1.285480839	0.801641408	7.484697176	0.587481583	2.122782643	1.513399334
A6_C2_V7	perturbation	post pH perturbation	E1_P6	136	24	5.809945938	4.811491306	0.312081626	4.425401847	0.575746962	1.205187481	0.834341067	5.764759364	0.492892207	0.956868071	0.621044181
A6_C2_V7	perturbation	post pH perturbation	E1_P7	144	32	7.904594283	6.580129658	0.407552368	4.496094385	0.614897555	1.373896899	1.012265296	5.017319685	0.583354363	1.009238837	1.207865629
A6_C2_V7	perturbation	ongoing feed perturbation	E1_P8	152	2	7.08857117	5.908267693	0.371157544	4.170162806	0.513819627	1.384143108	0.911935548	4.545643833	0.474585552	0.934459497	0.827845751
A6_C2_V7	perturbation	ongoing feed perturbation	E1_P9	160	10	7.051410448	5.856115696	0.368474505	4.315380722	0.516546075	1.529662647	0.916843724	4.593870578	0.42628506	1.273759359	0.762004961
A6_C2_V7	perturbation	ongoing feed perturbation	E1_P10	168	18	9.973908562	8.449694101	0.494710596	3.288922357	0.611178628	1.133870453	1.091227239	2.058793743	0.189029126	0.552357836	0.385832178
A6_C2_V7	perturbation	post pH/feed perturbation	E1_P11	176	26	9.823965334	8.266194219	0.482526622	2.906984577	0.548143005	0.980874422	1.049099298	1.467856489	0.155957647	0.284761503	0.21168685
