Vessel	Condition	Description	Label	Time (h)	Time in condition (h)	Pyruvate (mM)	Glucose (mM)	Trehalose (mM)	Acetate (mM)	Lactate (mM)	Succinate (mM)	Formate (mM)	Butyrate (mM)	Blautia hydrogenotrophica (10^5 cells/uL)	Bacteroides thetaiotaomicron (10^5 cells/uL)	Roseburia intestinalis (10^5 cells/uL)
A7_C1_V1	control	control conditions	E2_C31	252	252	0	0.032513868	0	20.90242177	2.051453398	2.436914796	0.673565752	12.4748346	8.178329813	11.25007155	9.677690279
A7_C1_V2	control	control conditions	E2_C31	252	252	0	0.028958839	0	19.87053295	2.223032012	1.765996478	0.635294668	13.16629928	9.211629961	9.861970123	5.956884488
A7_C1_V3	control	control conditions	E2_C31	252	252	0	0.022718603	0	20.42851759	2.207053204	1.831465654	0.613391487	12.21266006	10.52377895	8.662849726	5.014326098
A7_C1_V4	control	control conditions	E2_C31	252	252	0	0.034673197	0	21.51884275	2.374474441	2.45982995	0.553995037	11.9914739	10.04647742	10.18434076	3.136599819
A7_C1_V5	control	control conditions	E2_C31	252	252	0	0.03443292	0	19.57573955	1.953201645	2.088793289	0.640908891	12.0336189	11.12835594	9.545625748	3.457476179
A7_C1_V6	control	control conditions	E2_C31	252	252	0	0.024846692	0	13.87865792	1.045728801	1.050381545	0.722393966	14.8915113	6.946610068	4.931591588	4.977637609
A7_C1_V7	control	control conditions	E2_C31	252	252	0	0.033976809	0	18.3317889	1.918961161	2.276422796	0.599234134	12.44713603	8.876324947	14.41072622	3.53377954
A7_C1_V8	control	control conditions	E2_C31	252	252	0	0.025494119	0	18.60894731	1.891933138	1.867722509	0.59090023	12.18398676	8.957434996	10.52386681	6.157676907
A7_C1_V9	control	control conditions	E2_C31	252	252	0	0.052161297	0	20.12968519	1.883062684	2.201814638	0.590091927	11.87508479	7.80869617	8.375019927	6.495434974
A7_C1_V10	control	control conditions	E2_C31	252	252	0	0.033997068	0	19.07194562	1.836663889	2.151447982	0.595901861	12.21627144	9.577699191	14.53331247	6.145248601
A7_C1_V11	control	control conditions	E2_C31	252	252	0	0.056212959	0	22.00452719	2.093479107	2.230063771	0.570816962	11.67489717	10.78959718	11.26247945	4.506173987
A7_C1_V12	control	control conditions	E2_C31	252	252	0	0.029642141	0	22.47934977	1.586222394	2.061935533	0.604374533	11.38928864	11.01501551	10.76316734	4.086962874
A8_C2_V2	control	control conditions	E3_C9	400	400	0.094923348	0.031938931	0.635461969	8.335066942	0.129129663	0.129129663	1.054593373	14.6418108	1.064245159	7.022957783	1.399997057
A8_C2_V9	control	control conditions	E3_C9	400	400	0.122409266	0.040782322	0.563604629	9.868189569	0.188908193	0.99283919	1.159702336	14.06066814	0.146710612	1.565011935	2.490377453
A6_C2_V7	perturbation	post pH/feed perturbation	E1_P27	308	158	2.260441012	0.998808963	0.511260313	11.22479602	3.710781526	9.392857717	1.652290083	0.066213676	0	7.028772278	0.001427722
A6_C2_V8	perturbation	post pH/feed perturbation	E1_P27	308	158	1.27527059	0.560434343	0.501442277	11.84356368	5.252328143	9.860717919	1.636674274	0.248797687	0	7.924811374	0.001702463
A6_C2_V9	perturbation	post pH/feed perturbation	E1_P27	308	158	1.417354217	0.559475991	0.504937478	12.00002469	4.746717779	10.17443528	1.78409944	0.163477898	0	7.49386083	0.001648017
A6_C2_V10	perturbation	post pH/feed perturbation	E1_P27	308	158	0	0.035780036	0	24.18743523	0.94568111	2.666686473	1.07651738	12.25716519	10.68821775	11.30471813	1.425855788
A6_C2_V11	perturbation	post pH/feed perturbation	E1_P27	308	158	0.688872073	0.302410522	0.481503847	12.19400381	4.634784036	10.52727456	1.629802178	0.208184359	0	8.360302783	0.001277497
A6_C2_V12	perturbation	post pH/feed perturbation	E1_P27	308	158	0	0.024039393	0.387519555	4.343083074	2.485808904	5.441880253	1.414685843	12.17047831	0	14.23789959	3.481537498
A8_C1_V2	perturbation	post pH/feed perturbation	E3_P14	400	136	0.112762094	0.033238527	0.464149128	3.169054653	0.127606683	2.948358794	1.085843346	13.06625559	0.028109605	4.651637606	1.68055279
A8_C1_V6	perturbation	post pH/feed perturbation	E3_P14	400	136	4.687914717	4.006225493	0.382591062	7.69659262	0.924744449	5.999153019	1.595315155	6.857476223	0.004283358	1.103453845	0.008262797
A8_C1_V8	perturbation	post pH/feed perturbation	E3_P14	400	136	0.111607313	0.106754646	0.622642041	3.703738427	0.488691718	4.355031925	1.487864856	11.74262229	0.022772477	3.76733437	1.526793152
A7_C2_V7	perturbation	post feed perturbation	E2_P25	258	138	0	0	0	20.40801455	0	0.847577184	0.672172097	10.04084973	7.076201297	10.2478823	0.715779272
A7_C2_V8	perturbation	post feed perturbation	E2_P25	258	138	0	0	0	20.83579837	0	0.78664357	0.706508321	9.566914812	7.967928476	9.854724403	0.425115107
A7_C2_V9	perturbation	post feed perturbation	E2_P25	258	138	0	0	0	21.7204139	0	0.741617725	0.667203311	8.611403299	7.218042663	9.059353725	0.261476501
A7_C2_V10	perturbation	post feed perturbation	E2_P25	258	138	0	0	0	20.88825753	0	0.872056341	0.691722189	8.80122715	0	16.08704	0
A7_C2_V11	perturbation	post feed perturbation	E2_P25	258	138	0	0	0	23.54190705	0	0.741902268	0.734247577	8.353366555	10.27342672	10.1078602	0.336179798
A7_C2_V12	perturbation	post feed perturbation	E2_P25	258	138	0	0	0	24.59393156	0	0.808354189	0.743588952	7.625320008	10.02183422	14.06164337	0.063978878
