Vessel	Condition	Description	Label	Time (h)	Time in condition (h)	Pyruvate (mM)	Glucose (mM)	Trehalose (mM)	Acetate (mM)	Lactate (mM)	Succinate (mM)	Formate (mM)	Butyrate (mM)	Blautia hydrogenotrophica (10^5 cells/uL)	Bacteroides thetaiotaomicron (10^5 cells/uL)	Roseburia intestinalis (10^5 cells/uL)
A6_C2_V7	control	control conditions	E1_C11	80	80	0	0.058459069	0.139877789	6.251961924	1.703302131	1.991349771	0.934059166	12.37869438	2.366263439	5.794480192	4.607202037
A6_C2_V8	control	control conditions	E1_C11	80	80	0	0.062012058	0	8.423184417	0.407547428	2.015878407	1.591314272	14.73415587	2.312792578	8.169930098	4.979735556
A6_C2_V9	control	control conditions	E1_C11	80	80	0	0.064044588	0	8.315443959	0.384618214	1.927114267	1.266098041	15.06039449	2.469008049	7.507469798	4.998968856
A6_C2_V10	control	control conditions	E1_C11	80	80	0	0.059931915	0	8.012023442	0.360378579	2.028424362	1.527442505	14.78557875	2.486271672	8.07014062	6.716414563
A6_C2_V11	control	control conditions	E1_C11	80	80	0	0.061721245	0.075728581	6.366734279	0.304207297	2.026912979	1.502325704	15.11437041	0.981256026	9.662425528	5.886682149
A6_C2_V12	control	control conditions	E1_C11	80	80	0	0.06099548	0	7.457101059	0.330563811	2.119587677	1.435707173	15.33960341	0.750566314	5.531929441	3.345961455
A7_C1_V1	control	control conditions	E2_C15	84	84	0	0.030779882	0.025434794	18.19261274	2.079936388	2.372638296	0.814287135	12.78329376	8.134807512	14.75454231	5.863605847
A7_C1_V2	control	control conditions	E2_C15	84	84	0	0.030333531	0.028291134	17.54301686	2.338251536	2.383473539	0.820741354	13.06412877	5.751447705	13.63265425	7.080882064
A7_C1_V3	control	control conditions	E2_C15	84	84	0	0.029055385	0.021333651	16.27344698	1.874826097	2.327461266	0.861046502	13.02384963	5.152384465	14.39468239	8.838927769
A7_C1_V4	control	control conditions	E2_C15	84	84	0	0.028558983	0.024719031	15.77307309	2.308272767	2.532231823	0.921292063	13.52608669	3.432804284	18.30744814	11.71349807
A7_C1_V5	control	control conditions	E2_C15	84	84	0	0.045559481	0.016279628	15.05439807	0.837764954	1.648882519	0.908470165	11.01094272	3.89063815	13.18642868	7.867977203
A7_C1_V6	control	control conditions	E2_C15	84	84	0	0.02766735	0.021050572	14.72140159	1.444822118	2.074200794	0.913205889	14.35799277	6.903303618	13.04678053	8.922558535
A7_C1_V7	control	control conditions	E2_C15	84	84	0	0.030893766	0.016438512	16.64916578	1.774873116	2.395136414	0.833592379	13.32447143	6.580490411	11.0983989	6.591138454
A7_C1_V8	control	control conditions	E2_C15	84	84	0	0.032361538	0.020579941	16.82306853	2.246820832	2.478666161	0.861720123	12.56655315	4.902679907	11.12951471	4.646882702
A7_C1_V9	control	control conditions	E2_C15	84	84	0	0.026443179	0.019350444	14.94975526	1.957454483	2.506652349	0.898910815	13.3772751	4.537523185	17.50516559	8.119172197
A7_C1_V10	control	control conditions	E2_C15	84	84	0	0.026190776	0.021808818	15.77288367	2.586076166	2.657343607	0.762025335	12.27139481	12.52944538	15.90307171	5.034010373
A7_C1_V11	control	control conditions	E2_C15	84	84	0	0.026402412	0.02181141	13.65277529	6.178064162	3.243754853	0.811021339	9.920911709	9.310804369	18.47500052	3.040544157
A7_C1_V12	control	control conditions	E2_C15	84	84	0	0.028532595	0.026853194	20.71342682	2.676567944	2.594239992	0.730260018	12.20513873	12.18264738	9.755249182	6.050317485
A7_C2_V7	control	control conditions	E2_C15	84	84	0	0	0	16.44547086	2.461676057	2.060292521	0.386371749	11.40208418	16.62805377	9.916926943	5.429568577
A7_C2_V8	control	control conditions	E2_C15	84	84	0	0	0	17.54076489	2.338847588	1.868074202	0.385774244	11.02721552	9.7535287	13.28706865	5.835790865
A7_C2_V9	control	control conditions	E2_C15	84	84	0	0	0	16.69111895	1.948003886	1.70677766	0.43240029	11.80140016	9.444475669	13.02664182	9.211971599
A7_C2_V10	control	control conditions	E2_C15	84	84	0	0	0	20.27821361	3.198544031	1.686270634	0.199373388	9.213776892	10.93628852	8.859231005	4.015914624
A7_C2_V11	control	control conditions	E2_C15	84	84	0	0	0	17.55329326	2.689520144	2.062606089	0.513580876	8.855768067	10.20277338	12.2133199	4.157051048
A7_C2_V12	control	control conditions	E2_C15	84	84	0	0	0	22.68818193	0	1.992676904	0.999513804	12.72123335	2.562415132	12.35774673	0.4785598
A8_C2_V2	control	control conditions	E3_C5	94	94	0.178998864	0.092345578	0.132653464	5.661512689	0.149808837	0.149808837	1.417274525	15.32995074	0.11565468	4.196802578	1.652842743
A8_C2_V9	control	control conditions	E3_C5	94	94	0.179646718	0.087848365	0.557240108	7.278071172	0.192102687	1.642955712	1.822393916	14.70892305	0.129994693	2.348470008	2.553035299
A8_C1_V6	control	control conditions	E3_C5	94	94	0.188464683	0.040423411	0.116000771	6.535590655	0.283592806	1.635061224	2.086914286	10.25638043	0.114791338	0.519987629	2.305821033
A8_C1_V8	control	control conditions	E3_C5	94	94	0.187942766	0.096444526	0.413197174	6.210163691	0.153201155	1.824789737	1.379671266	15.74915083	0.097937093	3.249378195	1.682384712
A6_C2_V7	perturbation	post pH/feed perturbation	E1_P19	240	90	4.816631212	4.595718703	0.566647905	8.4683663	2.721418271	6.409892291	1.400479196	0.200451798	0.006630439	2.15200985	0.011002685
A6_C2_V8	perturbation	post pH/feed perturbation	E1_P19	240	90	0.38568789	4.332835556	0.52468511	9.194938513	7.184222251	5.521077851	1.25844855	0.399570976	0.002570738	1.645615376	0.028611367
A6_C2_V9	perturbation	post pH/feed perturbation	E1_P19	240	90	3.608770865	4.928727443	0.515023449	7.656903826	4.495013622	5.430851022	1.522108962	0.828479698	0.001871325	2.230726802	0.011584395
A6_C2_V10	perturbation	post pH/feed perturbation	E1_P19	240	90	0	0.015765164	0	11.798289	0.628856242	2.137087645	1.435895131	16.01901301	4.632778438	11.8149858	7.352848461
A6_C2_V11	perturbation	post pH/feed perturbation	E1_P19	240	90	1.583735673	4.467100818	0.518676936	8.618460768	6.865029777	5.714189931	1.240012952	0.588207991	0.001449817	1.650761172	0.008215627
A6_C2_V12	perturbation	post pH/feed perturbation	E1_P19	240	90	0	0.083485851	0.332730274	4.757089621	3.137459873	3.656157887	0.995307379	12.622349	0	5.47343433	1.91051813
A8_C1_V2	perturbation	post pH/feed perturbation	E3_P13	358	94	0.181354985	0.118481982	0.404594795	5.874524412	0.344468472	4.998194005	1.79408604	19.47110725	0.031785743	5.212052829	1.841261428
A8_C1_V6	perturbation	post pH/feed perturbation	E3_P13	358	94	5.471253918	5.317440663	0.453373162	10.08899337	0.856626665	7.012610213	2.046319609	8.974225173	0.00509269	2.04900731	0
A8_C1_V8	perturbation	post pH/feed perturbation	E3_P13	358	94	0.457601749	0.131748984	0.121889213	10.31868631	0.491368006	5.894443814	1.578232917	9.781039042	0.019274121	2.538087376	1.267138503
A7_C2_V7	perturbation	post feed perturbation	E2_P17	210	90	0	0	0	21.79052144	0	1.132905929	0.570387665	9.852757612	9.211221505	12.68845762	0.574102174
A7_C2_V8	perturbation	post feed perturbation	E2_P17	210	90	0	0	0	22.86762945	0	1.108734954	0.595497866	9.893635739	7.713948953	15.96153004	0.354766548
A7_C2_V9	perturbation	post feed perturbation	E2_P17	210	90	0	0	0	22.63402183	0	1.272878965	0.569401933	9.673069692	5.505625237	12.51251518	0.153757367
A7_C2_V10	perturbation	post feed perturbation	E2_P17	210	90	0	0	0	19.1765119	0	1.277888582	0.565928692	10.49112924	6.570977335	16.34674712	0.414155167
A7_C2_V11	perturbation	post feed perturbation	E2_P17	210	90	0	0	0	23.41906291	0	0.807185152	0.630695198	9.620501208	10.24670002	12.25406947	0.528148726
A7_C2_V12	perturbation	post feed perturbation	E2_P17	210	90	0	0	0	21.62311055	0	1.183295126	0.692463072	9.647779016	9.866444076	12.7425138	0.189056555
