time	experiment	replicate	bh
0	AMBR7	A	0.075300964
12	AMBR7	A	0.423753237
24	AMBR7	A	0.081277467
36	AMBR7	A	0.018295712
48	AMBR7	A	0
60	AMBR7	A	0.124194151
72	AMBR7	A	12.45895065
84	AMBR7	A	8.134807512
96	AMBR7	A	4.645483424
108	AMBR7	A	8.92606631
120	AMBR7	A	2.11916484
132	AMBR7	A	4.459844712
144	AMBR7	A	1.269845537
156	AMBR7	A	3.364171675
168	AMBR7	A	5.245162866
180	AMBR7	A	4.843915328
192	AMBR7	A	7.122732865
204	AMBR7	A	7.288158744
216	AMBR7	A	8.372442029
228	AMBR7	A	10.42375151
240	AMBR7	A	6.651716501
252	AMBR7	A	8.178329813
0	AMBR7	B	0.091719539
12	AMBR7	B	0.455324821
24	AMBR7	B	0.068587589
36	AMBR7	B	0.018248907
48	AMBR7	B	0
60	AMBR7	B	1.5102128
72	AMBR7	B	11.33927619
84	AMBR7	B	5.751447705
96	AMBR7	B	9.068821408
108	AMBR7	B	6.341165916
120	AMBR7	B	3.722526163
132	AMBR7	B	3.827340186
144	AMBR7	B	3.269944015
156	AMBR7	B	2.4555601
168	AMBR7	B	3.269183853
180	AMBR7	B	6.035123622
192	AMBR7	B	4.231922377
204	AMBR7	B	6.655940189
216	AMBR7	B	4.176705472
228	AMBR7	B	6.63456384
240	AMBR7	B	7.692787868
252	AMBR7	B	9.211629961
0	AMBR7	C	0.096325382
12	AMBR7	C	0.356609387
24	AMBR7	C	0.075643639
36	AMBR7	C	0
48	AMBR7	C	0
60	AMBR7	C	1.436719892
72	AMBR7	C	10.0915944
84	AMBR7	C	5.152384465
96	AMBR7	C	5.010947031
108	AMBR7	C	8.925850053
120	AMBR7	C	3.18501149
132	AMBR7	C	3.606854392
144	AMBR7	C	2.9678026
156	AMBR7	C	3.32815234
168	AMBR7	C	5.704849325
180	AMBR7	C	4.714488733
192	AMBR7	C	4.411508813
204	AMBR7	C	8.516652104
216	AMBR7	C	9.810849137
228	AMBR7	C	9.871800863
240	AMBR7	C	9.189135863
252	AMBR7	C	10.52377895
0	AMBR7	D	0.088001459
12	AMBR7	D	0.5099073
24	AMBR7	D	0.071686213
36	AMBR7	D	0
48	AMBR7	D	0
60	AMBR7	D	5.589932347
72	AMBR7	D	13.08094615
84	AMBR7	D	3.432804284
96	AMBR7	D	7.737676903
108	AMBR7	D	11.51387847
120	AMBR7	D	3.203531297
132	AMBR7	D	3.310126482
144	AMBR7	D	2.152795559
156	AMBR7	D	3.434321893
168	AMBR7	D	4.338619539
180	AMBR7	D	5.203596175
192	AMBR7	D	4.906469747
204	AMBR7	D	5.568102287
216	AMBR7	D	6.269283127
228	AMBR7	D	7.088379453
240	AMBR7	D	5.662421708
252	AMBR7	D	10.04647742
0	AMBR7	E	0.104801847
12	AMBR7	E	0.295057328
24	AMBR7	E	0.113630651
36	AMBR7	E	0
48	AMBR7	E	0
60	AMBR7	E	0.989913825
72	AMBR7	E	11.09803886
84	AMBR7	E	3.89063815
96	AMBR7	E	6.900621609
108	AMBR7	E	7.145670472
120	AMBR7	E	3.157075253
132	AMBR7	E	2.856502207
144	AMBR7	E	2.888866196
156	AMBR7	E	3.617187437
168	AMBR7	E	3.382580154
180	AMBR7	E	7.275619974
192	AMBR7	E	4.890253942
204	AMBR7	E	8.788240707
216	AMBR7	E	6.157331999
228	AMBR7	E	8.597669847
240	AMBR7	E	7.520136612
252	AMBR7	E	11.12835594
0	AMBR7	F	0.108146372
12	AMBR7	F	0.25446742
24	AMBR7	F	0.09928846
36	AMBR7	F	0.033618897
48	AMBR7	F	0.496684817
60	AMBR7	F	10.11196906
72	AMBR7	F	2.914809531
84	AMBR7	F	6.903303618
96	AMBR7	F	3.701719613
108	AMBR7	F	8.304807957
120	AMBR7	F	4.239820268
132	AMBR7	F	5.637421626
144	AMBR7	F	5.427247457
156	AMBR7	F	4.72030151
168	AMBR7	F	4.577611221
180	AMBR7	F	6.089109094
192	AMBR7	F	7.48018225
204	AMBR7	F	6.174063722
216	AMBR7	F	5.85983953
228	AMBR7	F	8.637874805
240	AMBR7	F	7.326496373
252	AMBR7	F	6.946610068
0	AMBR7	G	0.081594701
12	AMBR7	G	0.354359721
24	AMBR7	G	0.034568476
36	AMBR7	G	0
48	AMBR7	G	0
60	AMBR7	G	1.789034836
72	AMBR7	G	15.88953846
84	AMBR7	G	6.580490411
