time	experiment	replicate	acetate
0	AMBR7	A	0.799807545
12	AMBR7	A	10.80532901
24	AMBR7	A	3.353670143
36	AMBR7	A	9.26610468
48	AMBR7	A	11.02935056
60	AMBR7	A	10.48987431
72	AMBR7	A	12.58760724
84	AMBR7	A	12.78329376
96	AMBR7	A	16.03833127
108	AMBR7	A	15.24758628
120	AMBR7	A	18.44883988
132	AMBR7	A	15.98108022
144	AMBR7	A	17.7546871
156	AMBR7	A	15.39509425
168	AMBR7	A	16.61998285
180	AMBR7	A	14.85497583
192	AMBR7	A	16.04605564
204	AMBR7	A	13.57545629
216	AMBR7	A	15.37806446
228	AMBR7	A	12.97124623
240	AMBR7	A	14.49548057
252	AMBR7	A	12.4748346
0	AMBR7	B	0.604123529
12	AMBR7	B	5.057118348
24	AMBR7	B	13.75891269
36	AMBR7	B	8.869394109
48	AMBR7	B	10.50746083
60	AMBR7	B	9.751926553
72	AMBR7	B	12.8318301
84	AMBR7	B	13.06412877
96	AMBR7	B	16.1072828
108	AMBR7	B	14.84988812
120	AMBR7	B	17.0216663
132	AMBR7	B	15.68718692
144	AMBR7	B	18.14298889
156	AMBR7	B	16.4118513
168	AMBR7	B	17.47197429
180	AMBR7	B	15.01306714
192	AMBR7	B	16.45435551
204	AMBR7	B	14.53963475
216	AMBR7	B	15.61269201
228	AMBR7	B	13.70664737
240	AMBR7	B	14.73009893
252	AMBR7	B	13.16629928
0	AMBR7	C	0.571594075
12	AMBR7	C	5.143731727
24	AMBR7	C	13.00006101
36	AMBR7	C	9.010810232
48	AMBR7	C	10.21216101
60	AMBR7	C	10.37155962
72	AMBR7	C	12.89337881
84	AMBR7	C	13.02384963
96	AMBR7	C	15.98331999
108	AMBR7	C	14.52903947
120	AMBR7	C	16.63176967
132	AMBR7	C	16.02989952
144	AMBR7	C	17.55617059
156	AMBR7	C	15.98662912
168	AMBR7	C	16.53752471
180	AMBR7	C	15.14584204
192	AMBR7	C	15.93672208
204	AMBR7	C	14.10644199
216	AMBR7	C	14.78659482
228	AMBR7	C	12.65711966
240	AMBR7	C	13.05286285
252	AMBR7	C	12.21266006
0	AMBR7	D	0.644419837
12	AMBR7	D	5.150016959
24	AMBR7	D	12.68673738
36	AMBR7	D	8.976659688
48	AMBR7	D	9.922184098
60	AMBR7	D	10.24316595
72	AMBR7	D	12.88809173
