time	experiment	replicate	ri
0	AMBR7	A	0.037653623
12	AMBR7	A	6.030479399
24	AMBR7	A	9.676353346
36	AMBR7	A	0.061748028
48	AMBR7	A	0.283071251
60	AMBR7	A	3.103442489
72	AMBR7	A	4.348793082
84	AMBR7	A	5.863605847
96	AMBR7	A	9.697468179
108	AMBR7	A	8.892026227
120	AMBR7	A	5.508297914
132	AMBR7	A	5.546489416
144	AMBR7	A	3.060500241
156	AMBR7	A	5.186117744
168	AMBR7	A	8.645803744
180	AMBR7	A	6.369592974
192	AMBR7	A	8.386194512
204	AMBR7	A	4.499213033
216	AMBR7	A	5.829491615
228	AMBR7	A	4.360182293
240	AMBR7	A	3.436385262
252	AMBR7	A	9.677690279
0	AMBR7	B	0.024409924
12	AMBR7	B	6.409595927
24	AMBR7	B	6.485923845
36	AMBR7	B	0.047447159
48	AMBR7	B	0.020421749
60	AMBR7	B	1.54030762
72	AMBR7	B	3.990608452
84	AMBR7	B	7.080882064
96	AMBR7	B	9.757693303
108	AMBR7	B	12.03705634
120	AMBR7	B	6.671216981
132	AMBR7	B	6.664616833
144	AMBR7	B	8.526911482
156	AMBR7	B	4.41383382
168	AMBR7	B	9.221046425
180	AMBR7	B	8.068157021
192	AMBR7	B	13.40851195
204	AMBR7	B	5.832603304
216	AMBR7	B	3.946629777
228	AMBR7	B	6.483896376
240	AMBR7	B	5.764853065
252	AMBR7	B	5.956884488
0	AMBR7	C	0.025047185
12	AMBR7	C	5.293374731
24	AMBR7	C	9.683436355
36	AMBR7	C	0.068874322
48	AMBR7	C	0.765937177
60	AMBR7	C	4.731669258
72	AMBR7	C	4.582719707
84	AMBR7	C	8.838927769
96	AMBR7	C	7.287619318
108	AMBR7	C	8.411391836
120	AMBR7	C	5.910349125
132	AMBR7	C	5.743275919
144	AMBR7	C	9.843814351
156	AMBR7	C	5.442334008
168	AMBR7	C	8.447540073
180	AMBR7	C	5.761856778
192	AMBR7	C	6.518625423
204	AMBR7	C	4.535408912
216	AMBR7	C	3.377394601
228	AMBR7	C	6.538154932
240	AMBR7	C	3.74582703
252	AMBR7	C	5.014326098
0	AMBR7	D	0.022259691
12	AMBR7	D	6.256833538
24	AMBR7	D	8.414368377
36	AMBR7	D	0.042882407
48	AMBR7	D	0.768166168
60	AMBR7	D	4.12887748
72	AMBR7	D	5.807965096
84	AMBR7	D	11.71349807
96	AMBR7	D	10.01101329
108	AMBR7	D	10.45494183
120	AMBR7	D	7.016935834
132	AMBR7	D	5.519852674
144	AMBR7	D	6.975876662
156	AMBR7	D	5.676357668
168	AMBR7	D	5.94402248
180	AMBR7	D	6.807627779
192	AMBR7	D	6.969128719
204	AMBR7	D	6.657967596
216	AMBR7	D	5.122920843
228	AMBR7	D	3.769657669
240	AMBR7	D	2.503791912
