time	experiment	replicate	trehalose
0	AMBR7	A	0.804430833
12	AMBR7	A	0.66602092
24	AMBR7	A	0.146227654
36	AMBR7	A	0.066631684
48	AMBR7	A	0.070045964
60	AMBR7	A	0.183152572
72	AMBR7	A	0.024065266
84	AMBR7	A	0.025434794
96	AMBR7	A	0.029735162
108	AMBR7	A	0.017454953
120	AMBR7	A	0.01975183
132	AMBR7	A	0.01570805
144	AMBR7	A	0.017496121
156	AMBR7	A	0
168	AMBR7	A	0
180	AMBR7	A	0
192	AMBR7	A	0
204	AMBR7	A	0
216	AMBR7	A	0
228	AMBR7	A	0
240	AMBR7	A	0
252	AMBR7	A	0
0	AMBR7	B	0.812623936
12	AMBR7	B	0.682452973
24	AMBR7	B	0.627173447
36	AMBR7	B	0.076008153
48	AMBR7	B	0.07035409
60	AMBR7	B	0.069208275
72	AMBR7	B	0.026523041
84	AMBR7	B	0.028291134
96	AMBR7	B	0.024675068
108	AMBR7	B	0.022306884
120	AMBR7	B	0.022815124
132	AMBR7	B	0.017143329
144	AMBR7	B	0.021628529
156	AMBR7	B	0
168	AMBR7	B	0
180	AMBR7	B	0
192	AMBR7	B	0
204	AMBR7	B	0
216	AMBR7	B	0
228	AMBR7	B	0
240	AMBR7	B	0
252	AMBR7	B	0
0	AMBR7	C	0.797195743
12	AMBR7	C	0.670966474
24	AMBR7	C	0.627351502
36	AMBR7	C	0.064833802
48	AMBR7	C	0.070053849
60	AMBR7	C	0.103187521
72	AMBR7	C	0.027100775
84	AMBR7	C	0.021333651
96	AMBR7	C	0.026133052
108	AMBR7	C	0.021865614
120	AMBR7	C	0.019491664
132	AMBR7	C	0.018115525
144	AMBR7	C	0.023543418
156	AMBR7	C	0
168	AMBR7	C	0
180	AMBR7	C	0
192	AMBR7	C	0
204	AMBR7	C	0
216	AMBR7	C	0
228	AMBR7	C	0
240	AMBR7	C	0
252	AMBR7	C	0
0	AMBR7	D	0.786691556
12	AMBR7	D	0.665408774
24	AMBR7	D	0.597763392
36	AMBR7	D	0.068988091
48	AMBR7	D	0.077677663
60	AMBR7	D	0.027915086
72	AMBR7	D	0.026500771
84	AMBR7	D	0.024719031
96	AMBR7	D	0.020957999
108	AMBR7	D	0.022805435
120	AMBR7	D	0.023429577
132	AMBR7	D	0.017395469
144	AMBR7	D	0.018147376
156	AMBR7	D	0
168	AMBR7	D	0
180	AMBR7	D	0
192	AMBR7	D	0
204	AMBR7	D	0
216	AMBR7	D	0
228	AMBR7	D	0
240	AMBR7	D	0
252	AMBR7	D	0
0	AMBR7	E	0.779214825
12	AMBR7	E	0.660501108
24	AMBR7	E	0.603995681
36	AMBR7	E	0.077063935
48	AMBR7	E	0.094991963
60	AMBR7	E	0.131213484
72	AMBR7	E	0.021967258
84	AMBR7	E	0.016279628
96	AMBR7	E	0.022868203
108	AMBR7	E	0.019212871
120	AMBR7	E	0.019653779
132	AMBR7	E	0.011644349
144	AMBR7	E	0.016457069
156	AMBR7	E	0
168	AMBR7	E	0
180	AMBR7	E	0
192	AMBR7	E	0
204	AMBR7	E	0
