time	experiment	replicate	acetate
0	AMBR7_P	A	1.725057612
6	AMBR7_P	A	2.481191795
12	AMBR7_P	A	10.55277996
18	AMBR7_P	A	7.187897718
24	AMBR7_P	A	5.278218148
30	AMBR7_P	A	6.554163184
36	AMBR7_P	A	8.33365294
42	AMBR7_P	A	8.691005869
48	AMBR7_P	A	9.442125862
54	AMBR7_P	A	8.329513492
60	AMBR7_P	A	8.184769599
66	AMBR7_P	A	7.143877215
72	AMBR7_P	A	10.84924559
78	AMBR7_P	A	14.30109595
84	AMBR7_P	A	16.44547086
90	AMBR7_P	A	17.00180431
96	AMBR7_P	A	17.58729279
102	AMBR7_P	A	16.94535398
108	AMBR7_P	A	16.84336111
114	AMBR7_P	A	17.30061566
120	AMBR7_P	A	18.51650952
126	AMBR7_P	A	14.61954457
132	AMBR7_P	A	13.95818565
138	AMBR7_P	A	13.33211201
144	AMBR7_P	A	13.98989495
150	AMBR7_P	A	13.28084867
156	AMBR7_P	A	13.28811351
162	AMBR7_P	A	12.95862604
168	AMBR7_P	A	13.58459349
174	AMBR7_P	A	13.78552081
180	AMBR7_P	A	15.60841928
186	AMBR7_P	A	17.20955736
192	AMBR7_P	A	14.87761005
198	AMBR7_P	A	19.95082313
204	AMBR7_P	A	20.94559946
210	AMBR7_P	A	21.79052144
216	AMBR7_P	A	22.83818551
222	AMBR7_P	A	22.35335441
228	AMBR7_P	A	21.06745059
234	AMBR7_P	A	20.78342722
240	AMBR7_P	A	20.70848856
246	AMBR7_P	A	19.7391631
252	AMBR7_P	A	20.30104898
258	AMBR7_P	A	20.40801455
0	AMBR7_P	B	1.739604635
6	AMBR7_P	B	2.51732013
12	AMBR7_P	B	11.52140324
18	AMBR7_P	B	7.211522805
24	AMBR7_P	B	5.323485652
30	AMBR7_P	B	6.476771666
36	AMBR7_P	B	8.138877877
42	AMBR7_P	B	8.404568857
48	AMBR7_P	B	9.342532283
54	AMBR7_P	B	8.900763115
60	AMBR7_P	B	8.221483168
66	AMBR7_P	B	12.88215674
72	AMBR7_P	B	15.20286718
78	AMBR7_P	B	17.26223464
84	AMBR7_P	B	17.54076489
90	AMBR7_P	B	17.92747567
96	AMBR7_P	B	17.53866791
102	AMBR7_P	B	16.98681926
108	AMBR7_P	B	16.90305641
114	AMBR7_P	B	17.65227458
120	AMBR7_P	B	18.69352905
