time	experiment	replicate	bh
0	AMBR7_P	A	0.041286829
6	AMBR7_P	A	0.238387632
12	AMBR7_P	A	0.350417079
18	AMBR7_P	A	0.260116169
24	AMBR7_P	A	0.058981087
30	AMBR7_P	A	0.031104613
36	AMBR7_P	A	0
42	AMBR7_P	A	0
48	AMBR7_P	A	0
54	AMBR7_P	A	0
60	AMBR7_P	A	0.03094526
66	AMBR7_P	A	1.39027223
72	AMBR7_P	A	10.5180668
78	AMBR7_P	A	15.02875047
84	AMBR7_P	A	16.62805377
90	AMBR7_P	A	9.283660415
96	AMBR7_P	A	5.694894245
102	AMBR7_P	A	9.218419638
108	AMBR7_P	A	15.57692687
114	AMBR7_P	A	10.74679364
120	AMBR7_P	A	3.326197205
126	AMBR7_P	A	0.919566814
132	AMBR7_P	A	0.943194666
138	AMBR7_P	A	0.261647068
144	AMBR7_P	A	0.126191324
150	AMBR7_P	A	0.151772832
156	AMBR7_P	A	0.164761963
162	AMBR7_P	A	0.308664706
168	AMBR7_P	A	0.237105764
174	AMBR7_P	A	0.874680837
180	AMBR7_P	A	3.267335672
186	AMBR7_P	A	6.062156818
192	AMBR7_P	A	9.762447398
198	AMBR7_P	A	8.085100902
204	AMBR7_P	A	7.174819857
210	AMBR7_P	A	9.211221505
216	AMBR7_P	A	7.264290582
222	AMBR7_P	A	7.825559881
228	AMBR7_P	A	4.710758103
234	AMBR7_P	A	3.585724516
240	AMBR7_P	A	5.586135605
246	AMBR7_P	A	5.894439134
252	AMBR7_P	A	7.076201297
258	AMBR7_P	A	6.364849464
0	AMBR7_P	B	0.061546824
6	AMBR7_P	B	0.216241472
12	AMBR7_P	B	0.415923331
18	AMBR7_P	B	0.217960405
24	AMBR7_P	B	0.081164148
30	AMBR7_P	B	0
36	AMBR7_P	B	0
42	AMBR7_P	B	0
48	AMBR7_P	B	0
54	AMBR7_P	B	0.030715183
60	AMBR7_P	B	1.036002535
66	AMBR7_P	B	9.627530443
72	AMBR7_P	B	14.30053859
78	AMBR7_P	B	12.66082462
84	AMBR7_P	B	9.7535287
90	AMBR7_P	B	6.826330097
96	AMBR7_P	B	6.67833727
102	AMBR7_P	B	9.477715722
108	AMBR7_P	B	10.81522569
114	AMBR7_P	B	10.74488023
120	AMBR7_P	B	3.895308953
126	AMBR7_P	B	1.123400213
132	AMBR7_P	B	1.611244482
138	AMBR7_P	B	0.448056216
144	AMBR7_P	B	0.097333876
150	AMBR7_P	B	0.121158788
156	AMBR7_P	B	0.109330926
162	AMBR7_P	B	0.043204284
168	AMBR7_P	B	0.826010724
174	AMBR7_P	B	0.736275834
180	AMBR7_P	B	3.800630228
186	AMBR7_P	B	3.994941786
192	AMBR7_P	B	7.949273238
198	AMBR7_P	B	8.974453787
204	AMBR7_P	B	7.599639556
210	AMBR7_P	B	7.713948953
216	AMBR7_P	B	9.986376587
222	AMBR7_P	B	9.637616702
228	AMBR7_P	B	8.288440041
234	AMBR7_P	B	3.582248839
240	AMBR7_P	B	6.202245845
246	AMBR7_P	B	6.514909011
252	AMBR7_P	B	5.836636248
258	AMBR7_P	B	7.967928476
0	AMBR7_P	C	0.071491627
6	AMBR7_P	C	0.230434246
12	AMBR7_P	C	0.465211438
18	AMBR7_P	C	0.2731729
24	AMBR7_P	C	0.070721875
30	AMBR7_P	C	0.038933646
36	AMBR7_P	C	0.0182022
42	AMBR7_P	C	0
48	AMBR7_P	C	0.067558744
54	AMBR7_P	C	1.618103441
60	AMBR7_P	C	8.75308354
66	AMBR7_P	C	9.707130268
72	AMBR7_P	C	14.7662852
78	AMBR7_P	C	8.30109216
84	AMBR7_P	C	9.444475669
90	AMBR7_P	C	9.515961173
96	AMBR7_P	C	12.2112973
102	AMBR7_P	C	9.783836833
108	AMBR7_P	C	12.69755456
114	AMBR7_P	C	10.27021001
120	AMBR7_P	C	0
126	AMBR7_P	C	2.216132451
132	AMBR7_P	C	3.15194227
138	AMBR7_P	C	2.47426561
144	AMBR7_P	C	0.653875033
150	AMBR7_P	C	0.382411715
156	AMBR7_P	C	0.258094775
162	AMBR7_P	C	0.149909792
168	AMBR7_P	C	0.345915401
174	AMBR7_P	C	0.990917626
180	AMBR7_P	C	1.990058051
186	AMBR7_P	C	5.290985446
192	AMBR7_P	C	7.761684457
198	AMBR7_P	C	8.007239098
204	AMBR7_P	C	7.277692541
210	AMBR7_P	C	5.505625237
216	AMBR7_P	C	7.699048437
222	AMBR7_P	C	11.29749087
228	AMBR7_P	C	11.1424826
234	AMBR7_P	C	6.583897591
240	AMBR7_P	C	9.279538717
246	AMBR7_P	C	11.77002421
252	AMBR7_P	C	6.523614564
258	AMBR7_P	C	7.218042663
0	AMBR7_P	D	0.054281276
6	AMBR7_P	D	0.243809786
12	AMBR7_P	D	0.316407545
18	AMBR7_P	D	0.174206075
24	AMBR7_P	D	0.056328477
30	AMBR7_P	D	0
36	AMBR7_P	D	0
42	AMBR7_P	D	0
48	AMBR7_P	D	0
54	AMBR7_P	D	0
60	AMBR7_P	D	0.092125804
66	AMBR7_P	D	4.004529522
72	AMBR7_P	D	6.269277173
78	AMBR7_P	D	10.74526897
84	AMBR7_P	D	10.93628852
90	AMBR7_P	D	9.599786051
96	AMBR7_P	D	6.796125788
102	AMBR7_P	D	6.436661141
108	AMBR7_P	D	7.887813581
114	AMBR7_P	D	5.48864389
120	AMBR7_P	D	8.484046677
126	AMBR7_P	D	5.551984
132	AMBR7_P	D	9.134523354
138	AMBR7_P	D	8.406500395
144	AMBR7_P	D	4.966910072
150	AMBR7_P	D	2.057442081
156	AMBR7_P	D	1.177743091
162	AMBR7_P	D	0.689766866
168	AMBR7_P	D	0.589580735
174	AMBR7_P	D	0.505184546
180	AMBR7_P	D	0.409897706
186	AMBR7_P	D	0.587490605
192	AMBR7_P	D	2.862859286
198	AMBR7_P	D	4.574312195
204	AMBR7_P	D	6.838672354
210	AMBR7_P	D	6.570977335
216	AMBR7_P	D	5.133418949
222	AMBR7_P	D	9.615593904
228	AMBR7_P	D	10.1645256
234	AMBR7_P	D	6.148110987
240	AMBR7_P	D	5.945473483
246	AMBR7_P	D	5.801464789
252	AMBR7_P	D	0
258	AMBR7_P	D	0
0	AMBR7_P	E	0.070729879
6	AMBR7_P	E	0.244416029
12	AMBR7_P	E	0.475086752
18	AMBR7_P	E	0.196981371
24	AMBR7_P	E	0.061746191
30	AMBR7_P	E	0.016383353
36	AMBR7_P	E	0
42	AMBR7_P	E	0
48	AMBR7_P	E	0
54	AMBR7_P	E	0
60	AMBR7_P	E	0.137374061
66	AMBR7_P	E	0.434303526
72	AMBR7_P	E	2.108636204
78	AMBR7_P	E	7.845766627
84	AMBR7_P	E	10.20277338
90	AMBR7_P	E	21.85489597
96	AMBR7_P	E	18.40821031
102	AMBR7_P	E	23.64454511
108	AMBR7_P	E	20.33989872
114	AMBR7_P	E	19.22386936
