time	experiment	replicate	butyrate
0	AMBR7_P	A	0
6	AMBR7_P	A	0
12	AMBR7_P	A	5.338429699
18	AMBR7_P	A	9.376767582
24	AMBR7_P	A	12.47021725
30	AMBR7_P	A	11.05677076
36	AMBR7_P	A	9.088454419
42	AMBR7_P	A	8.401427017
48	AMBR7_P	A	9.711091605
54	AMBR7_P	A	10.11793535
60	AMBR7_P	A	11.12530796
66	AMBR7_P	A	11.5924473
72	AMBR7_P	A	12.12102695
78	AMBR7_P	A	10.99523584
84	AMBR7_P	A	11.40208418
90	AMBR7_P	A	11.39737772
96	AMBR7_P	A	13.26537013
102	AMBR7_P	A	12.85806612
108	AMBR7_P	A	12.96529403
114	AMBR7_P	A	16.63224004
120	AMBR7_P	A	16.92993856
126	AMBR7_P	A	10.38942634
132	AMBR7_P	A	10.96392222
138	AMBR7_P	A	11.24009211
144	AMBR7_P	A	12.80619951
150	AMBR7_P	A	12.6807769
156	AMBR7_P	A	13.76626958
162	AMBR7_P	A	13.21006853
168	AMBR7_P	A	14.8962784
174	AMBR7_P	A	13.35140014
180	AMBR7_P	A	12.31542497
186	AMBR7_P	A	12.32627105
192	AMBR7_P	A	16.03683381
198	AMBR7_P	A	11.46417399
204	AMBR7_P	A	10.81793652
210	AMBR7_P	A	9.852757612
216	AMBR7_P	A	11.91443054
222	AMBR7_P	A	10.76304467
228	AMBR7_P	A	10.94592963
234	AMBR7_P	A	9.996099314
240	AMBR7_P	A	12.45715712
246	AMBR7_P	A	11.03002947
252	AMBR7_P	A	11.02745438
258	AMBR7_P	A	10.04084973
0	AMBR7_P	B	0
6	AMBR7_P	B	0
12	AMBR7_P	B	5.165711437
18	AMBR7_P	B	9.181890006
24	AMBR7_P	B	12.15289362
30	AMBR7_P	B	11.17510475
36	AMBR7_P	B	9.178682852
42	AMBR7_P	B	8.557894074
48	AMBR7_P	B	9.831028705
54	AMBR7_P	B	9.811825283
60	AMBR7_P	B	10.75516504
66	AMBR7_P	B	10.04007251
72	AMBR7_P	B	10.72798921
78	AMBR7_P	B	10.96227868
84	AMBR7_P	B	11.02721552
90	AMBR7_P	B	11.07493423
96	AMBR7_P	B	14.52260495
102	AMBR7_P	B	12.85615615
108	AMBR7_P	B	12.85776754
114	AMBR7_P	B	16.95003954
120	AMBR7_P	B	17.11839172
126	AMBR7_P	B	10.42342255
132	AMBR7_P	B	11.70536376
138	AMBR7_P	B	10.00333953
144	AMBR7_P	B	13.64017356
150	AMBR7_P	B	13.34772812
156	AMBR7_P	B	13.76850567
162	AMBR7_P	B	11.54244381
168	AMBR7_P	B	15.42226366
174	AMBR7_P	B	13.94148071
180	AMBR7_P	B	12.48118
186	AMBR7_P	B	11.40697438
192	AMBR7_P	B	1.84188455
198	AMBR7_P	B	11.82778684
204	AMBR7_P	B	11.92455636
210	AMBR7_P	B	9.893635739
216	AMBR7_P	B	12.32105563
222	AMBR7_P	B	10.71830344
228	AMBR7_P	B	11.10868238
234	AMBR7_P	B	9.867078186
240	AMBR7_P	B	13.5672046
246	AMBR7_P	B	10.71381563
252	AMBR7_P	B	11.63555785
258	AMBR7_P	B	9.566914812
