time	experiment	replicate	ri
0	AMBR7_P	A	0.026927089
6	AMBR7_P	A	0.305561497
12	AMBR7_P	A	5.304828843
18	AMBR7_P	A	7.214534089
24	AMBR7_P	A	7.491115371
30	AMBR7_P	A	0.236740666
36	AMBR7_P	A	0.048994744
42	AMBR7_P	A	0.389859703
48	AMBR7_P	A	1.785210705
54	AMBR7_P	A	3.427599041
60	AMBR7_P	A	5.432956189
66	AMBR7_P	A	7.065854158
72	AMBR7_P	A	6.407557933
78	AMBR7_P	A	5.96506923
84	AMBR7_P	A	5.429568577
90	AMBR7_P	A	5.372797874
96	AMBR7_P	A	8.417705635
102	AMBR7_P	A	9.13224499
108	AMBR7_P	A	12.19853298
114	AMBR7_P	A	5.096868538
120	AMBR7_P	A	5.732344183
126	AMBR7_P	A	2.241246608
132	AMBR7_P	A	2.15362782
138	AMBR7_P	A	0.574169956
144	AMBR7_P	A	0.577208461
150	AMBR7_P	A	0.527313299
156	AMBR7_P	A	0.673834183
162	AMBR7_P	A	0.67500918
168	AMBR7_P	A	0.407123463
174	AMBR7_P	A	0.369803857
180	AMBR7_P	A	0.53336644
186	AMBR7_P	A	0.79599942
192	AMBR7_P	A	0.695654421
198	AMBR7_P	A	0.372907977
204	AMBR7_P	A	0.510286436
210	AMBR7_P	A	0.574102174
216	AMBR7_P	A	0.476892359
222	AMBR7_P	A	0.992043305
228	AMBR7_P	A	0.885945143
234	AMBR7_P	A	0.706546703
240	AMBR7_P	A	0.661090701
246	AMBR7_P	A	0.845134231
252	AMBR7_P	A	0.715779272
258	AMBR7_P	A	0.255692851
0	AMBR7_P	B	0.023987895
6	AMBR7_P	B	0.275396251
12	AMBR7_P	B	6.190083761
18	AMBR7_P	B	7.835259702
24	AMBR7_P	B	8.036046424
30	AMBR7_P	B	0.271561893
36	AMBR7_P	B	0.07372504
42	AMBR7_P	B	0.106202694
48	AMBR7_P	B	0.939856264
54	AMBR7_P	B	3.73445429
60	AMBR7_P	B	3.485604837
66	AMBR7_P	B	4.933552203
72	AMBR7_P	B	5.066501466
78	AMBR7_P	B	4.288909102
84	AMBR7_P	B	5.835790865
90	AMBR7_P	B	8.160210691
96	AMBR7_P	B	9.468458016
102	AMBR7_P	B	8.409204199
108	AMBR7_P	B	10.48974038
114	AMBR7_P	B	8.964404587
120	AMBR7_P	B	5.730742621
126	AMBR7_P	B	2.334599124
132	AMBR7_P	B	2.561411083
138	AMBR7_P	B	0.952534325
144	AMBR7_P	B	0.405251734
150	AMBR7_P	B	0.744621717
156	AMBR7_P	B	0.55977434
162	AMBR7_P	B	0.3378335
168	AMBR7_P	B	0.601505245
174	AMBR7_P	B	0.364268599
180	AMBR7_P	B	0.679150419
186	AMBR7_P	B	0.325266659
192	AMBR7_P	B	0.398666535
198	AMBR7_P	B	0.334908318
204	AMBR7_P	B	0.190141895
210	AMBR7_P	B	0.354766548
216	AMBR7_P	B	0.353053718
222	AMBR7_P	B	0.462538323
228	AMBR7_P	B	0.465096719
234	AMBR7_P	B	0.220481052
240	AMBR7_P	B	0.456861859
246	AMBR7_P	B	0.45826847
252	AMBR7_P	B	0.445765076
258	AMBR7_P	B	0.425115107
0	AMBR7_P	C	0.02556697
6	AMBR7_P	C	0.285574466
12	AMBR7_P	C	4.927400049
18	AMBR7_P	C	7.346448321
24	AMBR7_P	C	9.077447291
30	AMBR7_P	C	0.377980811
36	AMBR7_P	C	0.097078399
42	AMBR7_P	C	0.130646779
48	AMBR7_P	C	1.511314118
54	AMBR7_P	C	3.397803192
60	AMBR7_P	C	3.55999558
66	AMBR7_P	C	3.161141268
72	AMBR7_P	C	4.266767773
78	AMBR7_P	C	4.320641255
84	AMBR7_P	C	9.211971599
90	AMBR7_P	C	7.894853396
96	AMBR7_P	C	7.454265241
102	AMBR7_P	C	6.429643959
108	AMBR7_P	C	6.67245356
114	AMBR7_P	C	9.079817967
120	AMBR7_P	C	4.473621901
126	AMBR7_P	C	1.407958773
132	AMBR7_P	C	1.297227941
138	AMBR7_P	C	1.204961503
144	AMBR7_P	C	0.495324107
150	AMBR7_P	C	0.459045809
156	AMBR7_P	C	0.323750463
162	AMBR7_P	C	0.258177975
168	AMBR7_P	C	0.684967401
174	AMBR7_P	C	0.541751682
180	AMBR7_P	C	0.594364005
186	AMBR7_P	C	0.513975604
192	AMBR7_P	C	0.646807038
198	AMBR7_P	C	0.365167535
204	AMBR7_P	C	0.309259196
210	AMBR7_P	C	0.153757367
216	AMBR7_P	C	0.302462617
222	AMBR7_P	C	0.343794123
228	AMBR7_P	C	0.386383358
234	AMBR7_P	C	0.232149746
240	AMBR7_P	C	0.187465429
246	AMBR7_P	C	0.249101042
252	AMBR7_P	C	0.310488293
258	AMBR7_P	C	0.261476501
0	AMBR7_P	D	0.016456854
6	AMBR7_P	D	0.308983601
12	AMBR7_P	D	6.271021752
18	AMBR7_P	D	6.45165078
24	AMBR7_P	D	7.60017196
30	AMBR7_P	D	0
36	AMBR7_P	D	0.04731596
42	AMBR7_P	D	0.165417399
48	AMBR7_P	D	0.097563053
54	AMBR7_P	D	0.332362173
60	AMBR7_P	D	0.667059065
66	AMBR7_P	D	1.609630974
72	AMBR7_P	D	1.730025066
78	AMBR7_P	D	3.090207572
84	AMBR7_P	D	4.015914624
90	AMBR7_P	D	6.02098195
96	AMBR7_P	D	6.267754595
102	AMBR7_P	D	6.716487074
108	AMBR7_P	D	6.992263475
114	AMBR7_P	D	4.876296649
120	AMBR7_P	D	7.082663967
126	AMBR7_P	D	0.752335467
132	AMBR7_P	D	0.731445572
138	AMBR7_P	D	0.73022567
144	AMBR7_P	D	0.390617684
150	AMBR7_P	D	0.443658043
156	AMBR7_P	D	0.294435773
162	AMBR7_P	D	0.269396898
168	AMBR7_P	D	0.454892032
174	AMBR7_P	D	0.577507975
180	AMBR7_P	D	0.63702717
186	AMBR7_P	D	0.419113236
192	AMBR7_P	D	0.528693863
198	AMBR7_P	D	0.493508384
204	AMBR7_P	D	0.524227966
210	AMBR7_P	D	0.414155167
216	AMBR7_P	D	0.240194777
222	AMBR7_P	D	0.438928384
228	AMBR7_P	D	0.516356143
234	AMBR7_P	D	0.334487958
240	AMBR7_P	D	0.33617094
246	AMBR7_P	D	0.452779295
252	AMBR7_P	D	0
258	AMBR7_P	D	0
0	AMBR7_P	E	0.026374271
6	AMBR7_P	E	0.306309202
12	AMBR7_P	E	7.199826617
18	AMBR7_P	E	7.757882482
24	AMBR7_P	E	5.275507928
30	AMBR7_P	E	0.315834647
36	AMBR7_P	E	0.105943099
42	AMBR7_P	E	0.208636373
48	AMBR7_P	E	1.088776063
54	AMBR7_P	E	2.384809213
60	AMBR7_P	E	3.997269366
66	AMBR7_P	E	5.248977182
72	AMBR7_P	E	5.992041213
78	AMBR7_P	E	6.720941385
84	AMBR7_P	E	4.157051048
90	AMBR7_P	E	5.639161633
96	AMBR7_P	E	4.297954049
102	AMBR7_P	E	4.65650851
108	AMBR7_P	E	3.378413212
114	AMBR7_P	E	2.411941231
120	AMBR7_P	E	3.956571996
126	AMBR7_P	E	0.865592792
132	AMBR7_P	E	0.701626949
138	AMBR7_P	E	0.482563643
144	AMBR7_P	E	0.719634134
150	AMBR7_P	E	0.499927588
156	AMBR7_P	E	0.424402699
162	AMBR7_P	E	0.32809135
168	AMBR7_P	E	0.408364872
174	AMBR7_P	E	0.729289716
180	AMBR7_P	E	0.474006672
186	AMBR7_P	E	0.286206601
192	AMBR7_P	E	0.447908385
198	AMBR7_P	E	0.591226801
204	AMBR7_P	E	0.681236671
210	AMBR7_P	E	0.374195314
216	AMBR7_P	E	0.375060782
222	AMBR7_P	E	0.29682095
228	AMBR7_P	E	0.283023768
234	AMBR7_P	E	0.24278407
240	AMBR7_P	E	0.367648001
246	AMBR7_P	E	0.301761988
252	AMBR7_P	E	0.326918241
258	AMBR7_P	E	0.336179798
0	AMBR7_P	F	0.810188889
6	AMBR7_P	F	1.198275371
12	AMBR7_P	F	0.762037932
18	AMBR7_P	F	0.035933326
24	AMBR7_P	F	0.032018871
30	AMBR7_P	F	0.46425124
36	AMBR7_P	F	0.193967914
42	AMBR7_P	F	0.295306458
48	AMBR7_P	F	0.264839116
54	AMBR7_P	F	0.527258572
60	AMBR7_P	F	1.068870773
66	AMBR7_P	F	0.801557094
72	AMBR7_P	F	0.508141637
78	AMBR7_P	F	0.852156011
84	AMBR7_P	F	0.4785598
90	AMBR7_P	F	1.020950148
96	AMBR7_P	F	1.495002006
102	AMBR7_P	F	7.068817746
108	AMBR7_P	F	0.303317747
114	AMBR7_P	F	0.151882257
120	AMBR7_P	F	0.113636957
126	AMBR7_P	F	0.010422006
132	AMBR7_P	F	0.013686706
138	AMBR7_P	F	0.008876761
144	AMBR7_P	F	0.054050849
150	AMBR7_P	F	0.058275796
156	AMBR7_P	F	0.113976922
162	AMBR7_P	F	0.112840353
168	AMBR7_P	F	0.166684873
174	AMBR7_P	F	0.469318333
180	AMBR7_P	F	0.46237933
186	AMBR7_P	F	0.272763828
192	AMBR7_P	F	0.290875107
198	AMBR7_P	F	0.264447476
204	AMBR7_P	F	0.220058971
210	AMBR7_P	F	0.374195314
216	AMBR7_P	F	0.158054138
222	AMBR7_P	F	0.11001068
228	AMBR7_P	F	0.19327376
234	AMBR7_P	F	0.179603251
240	AMBR7_P	F	0.227129657
246	AMBR7_P	F	0.176858474
252	AMBR7_P	F	0.063978878
258	AMBR7_P	F	0.255692851
