"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"RUMHYD_00001"	34.671055176338	-1.62419187275929	0.763395358674403	-2.12758939952113	0.0333711418949752	0.09298262057593
"RUMHYD_00002"	18885.6250186297	0.0889621539226909	0.549640480996114	0.161855170786301	0.871419905767366	0.924194604566034
"RUMHYD_00004"	18.3259100705387	-1.45603476184479	1.11250869649926	-1.30878506067099	0.19060716883982	0.32949498666874
"RUMHYD_00005"	24.6493512403184	0.345910307666356	0.708638777835237	0.488133472914154	0.625455302998232	0.750008426519547
"RUMHYD_00007"	0	NA	NA	NA	NA	NA
"RUMHYD_00006"	140.452574840055	4.93555433648511	1.02799746230243	4.80113474738628	1.5776905976125e-06	3.14237825073918e-05
"RUMHYD_00008"	189.721340715189	7.32990976611654	1.24058260760123	5.90844150256914	3.4535940547579e-09	1.50834680102378e-07
"RUMHYD_00009"	170.447266160567	5.0932044460194	0.963049539151931	5.28862144568858	1.2324165069111e-07	3.57400787004218e-06
"RUMHYD_00010"	135.981008315077	5.71164873416854	1.09754475572051	5.20402353015573	1.95019297343805e-07	5.32062622558366e-06
"RUMHYD_00011"	108.825819043023	4.84516833905337	1.08515337735015	4.46496176502241	8.00830519806545e-06	0.000127885931026376
"RUMHYD_00012"	158.633005694387	4.71785510192136	0.944032596164933	4.99755529744134	5.80616919449226e-07	1.37564466209375e-05
"RUMHYD_00013"	279.315116000037	3.01847100783847	0.597064001221604	5.0555233637644	4.29212076368667e-07	1.05843114070505e-05
"RUMHYD_00014"	325.545032217675	3.87529929944728	0.907436993643684	4.27059875957511	1.94948868236685e-05	0.000273910716030225
"RUMHYD_00015"	172.581589928119	2.44432569104568	1.00475866267242	2.43274905890769	0.0149846820000425	0.0506661485502095
"RUMHYD_00016"	0.0331878387968287	1.18221316312684	3.5070952017607	0.337091836723827	0.736047671028259	NA
"RUMHYD_00017"	819.992190936412	1.39413625582403	0.757676163132434	1.84001599055235	0.0657658897219054	0.15400604020795
"RUMHYD_00018"	1551.30333889186	1.03299876930216	0.53238753711603	1.94031358227875	0.0523415917109101	0.129744853780325
"RUMHYD_00019"	452.974388485405	0.192076128912042	0.709802168587005	0.270605159314187	0.786694727280637	0.869168058953849
"RUMHYD_00020"	456.927957719415	1.75466215242632	0.645864906264237	2.71676342127876	0.00659237114009224	0.0276269888818895
"RUMHYD_00021"	575.990229099923	-2.36855455041417	0.489299753170287	-4.84070252451131	1.29380924482961e-06	2.63486433286929e-05
"RUMHYD_00022"	297.518038698481	-0.995799097889736	0.517241610640381	-1.92521072822596	0.054203000486812	0.133391633920362
"RUMHYD_00023"	163.925094986754	0.0988750110932408	0.702872454542468	0.140672764246542	0.888128462086668	0.935592128617489
"RUMHYD_00024"	135.592374991513	0.478600472518123	0.485009725035558	0.986785311331717	0.323747897075449	0.478624032177203
"RUMHYD_00025"	224.179777069348	1.39247182632431	0.495603715086531	2.8096476760292	0.00495957601163785	0.0221956333854163
"RUMHYD_00026"	295.736277284408	1.83757078939285	0.515378858998646	3.56547568319576	0.000363196837747412	0.00295199223505464
"RUMHYD_00027"	65.2181134838458	3.30178599978811	1.23312215069342	2.67758226379391	0.00741556399850197	0.0303059971753885
"RUMHYD_00028"	148.630779693844	0.93486218770924	0.432344467423245	2.16230866392481	0.0305943923597261	0.0872876886328786
"RUMHYD_00029"	2.7939896381638	0.650056384101841	2.87679377949511	0.2259655831903	0.82122818866233	0.892179603498408
"RUMHYD_00030"	325.490239388305	-3.65944849611873	0.551836309915368	-6.63140215742592	3.32512920570175e-11	2.11466550362611e-09
"RUMHYD_00031"	365.783461347207	1.69899946022976	0.589044419531006	2.88433164613034	0.00392245425452522	0.0184922288283034
"RUMHYD_00032"	3.10724720491293	0.923291696586437	2.61510878686661	0.353060530874784	0.724043061644987	0.819692722817951
"RUMHYD_00033"	2.83150225404718	-2.65480601193946	2.40156412571704	-1.10544872964689	0.268965198675046	0.421347815556197
"RUMHYD_00034"	5.84162542607797	-1.6285561193193	1.57529631035473	-1.03380939104248	0.301225280506208	0.457453557534564
"RUMHYD_00035"	929.202425495099	-0.0951543825947321	0.465306524899875	-0.204498276948099	0.837964138341835	0.901638468830262
"RUMHYD_00036"	8774.56144934815	0.072024685283952	0.537005184866301	0.134122886172662	0.893305402599436	0.93818454796266
"RUMHYD_00037"	457.43599342383	2.12380621103054	0.822099133607641	2.58339429420219	0.00978334418145933	0.0369808369737123
"RUMHYD_00038"	360.674365175085	-0.378664354418185	0.291374030863736	-1.29958168645191	0.193744379764932	0.332697004570288
"RUMHYD_00039"	222.407887988573	0.871021586249015	0.653983862977105	1.33187015086871	0.182902861088273	0.318607819050933
"RUMHYD_00040"	620.901943456111	-0.0338248710224235	0.353678203833528	-0.0956374202758179	0.923808544320356	0.955709467226395
"RUMHYD_00041"	12474.2081977527	2.93070457666498	0.773047443626254	3.79110570874857	0.000149978099494941	0.00146541943576593
"RUMHYD_00042"	286.510429741026	1.25171139490729	0.685938379094336	1.82481609581309	0.0680287860841989	0.158263286234409
"RUMHYD_00043"	326.671414899974	1.39245315547236	0.581643511974962	2.39399757205975	0.0166658591119841	0.0547722024305913
"RUMHYD_00044"	1348.74475901576	0.0380833253147281	0.31432033783145	0.12116086912311	0.903563617637825	0.942810465947216
"RUMHYD_00045"	331.538621550593	0.535040012644305	0.355401009022537	1.50545439956918	0.132207292148883	0.255056643980682
"RUMHYD_00046"	259.259351168135	1.2272942055642	0.409725487970548	2.99540605014161	0.00274079718498038	0.0143679716546459
"RUMHYD_00047"	45341.4886295956	-4.01732228040642	0.724818948733571	-5.54251829015457	2.98152249528478e-08	1.01962443824597e-06
"RUMHYD_00048"	5.86026201119056	0.95718582102132	2.45108156377314	0.390515695262237	0.696155251659465	0.799293621892338
"RUMHYD_00049"	8932.65502438034	-0.0347054692845073	0.452134680921396	-0.0767591400283247	0.938815156327391	0.966270568338101
"RUMHYD_00050"	72.4048885055399	-0.916637845500235	0.661464907928649	-1.38576942557792	0.165817321152181	0.29904865133167
"RUMHYD_00051"	2276.9235908431	-3.85876122739124	0.875313540134971	-4.40843315047569	1.04121147709687e-05	0.000159931847647295
"RUMHYD_00052"	19.8153807053476	-2.10136212415343	0.859040041709861	-2.44617482553061	0.0144380971431374	0.0494942154580821
"RUMHYD_00053"	50.0029867485132	-1.10741548047079	0.58664504879384	-1.88770958307357	0.0590649491497272	0.141327023543077
