"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"RUMHYD_00001"	25.6861111158131	-1.06232153501863	1.03745522990452	-0.0600715416166612	0.952098655517833	1
"RUMHYD_00002"	12614.8329246449	0.567443641704399	0.261782814254253	0	1	1
"RUMHYD_00004"	13.5982415870383	-0.868791828598073	1.622132951977	0	1	1
"RUMHYD_00005"	13.5413026190884	0.395428050091549	1.21323333373063	0	1	1
"RUMHYD_00007"	0	NA	NA	NA	NA	NA
"RUMHYD_00006"	71.510286324972	5.21117955309813	1.14224421809953	3.68675935178267	0.000227127953428321	0.00275402013496915
"RUMHYD_00008"	129.804949847731	8.07173394162923	1.0995792547603	6.43130898570002	1.26509693002891e-10	8.99601848684836e-09
"RUMHYD_00009"	71.8240269865942	5.05624642202912	1.13862735179401	3.56240030211653	0.0003674794807877	0.00414147120372395
"RUMHYD_00010"	94.3241054476419	6.43637869020897	1.0373772713955	5.24050298778557	1.60139494821752e-07	5.16098687697471e-06
"RUMHYD_00011"	74.5562998187764	5.55942849042991	1.09299339592778	4.17150598294297	3.02593110460492e-05	0.000489747615784954
"RUMHYD_00012"	96.6296043623452	5.2573519455721	0.965784601468826	4.40817956622755	1.04243103999678e-05	0.000198439981396279
"RUMHYD_00013"	136.690969536912	3.1724306525234	0.598712225504654	3.62850558244783	0.00028506658711644	0.00329350516058428
"RUMHYD_00014"	43.7975731479897	1.93169466544238	1.0039472350257	0.928031506973103	0.353391226435319	0.892956922918406
"RUMHYD_00015"	21.8167125465549	-0.374592085508571	1.12393334091119	0	1	1
"RUMHYD_00016"	0	NA	NA	NA	NA	NA
"RUMHYD_00017"	198.691522240141	-0.33406400952855	0.583861102419253	0	1	1
"RUMHYD_00018"	629.540779161378	0.541229024518466	0.399623742199925	0	1	1
"RUMHYD_00019"	321.39887583019	0.82995237600199	0.469792484391867	0	1	1
"RUMHYD_00020"	127.72758769376	0.649557789630137	0.624270389623711	0	1	1
"RUMHYD_00021"	431.685607082889	-2.06626910716841	0.457800110945299	-2.32911500385331	0.0198529740466994	0.104669726231762
"RUMHYD_00022"	205.849505439711	-0.609018660955275	0.58627961710693	0	1	1
