time	experiment	replicate	acetate
0	bhbt	A	2.468379308
0	bhbt	B	2.494782043
0	bhbt	C	2.414866151
0	bhbt	D	2.380985
0	bhbt	E	2.413872186
0	bhbt	F	2.346856314
4	bhbt	A	2.505036912
4	bhbt	B	2.493983954
4	bhbt	C	2.536510161
4	bhbt	D	2.53876452
4	bhbt	E	2.583012947
4	bhbt	F	2.610348661
8	bhbt	A	3.782205033
8	bhbt	B	3.922351957
8	bhbt	C	3.922351957
8	bhbt	D	3.911570928
8	bhbt	E	4.063736315
8	bhbt	F	3.868867021
12	bhbt	A	6.817558191
12	bhbt	B	6.956097695
12	bhbt	C	6.917564089
12	bhbt	D	6.644386323
12	bhbt	E	6.859172706
12	bhbt	F	6.882897285
16	bhbt	A	11.0252549
16	bhbt	B	11.09156165
16	bhbt	C	11.07666557
16	bhbt	D	10.98137885
16	bhbt	E	10.93412102
16	bhbt	F	10.93520013
20	bhbt	A	12.70112021
20	bhbt	B	12.89859591
20	bhbt	C	12.81065631
20	bhbt	D	12.9886832
20	bhbt	E	12.94366586
20	bhbt	F	12.86870234
24	bhbt	A	13.27412912
24	bhbt	B	13.27480452
24	bhbt	C	13.04788105
24	bhbt	D	13.13144969
24	bhbt	E	13.08410385
24	bhbt	F	13.05008231
28	bhbt	A	13.42800046
28	bhbt	B	13.58936816
28	bhbt	C	13.54971383
28	bhbt	D	13.33231099
28	bhbt	E	13.28092807
28	bhbt	F	13.22586202
32	bhbt	A	13.45143948
32	bhbt	B	13.42955503
32	bhbt	C	13.24608094
32	bhbt	D	13.34890418
32	bhbt	E	13.32107699
32	bhbt	F	13.21242006
36	bhbt	A	13.48658031
36	bhbt	B	13.46940069
36	bhbt	C	13.31407331
36	bhbt	D	13.31407331
36	bhbt	E	13.25975154
36	bhbt	F	13.18489229
40	bhbt	A	13.19857629
40	bhbt	B	13.38675235
40	bhbt	C	13.41699988
40	bhbt	D	13.42007936
40	bhbt	E	13.41114898
40	bhbt	F	13.1785621
44	bhbt	A	13.49521795
44	bhbt	B	13.34993259
44	bhbt	C	13.46004173
44	bhbt	D	13.26248567
44	bhbt	E	13.29214103
44	bhbt	F	13.24048354
48	bhbt	A	13.32059196
48	bhbt	B	13.29205302
48	bhbt	C	13.24543041
48	bhbt	D	13.25455212
48	bhbt	E	13.1799636
48	bhbt	F	13.16648146
60	bhbt	A	13.05687934
60	bhbt	B	12.97271214
60	bhbt	C	12.99076134
60	bhbt	D	13.05264209
60	bhbt	E	12.91797976
60	bhbt	F	12.86678096
72	bhbt	A	12.59836705
72	bhbt	B	12.62869026
72	bhbt	C	12.53077937
72	bhbt	D	12.59595014
72	bhbt	E	12.5663153
72	bhbt	F	12.46682412
96	bhbt	A	12.34572545
96	bhbt	B	12.32856701
96	bhbt	C	12.1889473
96	bhbt	D	12.26578373
96	bhbt	E	12.2269625
96	bhbt	F	12.23258941
120	bhbt	A	11.98120804
120	bhbt	B	12.01269146
120	bhbt	C	12.07181877
120	bhbt	D	12.10304331
120	bhbt	E	12.08228421
120	bhbt	F	11.99669323
