time	experiment	replicate	dead
0	bhbt	A	0.00096
0	bhbt	B	0.00143
0	bhbt	C	0.00095
0	bhbt	D	0.00171
0	bhbt	E	0.00103
0	bhbt	F	0.00142
4	bhbt	A	0.00082
4	bhbt	B	0.00071
4	bhbt	C	0.00053
4	bhbt	D	0.00047
4	bhbt	E	0.00077
4	bhbt	F	0.00065
8	bhbt	A	0.01425
8	bhbt	B	0.0154
8	bhbt	C	0.01325
8	bhbt	D	0.0104
8	bhbt	E	0.0183
8	bhbt	F	0.0105
12	bhbt	A	0.134
12	bhbt	B	0.17455
12	bhbt	C	0.1277
12	bhbt	D	0.13975
12	bhbt	E	0.08285
12	bhbt	F	0.1255
16	bhbt	A	0.1242
16	bhbt	B	0.1192
16	bhbt	C	0.13645
16	bhbt	D	0.14615
16	bhbt	E	0.165
16	bhbt	F	0.16385
20	bhbt	A	0.1839
20	bhbt	B	0.1742
20	bhbt	C	0.1582
20	bhbt	D	0.17055
20	bhbt	E	0.1974
20	bhbt	F	0.1988
24	bhbt	A	0.2745
24	bhbt	B	0.23385
24	bhbt	C	0.28085
24	bhbt	D	0.19705
24	bhbt	E	0.31665
24	bhbt	F	0.30155
28	bhbt	A	0.5511
28	bhbt	B	0.474
28	bhbt	C	0.53915
28	bhbt	D	0.3351
28	bhbt	E	0.5489
28	bhbt	F	0.52875
32	bhbt	A	2.05785
32	bhbt	B	1.76865
32	bhbt	C	1.93625
32	bhbt	D	2.30435
32	bhbt	E	3.2759
32	bhbt	F	3.53525
36	bhbt	A	4.83055
36	bhbt	B	5.02745
36	bhbt	C	4.6614
36	bhbt	D	5.4839
36	bhbt	E	7.41735
36	bhbt	F	6.9419
40	bhbt	A	7.1997
40	bhbt	B	6.0108
40	bhbt	C	7.43835
40	bhbt	D	6.92515
40	bhbt	E	9.8162
40	bhbt	F	8.1636
44	bhbt	A	9.1163
44	bhbt	B	9.75935
44	bhbt	C	10.3303
44	bhbt	D	9.49605
44	bhbt	E	8.90835
44	bhbt	F	8.27625
48	bhbt	A	11.0189
48	bhbt	B	9.99025
48	bhbt	C	10.452
48	bhbt	D	11.11765
48	bhbt	E	10.58015
48	bhbt	F	10.6703
60	bhbt	A	11.3702
60	bhbt	B	11.1893
60	bhbt	C	9.5422
60	bhbt	D	12.0557
60	bhbt	E	10.58205
60	bhbt	F	9.47035
72	bhbt	A	10.78135
72	bhbt	B	10.26625
72	bhbt	C	10.28025
72	bhbt	D	12.0923
72	bhbt	E	10.80355
72	bhbt	F	9.2225
96	bhbt	A	10.26245
96	bhbt	B	10.1431
96	bhbt	C	9.67245
96	bhbt	D	11.7092
96	bhbt	E	10.2384
96	bhbt	F	10.13535
120	bhbt	A	10.6669
120	bhbt	B	10.42285
120	bhbt	C	10.11765
120	bhbt	D	9.96125
120	bhbt	E	10.0796
120	bhbt	F	9.82785
