time	experiment	replicate	glucose
0	bhbt	A	8.611700738
0	bhbt	B	8.534319576
0	bhbt	C	8.572047432
0	bhbt	D	8.569048841
0	bhbt	E	8.551739265
0	bhbt	F	8.463767828
4	bhbt	A	8.420082942
4	bhbt	B	8.552721153
4	bhbt	C	8.64303233
4	bhbt	D	8.569339028
4	bhbt	E	8.349224582
4	bhbt	F	8.499738141
8	bhbt	A	7.27716482
8	bhbt	B	7.353065241
8	bhbt	C	7.353065241
8	bhbt	D	7.538098183
8	bhbt	E	7.340824494
8	bhbt	F	7.350025282
12	bhbt	A	4.502002856
12	bhbt	B	4.26376759
12	bhbt	C	4.298464917
12	bhbt	D	4.391311726
12	bhbt	E	4.244256066
12	bhbt	F	4.31412828
16	bhbt	A	0.76045963
16	bhbt	B	0.660038246
16	bhbt	C	0.693484259
16	bhbt	D	0.811669662
16	bhbt	E	0.681563431
16	bhbt	F	0.663154782
20	bhbt	A	0.114589548
20	bhbt	B	0.113374564
20	bhbt	C	0.109114907
20	bhbt	D	0.121560281
20	bhbt	E	0.114706229
20	bhbt	F	0.10777963
24	bhbt	A	0.084155823
24	bhbt	B	0.085204355
24	bhbt	C	0.077813466
24	bhbt	D	0.083427516
24	bhbt	E	0.078085953
24	bhbt	F	0.078033724
28	bhbt	A	0.082138607
28	bhbt	B	0.08342993
28	bhbt	C	0.085760897
28	bhbt	D	0.082665568
28	bhbt	E	0.081474861
28	bhbt	F	0.084243113
32	bhbt	A	0.083122215
32	bhbt	B	0.084965565
32	bhbt	C	0.082141582
32	bhbt	D	0.083639081
32	bhbt	E	0.083931073
32	bhbt	F	0.085101476
36	bhbt	A	0.084530676
36	bhbt	B	0.084159103
36	bhbt	C	0.083867462
36	bhbt	D	0.083867462
36	bhbt	E	0.081191148
36	bhbt	F	0.081976413
40	bhbt	A	0.083896758
40	bhbt	B	0.083566145
40	bhbt	C	0.08500642
40	bhbt	D	0.085050963
40	bhbt	E	0.084721671
40	bhbt	F	0.084824398
44	bhbt	A	0.08138567
44	bhbt	B	0.083120628
44	bhbt	C	0.082356903
44	bhbt	D	0.08496644
44	bhbt	E	0.082230003
44	bhbt	F	0.082358994
48	bhbt	A	0.08276338
48	bhbt	B	0.082802819
48	bhbt	C	0.082184605
48	bhbt	D	0.083131502
48	bhbt	E	0.082611595
48	bhbt	F	0.083692141
60	bhbt	A	0
60	bhbt	B	0
60	bhbt	C	0
60	bhbt	D	0
60	bhbt	E	0
60	bhbt	F	0
72	bhbt	A	0
72	bhbt	B	0
72	bhbt	C	0
72	bhbt	D	0
72	bhbt	E	0
72	bhbt	F	0
96	bhbt	A	0
96	bhbt	B	0
96	bhbt	C	0
96	bhbt	D	0
96	bhbt	E	0
96	bhbt	F	0
120	bhbt	A	0
120	bhbt	B	0.11258563
120	bhbt	C	0
120	bhbt	D	0.134588698
120	bhbt	E	0.084336695
120	bhbt	F	0.063072576
