time	experiment	replicate	lactate
0	bhbt	A	0.382365956
0	bhbt	B	0.285470423
0	bhbt	C	0
0	bhbt	D	0.378785233
0	bhbt	E	0.341544687
0	bhbt	F	0.176178605
4	bhbt	A	0
4	bhbt	B	0.982094763
4	bhbt	C	0.29955322
4	bhbt	D	0.33533828
4	bhbt	E	0.321695201
4	bhbt	F	0.353564159
8	bhbt	A	0.271570534
8	bhbt	B	0.197363084
8	bhbt	C	0.197363084
8	bhbt	D	0.226711834
8	bhbt	E	0.207581285
8	bhbt	F	0.256635739
12	bhbt	A	0.16585696
12	bhbt	B	1.922466224
12	bhbt	C	1.860144077
12	bhbt	D	1.498556734
12	bhbt	E	1.993963308
12	bhbt	F	1.62785992
16	bhbt	A	3.335732167
16	bhbt	B	3.570723808
16	bhbt	C	3.496814269
16	bhbt	D	3.486663859
16	bhbt	E	3.772916903
16	bhbt	F	3.764569175
20	bhbt	A	3.94862776
20	bhbt	B	4.159302319
20	bhbt	C	3.956173295
20	bhbt	D	3.906162564
20	bhbt	E	3.965202851
20	bhbt	F	3.813477499
24	bhbt	A	3.877010658
24	bhbt	B	3.742888097
24	bhbt	C	3.868246271
24	bhbt	D	3.865566919
24	bhbt	E	3.863933021
24	bhbt	F	3.793088366
28	bhbt	A	3.970196315
28	bhbt	B	4.181882202
28	bhbt	C	4.003175866
28	bhbt	D	4.017257453
28	bhbt	E	3.912704149
28	bhbt	F	3.733949852
32	bhbt	A	3.838567027
32	bhbt	B	3.922275109
32	bhbt	C	3.847055639
32	bhbt	D	3.760767816
32	bhbt	E	3.727681044
32	bhbt	F	3.947003085
36	bhbt	A	3.940677785
36	bhbt	B	3.959240946
36	bhbt	C	4.136846027
36	bhbt	D	4.136846027
36	bhbt	E	3.910148388
36	bhbt	F	3.861116243
40	bhbt	A	3.996769862
40	bhbt	B	3.817002623
40	bhbt	C	3.985778984
40	bhbt	D	4.194611662
40	bhbt	E	3.918162464
40	bhbt	F	4.103014248
44	bhbt	A	4.139121862
44	bhbt	B	3.960353269
44	bhbt	C	4.002318104
44	bhbt	D	3.950134838
44	bhbt	E	4.077982826
44	bhbt	F	4.045083056
48	bhbt	A	4.04566412
48	bhbt	B	4.203481194
48	bhbt	C	3.930071516
48	bhbt	D	4.106043622
48	bhbt	E	4.085574017
48	bhbt	F	4.040188742
60	bhbt	A	4.287066837
60	bhbt	B	4.817269135
60	bhbt	C	4.195254522
60	bhbt	D	4.279315162
60	bhbt	E	4.357692901
60	bhbt	F	4.288003457
72	bhbt	A	4.816942235
72	bhbt	B	4.138138314
72	bhbt	C	4.672644537
72	bhbt	D	4.228297128
72	bhbt	E	4.220392578
72	bhbt	F	4.13981041
96	bhbt	A	4.485023159
96	bhbt	B	4.264199972
96	bhbt	C	4.769871583
96	bhbt	D	4.269854289
96	bhbt	E	4.278739219
96	bhbt	F	4.114829603
120	bhbt	A	4.202732787
120	bhbt	B	4.111013837
120	bhbt	C	3.959027412
120	bhbt	D	4.236306083
120	bhbt	E	4.163949503
120	bhbt	F	4.013718536
