time	experiment	replicate	bt_live
0	bhbt	A	0.01234
0	bhbt	B	0.01629
0	bhbt	C	0.01449
0	bhbt	D	0.01478
0	bhbt	E	0.01486
0	bhbt	F	0.01288
4	bhbt	A	0.22295
4	bhbt	B	0.29012
4	bhbt	C	0.25262
4	bhbt	D	0.21685
4	bhbt	E	0.28557
4	bhbt	F	0.28801
8	bhbt	A	3.36635
8	bhbt	B	3.11665
8	bhbt	C	3.7031
8	bhbt	D	2.85465
8	bhbt	E	3.5378
8	bhbt	F	4.21515
12	bhbt	A	7.2597
12	bhbt	B	6.7684
12	bhbt	C	6.1566
12	bhbt	D	6.75615
12	bhbt	E	6.8163
12	bhbt	F	5.85125
16	bhbt	A	8.80635
16	bhbt	B	8.2577
16	bhbt	C	9.3951
16	bhbt	D	10.1232
16	bhbt	E	10.3818
16	bhbt	F	9.92165
20	bhbt	A	8.92015
20	bhbt	B	9.24055
20	bhbt	C	7.7957
20	bhbt	D	9.7037
20	bhbt	E	9.10425
20	bhbt	F	9.00785
24	bhbt	A	7.8565
24	bhbt	B	7.7638
24	bhbt	C	8.4049
24	bhbt	D	7.23235
24	bhbt	E	7.92455
24	bhbt	F	7.4639
28	bhbt	A	9.0659
28	bhbt	B	9.02005
28	bhbt	C	8.58225
28	bhbt	D	8.5739
28	bhbt	E	8.54375
28	bhbt	F	7.63205
32	bhbt	A	8.3565
32	bhbt	B	8.2825
32	bhbt	C	8.3134
32	bhbt	D	7.7262
32	bhbt	E	8.0816
32	bhbt	F	7.0159
36	bhbt	A	6.03015
36	bhbt	B	6.0597
36	bhbt	C	4.33275
36	bhbt	D	5.06095
36	bhbt	E	3.66725
36	bhbt	F	2.39795
40	bhbt	A	3.5207
40	bhbt	B	3.19645
40	bhbt	C	3.9058
40	bhbt	D	3.7735
40	bhbt	E	1.3272
40	bhbt	F	2.16415
44	bhbt	A	1.6711
44	bhbt	B	1.51225
44	bhbt	C	1.34225
44	bhbt	D	1.7683
44	bhbt	E	0.74145
44	bhbt	F	0.35955
48	bhbt	A	1.21395
48	bhbt	B	0.9865
48	bhbt	C	0.80175
48	bhbt	D	0.45965
48	bhbt	E	0.38075
48	bhbt	F	0.5306
60	bhbt	A	0.6022
60	bhbt	B	0.4596
60	bhbt	C	0.4134
60	bhbt	D	0.4176
60	bhbt	E	0.3231
60	bhbt	F	0.21765
72	bhbt	A	0.3766
72	bhbt	B	0.3073
72	bhbt	C	0.26245
72	bhbt	D	0.2415
72	bhbt	E	0.2069
72	bhbt	F	0.10505
96	bhbt	A	0.1502
96	bhbt	B	0.137
96	bhbt	C	0.13525
96	bhbt	D	0.2041
96	bhbt	E	0.11665
96	bhbt	F	0.07755
120	bhbt	A	0.135
120	bhbt	B	0.10195
120	bhbt	C	0.0694
120	bhbt	D	0.09235
120	bhbt	E	0.06545
120	bhbt	F	0.06575
