time	experiment	replicate	od
0	bhbt	A	0.006283662
0	bhbt	B	0.005163511
0	bhbt	C	0.002688172
0	bhbt	D	0.002435065
0	bhbt	E	0.003252033
0	bhbt	F	0.006589786
4	bhbt	A	0
4	bhbt	B	0.0232358
4	bhbt	C	0.024193548
4	bhbt	D	0.020292208
4	bhbt	E	0.022764228
4	bhbt	F	0.024711697
8	bhbt	A	0.303411131
8	bhbt	B	0.328743546
8	bhbt	C	0.335125448
8	bhbt	D	0.279220779
8	bhbt	E	0.302439024
8	bhbt	F	0.342668863
12	bhbt	A	0.807899461
12	bhbt	B	0.788296041
12	bhbt	C	0.781362007
12	bhbt	D	0.673701299
12	bhbt	E	0.710569106
12	bhbt	F	0.708401977
16	bhbt	A	1
16	bhbt	B	1
16	bhbt	C	1
16	bhbt	D	1
16	bhbt	E	1
16	bhbt	F	1
20	bhbt	A	0.955116697
20	bhbt	B	0.896729776
20	bhbt	C	0.930107527
20	bhbt	D	0.86525974
20	bhbt	E	0.83902439
20	bhbt	F	0.859967051
24	bhbt	A	0.766606822
24	bhbt	B	0.722891566
24	bhbt	C	0.73297491
24	bhbt	D	0.701298701
24	bhbt	E	0.682926829
24	bhbt	F	0.696869852
28	bhbt	A	0.727109515
28	bhbt	B	0.69363167
28	bhbt	C	0.718637993
28	bhbt	D	0.655844156
28	bhbt	E	0.658536585
28	bhbt	F	0.658978583
32	bhbt	A	0.736086176
32	bhbt	B	0.698795181
32	bhbt	C	0.727598566
32	bhbt	D	0.655844156
32	bhbt	E	0.668292683
32	bhbt	F	0.686985173
36	bhbt	A	0.791741472
36	bhbt	B	0.764199656
36	bhbt	C	0.799283154
36	bhbt	D	0.719155844
36	bhbt	E	0.725203252
36	bhbt	F	0.749588138
40	bhbt	A	0.816876122
40	bhbt	B	0.803786575
40	bhbt	C	0.835125448
40	bhbt	D	0.753246753
40	bhbt	E	0.749593496
40	bhbt	F	0.780889621
44	bhbt	A	0.850987433
44	bhbt	B	0.815834768
44	bhbt	C	0.85483871
44	bhbt	D	0.774350649
44	bhbt	E	0.782113821
44	bhbt	F	0.800658979
48	bhbt	A	0.859964093
48	bhbt	B	0.819277108
48	bhbt	C	0.862007168
48	bhbt	D	0.779220779
48	bhbt	E	0.77398374
48	bhbt	F	0.799011532
60	bhbt	A	0.895870736
60	bhbt	B	0.858864028
60	bhbt	C	0.887096774
60	bhbt	D	0.819805195
60	bhbt	E	0.808130081
60	bhbt	F	0.835255354
72	bhbt	A	0.881508079
72	bhbt	B	0.841652324
72	bhbt	C	0.885304659
72	bhbt	D	0.803571429
72	bhbt	E	0.801626016
72	bhbt	F	0.817133443
96	bhbt	A	0.903052065
96	bhbt	B	0.839931153
96	bhbt	C	0.876344086
96	bhbt	D	0.793831169
96	bhbt	E	0.793495935
96	bhbt	F	0.805601318
120	bhbt	A	0.870736086
120	bhbt	B	0.831325301
120	bhbt	C	0.872759857
120	bhbt	D	0.787337662
120	bhbt	E	0.788617886
120	bhbt	F	0.799011532
