time	experiment	replicate	pH
0	bhbt	A	6.61
0	bhbt	B	6.65
0	bhbt	C	6.57
0	bhbt	D	6.65
0	bhbt	E	6.65
0	bhbt	F	6.61
4	bhbt	A	6.57
4	bhbt	B	6.57
4	bhbt	C	6.61
4	bhbt	D	6.61
4	bhbt	E	6.57
4	bhbt	F	6.57
8	bhbt	A	6.35
8	bhbt	B	6.27
8	bhbt	C	6.3
8	bhbt	D	6.31
8	bhbt	E	6.31
8	bhbt	F	6.3
12	bhbt	A	5.38
12	bhbt	B	5.38
12	bhbt	C	5.38
12	bhbt	D	5.38
12	bhbt	E	5.38
12	bhbt	F	5.42
16	bhbt	A	5.05
16	bhbt	B	5.05
16	bhbt	C	5.09
16	bhbt	D	5.09
16	bhbt	E	5.05
16	bhbt	F	5.05
20	bhbt	A	5
20	bhbt	B	5
20	bhbt	C	5
20	bhbt	D	4.99
20	bhbt	E	5
20	bhbt	F	5
24	bhbt	A	4.99
24	bhbt	B	5
24	bhbt	C	5.04
24	bhbt	D	4.99
24	bhbt	E	4.99
24	bhbt	F	4.99
28	bhbt	A	4.99
28	bhbt	B	5
28	bhbt	C	5
28	bhbt	D	5
28	bhbt	E	5
28	bhbt	F	5
32	bhbt	A	5.01
32	bhbt	B	5.01
32	bhbt	C	5.01
32	bhbt	D	5.01
32	bhbt	E	5.01
32	bhbt	F	5.04
36	bhbt	A	5.09
36	bhbt	B	5.09
36	bhbt	C	5.09
36	bhbt	D	5.09
36	bhbt	E	5.09
36	bhbt	F	5.09
40	bhbt	A	5.09
40	bhbt	B	5.09
40	bhbt	C	5.09
40	bhbt	D	5.09
40	bhbt	E	5.09
40	bhbt	F	5.09
44	bhbt	A	5.14
44	bhbt	B	5.14
44	bhbt	C	5.14
44	bhbt	D	5.14
44	bhbt	E	5.14
44	bhbt	F	5.13
48	bhbt	A	5.16
48	bhbt	B	5.16
48	bhbt	C	5.16
48	bhbt	D	5.17
48	bhbt	E	5.12
48	bhbt	F	5.16
60	bhbt	A	5.25
60	bhbt	B	5.25
60	bhbt	C	5.21
60	bhbt	D	5.25
60	bhbt	E	5.21
60	bhbt	F	5.21
72	bhbt	A	5.25
72	bhbt	B	5.17
72	bhbt	C	5.21
72	bhbt	D	5.21
72	bhbt	E	5.25
72	bhbt	F	5.25
96	bhbt	A	5.21
96	bhbt	B	5.17
96	bhbt	C	5.17
96	bhbt	D	5.21
96	bhbt	E	5.17
96	bhbt	F	5.21
120	bhbt	A	5.17
120	bhbt	B	5.21
120	bhbt	C	5.17
120	bhbt	D	5.17
120	bhbt	E	5.21
120	bhbt	F	5.17
