time	experiment	replicate	pyruvate
0	bhbt	A	8.421632618
0	bhbt	B	8.325469087
0	bhbt	C	8.589415529
0	bhbt	D	8.634820583
0	bhbt	E	8.633869718
0	bhbt	F	8.660354029
4	bhbt	A	8.631659572
4	bhbt	B	8.621712436
4	bhbt	C	8.676675412
4	bhbt	D	8.639038879
4	bhbt	E	8.584046341
4	bhbt	F	8.509384193
8	bhbt	A	7.955390025
8	bhbt	B	8.093869239
8	bhbt	C	8.093869239
8	bhbt	D	7.952752995
8	bhbt	E	8.015980335
8	bhbt	F	8.189568799
12	bhbt	A	7.864602691
12	bhbt	B	7.572848626
12	bhbt	C	7.638910066
12	bhbt	D	7.539101909
12	bhbt	E	7.648417105
12	bhbt	F	7.698305838
16	bhbt	A	3.379916429
16	bhbt	B	3.140113269
16	bhbt	C	3.253857909
16	bhbt	D	3.206717058
16	bhbt	E	3.218021558
16	bhbt	F	3.11254419
20	bhbt	A	0.852577479
20	bhbt	B	0.842250558
20	bhbt	C	0.835699931
20	bhbt	D	0.871686962
20	bhbt	E	0.850288553
20	bhbt	F	0.818205377
24	bhbt	A	0.688967681
24	bhbt	B	0.679819953
24	bhbt	C	0.665704421
24	bhbt	D	0.687012523
24	bhbt	E	0.665625976
24	bhbt	F	0.668408992
28	bhbt	A	0.642311632
28	bhbt	B	0.653517798
28	bhbt	C	0.657428669
28	bhbt	D	0.659430975
28	bhbt	E	0.63520104
28	bhbt	F	0.649815456
32	bhbt	A	0.606261603
32	bhbt	B	0.613558362
32	bhbt	C	0.607723983
32	bhbt	D	0.63177179
32	bhbt	E	0.615776112
32	bhbt	F	0.607522572
36	bhbt	A	0.585184342
36	bhbt	B	0.59330588
36	bhbt	C	0.58803717
36	bhbt	D	0.58803717
36	bhbt	E	0.577378904
36	bhbt	F	0.58196135
40	bhbt	A	0.547314288
40	bhbt	B	0.563596687
40	bhbt	C	0.55691022
40	bhbt	D	0.57573389
40	bhbt	E	0.555193122
40	bhbt	F	0.56254874
44	bhbt	A	0.525540213
44	bhbt	B	0.541802875
44	bhbt	C	0.547429027
44	bhbt	D	0.558180679
44	bhbt	E	0.537046983
44	bhbt	F	0.536616093
48	bhbt	A	0.514418195
48	bhbt	B	0.514439497
48	bhbt	C	0.506439614
48	bhbt	D	0.522247762
48	bhbt	E	0.504081431
48	bhbt	F	0.512815987
60	bhbt	A	0.260528757
60	bhbt	B	0.26516047
60	bhbt	C	0.267626906
60	bhbt	D	0.282515551
60	bhbt	E	0.275546578
60	bhbt	F	0.283208983
72	bhbt	A	0.268451029
72	bhbt	B	0.274625586
72	bhbt	C	0.27457753
72	bhbt	D	0.292193537
72	bhbt	E	0.282652198
72	bhbt	F	0.281827722
96	bhbt	A	0.244152038
96	bhbt	B	0.249951662
96	bhbt	C	0.249226125
96	bhbt	D	0.271141213
96	bhbt	E	0.257059755
96	bhbt	F	0.263110462
120	bhbt	A	0.226405643
120	bhbt	B	0.23390654
120	bhbt	C	0.230921431
120	bhbt	D	0.24981557
120	bhbt	E	0.232948496
120	bhbt	F	0.242205815
