time	experiment	replicate	succinate
0	bhbt	A	0.356918496
0	bhbt	B	0.35388713
0	bhbt	C	0.353165603
0	bhbt	D	0.35384205
0	bhbt	E	0.38413839
0	bhbt	F	0.357999452
4	bhbt	A	0.376982765
4	bhbt	B	0.379563166
4	bhbt	C	0.383920212
4	bhbt	D	0.381293355
4	bhbt	E	0.372215162
4	bhbt	F	0.350171542
8	bhbt	A	0.994389534
8	bhbt	B	1.090535135
8	bhbt	C	1.090535135
8	bhbt	D	1.029855356
8	bhbt	E	1.100194509
8	bhbt	F	1.107815118
12	bhbt	A	2.870660342
12	bhbt	B	4.588108158
12	bhbt	C	4.318070739
12	bhbt	D	3.948859768
12	bhbt	E	4.278072653
12	bhbt	F	4.204037821
16	bhbt	A	6.551368542
16	bhbt	B	6.776218722
16	bhbt	C	6.751775849
16	bhbt	D	6.776214952
16	bhbt	E	7.003668819
16	bhbt	F	6.989236699
20	bhbt	A	7.847894478
20	bhbt	B	8.399427051
20	bhbt	C	7.963698895
20	bhbt	D	8.215180956
20	bhbt	E	8.272550049
20	bhbt	F	7.92443184
24	bhbt	A	8.507940012
24	bhbt	B	8.653741502
24	bhbt	C	8.291114519
24	bhbt	D	8.855783024
24	bhbt	E	8.565067209
24	bhbt	F	8.723895934
28	bhbt	A	9.084034837
28	bhbt	B	9.065822216
28	bhbt	C	9.061743273
28	bhbt	D	9.020137674
28	bhbt	E	8.693639373
28	bhbt	F	8.852961315
32	bhbt	A	8.549407384
32	bhbt	B	8.900575376
32	bhbt	C	8.848196265
32	bhbt	D	9.2432418
32	bhbt	E	8.877265962
32	bhbt	F	8.589265672
36	bhbt	A	8.693242285
36	bhbt	B	8.88812995
36	bhbt	C	8.842949307
36	bhbt	D	8.842949307
36	bhbt	E	8.940972748
36	bhbt	F	8.873898886
40	bhbt	A	8.577691702
40	bhbt	B	8.964840096
40	bhbt	C	8.751318848
40	bhbt	D	9.280901027
40	bhbt	E	9.028484052
40	bhbt	F	8.769216689
44	bhbt	A	8.965545052
44	bhbt	B	9.029995749
44	bhbt	C	8.871339808
44	bhbt	D	9.228083989
44	bhbt	E	8.820575435
44	bhbt	F	8.871802867
48	bhbt	A	8.903176551
48	bhbt	B	9.104126083
48	bhbt	C	8.818618271
48	bhbt	D	9.170025647
48	bhbt	E	8.929956083
48	bhbt	F	9.001870392
60	bhbt	A	8.854390682
60	bhbt	B	9.338103339
60	bhbt	C	9.331989436
60	bhbt	D	9.96113161
60	bhbt	E	9.422751983
60	bhbt	F	9.747671546
72	bhbt	A	9.496372829
72	bhbt	B	9.209834015
72	bhbt	C	9.153823972
72	bhbt	D	9.496805922
72	bhbt	E	9.409596679
72	bhbt	F	9.047003915
96	bhbt	A	9.167987554
96	bhbt	B	8.766718177
96	bhbt	C	9.415807906
96	bhbt	D	9.513692633
96	bhbt	E	9.346108249
96	bhbt	F	9.28889528
120	bhbt	A	8.97030276
120	bhbt	B	8.966687168
120	bhbt	C	9.412746088
120	bhbt	D	9.297270023
120	bhbt	E	9.129814107
120	bhbt	F	8.974710571
