time	experiment	replicate	acetate
0	bhbtri	A	1.991844082
0	bhbtri	B	2.011526552
0	bhbtri	C	2.082331736
0	bhbtri	D	1.927216143
0	bhbtri	E	1.98034879
0	bhbtri	F	1.95388447
4	bhbtri	A	2.026111483
4	bhbtri	B	2.069328396
4	bhbtri	C	2.099778024
4	bhbtri	D	2.055562362
4	bhbtri	E	2.112069373
4	bhbtri	F	2.072846736
8	bhbtri	A	3.25274021
8	bhbtri	B	3.338432867
8	bhbtri	C	3.358571662
8	bhbtri	D	3.196293229
8	bhbtri	E	3.293095527
8	bhbtri	F	3.024779245
12	bhbtri	A	8.526806473
12	bhbtri	B	9.054083424
12	bhbtri	C	8.812288742
12	bhbtri	D	8.380778748
12	bhbtri	E	8.766243956
12	bhbtri	F	7.477237223
16	bhbtri	A	12.43655043
16	bhbtri	B	12.32688135
16	bhbtri	C	12.44119786
16	bhbtri	D	12.36926597
16	bhbtri	E	12.58932736
16	bhbtri	F	12.98361197
20	bhbtri	A	11.82311325
20	bhbtri	B	12.11286699
20	bhbtri	C	12.2262211
20	bhbtri	D	11.98571886
20	bhbtri	E	12.31177576
20	bhbtri	F	12.91570378
24	bhbtri	A	12.59083887
24	bhbtri	B	12.52075046
24	bhbtri	C	12.83471141
24	bhbtri	D	12.68593234
24	bhbtri	E	12.95936267
24	bhbtri	F	13.42267954
28	bhbtri	A	12.54199587
28	bhbtri	B	12.58187692
28	bhbtri	C	12.48756408
28	bhbtri	D	12.43140266
28	bhbtri	E	12.73976144
28	bhbtri	F	13.22421944
32	bhbtri	A	12.6254832
32	bhbtri	B	12.49787205
32	bhbtri	C	12.59509216
32	bhbtri	D	12.44909314
32	bhbtri	E	12.98560277
32	bhbtri	F	14.18128632
36	bhbtri	A	12.55088415
36	bhbtri	B	13.30328033
36	bhbtri	C	12.47891113
36	bhbtri	D	12.24441669
36	bhbtri	E	12.50833499
36	bhbtri	F	13.12852041
40	bhbtri	A	12.40255567
40	bhbtri	B	12.3133198
40	bhbtri	C	12.42756743
40	bhbtri	D	12.27698029
40	bhbtri	E	12.68609498
40	bhbtri	F	13.14103442
44	bhbtri	A	12.3621035
44	bhbtri	B	12.26945906
44	bhbtri	C	12.32746109
44	bhbtri	D	12.23307554
44	bhbtri	E	12.65128802
44	bhbtri	F	13.13169364
48	bhbtri	A	12.28892604
48	bhbtri	B	12.17254125
48	bhbtri	C	12.21962592
48	bhbtri	D	12.10059788
48	bhbtri	E	12.61504991
48	bhbtri	F	13.03096164
60	bhbtri	A	12.04277093
60	bhbtri	B	11.89368669
60	bhbtri	C	12.20723053
60	bhbtri	D	11.66849094
60	bhbtri	E	12.36082062
60	bhbtri	F	12.90781233
72	bhbtri	A	11.94651225
72	bhbtri	B	11.72218036
72	bhbtri	C	11.97911507
72	bhbtri	D	11.71658775
72	bhbtri	E	12.28951247
72	bhbtri	F	12.77081352
96	bhbtri	A	12.5380267
96	bhbtri	B	11.7157325
96	bhbtri	C	12.18801324
96	bhbtri	D	11.55328187
96	bhbtri	E	12.09165602
96	bhbtri	F	12.72941234
120	bhbtri	A	11.59523504
120	bhbtri	B	11.43126141
120	bhbtri	C	11.5172944
120	bhbtri	D	11.36663742
120	bhbtri	E	11.96108498
120	bhbtri	F	12.45942119
