time	experiment	replicate	dead
0	bhbtri	A	0.00098
0	bhbtri	B	0.00092
0	bhbtri	C	0.00098
0	bhbtri	D	0.00129
0	bhbtri	E	0.00229
0	bhbtri	F	0.00225
4	bhbtri	A	0.00268
4	bhbtri	B	0.0021
4	bhbtri	C	0.00293
4	bhbtri	D	0.00294
4	bhbtri	E	0.00337
4	bhbtri	F	0.00218
8	bhbtri	A	0.0233
8	bhbtri	B	0.0313
8	bhbtri	C	0.0276
8	bhbtri	D	0.0428
8	bhbtri	E	0.0342
8	bhbtri	F	0.0306
12	bhbtri	A	0.1417
12	bhbtri	B	0.1776
12	bhbtri	C	0.1793
12	bhbtri	D	0.2551
12	bhbtri	E	0.2309
12	bhbtri	F	0.3824
16	bhbtri	A	0.0774
16	bhbtri	B	0.0924
16	bhbtri	C	0.0741
16	bhbtri	D	0.0988
16	bhbtri	E	0.1299
16	bhbtri	F	0.0743
20	bhbtri	A	0.3643
20	bhbtri	B	0.4717
20	bhbtri	C	0.4851
20	bhbtri	D	0.3409
20	bhbtri	E	0.4812
20	bhbtri	F	0.6556
24	bhbtri	A	1.2365
24	bhbtri	B	1.1968
24	bhbtri	C	1.4058
24	bhbtri	D	1.417
24	bhbtri	E	1.0537
24	bhbtri	F	1.261
28	bhbtri	A	2.3924
28	bhbtri	B	2.1247
28	bhbtri	C	2.2623
28	bhbtri	D	2.2353
28	bhbtri	E	1.6877
28	bhbtri	F	1.8726
32	bhbtri	A	2.7363
32	bhbtri	B	3.4891
32	bhbtri	C	3.109
32	bhbtri	D	3.2231
32	bhbtri	E	3.0017
32	bhbtri	F	2.7469
36	bhbtri	A	4.6625
36	bhbtri	B	4.8137
36	bhbtri	C	6.3573
36	bhbtri	D	4.6169
36	bhbtri	E	6.2725
36	bhbtri	F	5.1795
40	bhbtri	A	4.5066
40	bhbtri	B	5.3574
40	bhbtri	C	5.3595
40	bhbtri	D	4.8002
40	bhbtri	E	5.2711
40	bhbtri	F	6.5081
44	bhbtri	A	4.6399
44	bhbtri	B	5.6463
44	bhbtri	C	5.5534
44	bhbtri	D	4.9341
44	bhbtri	E	7.7151
44	bhbtri	F	6.6965
48	bhbtri	A	6.9029
48	bhbtri	B	7.2188
48	bhbtri	C	7.6002
48	bhbtri	D	11.2748
48	bhbtri	E	9.1165
48	bhbtri	F	7.9642
60	bhbtri	A	8.1442
60	bhbtri	B	9.9623
60	bhbtri	C	9.3914
60	bhbtri	D	10.0246
60	bhbtri	E	10.5586
60	bhbtri	F	11.231
72	bhbtri	A	11.3409
72	bhbtri	B	14.2751
72	bhbtri	C	11.4417
72	bhbtri	D	11.0421
72	bhbtri	E	13.6576
72	bhbtri	F	14.1806
96	bhbtri	A	13.3364
96	bhbtri	B	12.7525
96	bhbtri	C	12.6323
96	bhbtri	D	13.3997
96	bhbtri	E	14.3017
96	bhbtri	F	15.0162
120	bhbtri	A	14.233
120	bhbtri	B	13.1715
120	bhbtri	C	12.6421
120	bhbtri	D	13.2016
120	bhbtri	E	13.29
120	bhbtri	F	18.863
