time	experiment	replicate	formate
0	bhbtri	A	0.690152716
0	bhbtri	B	0.692716744
0	bhbtri	C	0.720389764
0	bhbtri	D	0.690572852
0	bhbtri	E	0.70767119
0	bhbtri	F	0.697083726
4	bhbtri	A	0.716809837
4	bhbtri	B	0.690155912
4	bhbtri	C	0.701944227
4	bhbtri	D	0.715584157
4	bhbtri	E	0.747207114
4	bhbtri	F	0.741565111
8	bhbtri	A	1.086844492
8	bhbtri	B	1.107111997
8	bhbtri	C	1.116412392
8	bhbtri	D	1.08854871
8	bhbtri	E	1.127306799
8	bhbtri	F	1.146201438
12	bhbtri	A	2.292510988
12	bhbtri	B	2.344726412
12	bhbtri	C	2.373796184
12	bhbtri	D	2.332479043
12	bhbtri	E	2.456579642
12	bhbtri	F	2.450373512
16	bhbtri	A	2.37097272
16	bhbtri	B	2.350794679
16	bhbtri	C	2.436608604
16	bhbtri	D	2.436211987
16	bhbtri	E	2.449841127
16	bhbtri	F	2.53524272
20	bhbtri	A	2.192409828
20	bhbtri	B	2.23086202
20	bhbtri	C	2.336464073
20	bhbtri	D	2.275917379
20	bhbtri	E	2.304601009
20	bhbtri	F	2.339151979
24	bhbtri	A	2.320021946
24	bhbtri	B	2.304005978
24	bhbtri	C	2.604532387
24	bhbtri	D	2.552671258
24	bhbtri	E	2.597663762
24	bhbtri	F	2.613303016
28	bhbtri	A	2.468551076
28	bhbtri	B	2.476938916
28	bhbtri	C	2.510752801
28	bhbtri	D	2.484411791
28	bhbtri	E	2.544018168
28	bhbtri	F	2.55072316
32	bhbtri	A	2.523336865
32	bhbtri	B	2.47656765
32	bhbtri	C	2.569858431
32	bhbtri	D	2.520721244
32	bhbtri	E	2.57419608
32	bhbtri	F	2.736613313
36	bhbtri	A	2.453410055
36	bhbtri	B	2.593563706
36	bhbtri	C	2.523755063
36	bhbtri	D	2.459211815
36	bhbtri	E	2.465699956
36	bhbtri	F	2.521917382
40	bhbtri	A	2.47990967
40	bhbtri	B	2.439932606
40	bhbtri	C	2.532037515
40	bhbtri	D	2.48119611
40	bhbtri	E	2.48963151
40	bhbtri	F	2.522791281
44	bhbtri	A	2.428948001
44	bhbtri	B	2.410258585
44	bhbtri	C	2.480063456
44	bhbtri	D	2.455682486
44	bhbtri	E	2.445309254
44	bhbtri	F	2.491698614
48	bhbtri	A	2.414714402
48	bhbtri	B	2.380508509
48	bhbtri	C	2.446764566
48	bhbtri	D	2.422124422
48	bhbtri	E	2.417784258
48	bhbtri	F	2.44131731
60	bhbtri	A	2.352679083
60	bhbtri	B	2.287577889
60	bhbtri	C	2.447185697
60	bhbtri	D	2.316255652
60	bhbtri	E	2.327406614
60	bhbtri	F	2.387207006
72	bhbtri	A	2.325775937
72	bhbtri	B	2.235149595
72	bhbtri	C	2.352213115
72	bhbtri	D	2.286229432
72	bhbtri	E	2.243060362
72	bhbtri	F	2.308146262
96	bhbtri	A	2.339070057
96	bhbtri	B	2.120923156
96	bhbtri	C	2.337245785
96	bhbtri	D	2.206366025
96	bhbtri	E	2.138785396
96	bhbtri	F	2.216570804
120	bhbtri	A	2.161207583
120	bhbtri	B	2.025881434
120	bhbtri	C	2.168561452
120	bhbtri	D	2.149499094
120	bhbtri	E	2.049161387
120	bhbtri	F	2.105702518
