time	experiment	replicate	glucose
0	bhbtri	A	8.910689253
0	bhbtri	B	8.907399259
0	bhbtri	C	8.953094156
0	bhbtri	D	8.863440574
0	bhbtri	E	8.937908962
0	bhbtri	F	8.935200604
4	bhbtri	A	8.854359062
4	bhbtri	B	8.790038713
4	bhbtri	C	8.86372289
4	bhbtri	D	8.797998453
4	bhbtri	E	8.915003111
4	bhbtri	F	8.858305473
8	bhbtri	A	8.072347403
8	bhbtri	B	7.98097951
8	bhbtri	C	8.120447135
8	bhbtri	D	8.076370467
8	bhbtri	E	8.205862257
8	bhbtri	F	8.313630233
12	bhbtri	A	3.219293464
12	bhbtri	B	2.766935459
12	bhbtri	C	2.989851692
12	bhbtri	D	3.315291257
12	bhbtri	E	3.350454585
12	bhbtri	F	4.759777327
16	bhbtri	A	0.065255237
16	bhbtri	B	0.057619969
16	bhbtri	C	0.058150575
16	bhbtri	D	0.052764179
16	bhbtri	E	0.060891527
16	bhbtri	F	0.058327326
20	bhbtri	A	0.058926805
20	bhbtri	B	0.052445552
20	bhbtri	C	0.054975951
20	bhbtri	D	0.052890822
20	bhbtri	E	0.057263097
20	bhbtri	F	0.048843267
24	bhbtri	A	0.070584001
24	bhbtri	B	0.076150042
24	bhbtri	C	0.109860277
24	bhbtri	D	0.106250145
24	bhbtri	E	0.091096281
24	bhbtri	F	0.086358008
28	bhbtri	A	0.170227856
28	bhbtri	B	0.182852971
28	bhbtri	C	0.173628248
28	bhbtri	D	0.162466763
28	bhbtri	E	0.100100665
28	bhbtri	F	0.091298902
32	bhbtri	A	0.19266801
32	bhbtri	B	0.207094716
32	bhbtri	C	0.200713225
32	bhbtri	D	0.193506573
32	bhbtri	E	0.142138131
32	bhbtri	F	0.096836299
36	bhbtri	A	0.204139281
36	bhbtri	B	0.236653862
36	bhbtri	C	0.200017416
36	bhbtri	D	0.18640703
36	bhbtri	E	0.137357862
36	bhbtri	F	0.097771343
40	bhbtri	A	0.190135991
40	bhbtri	B	0.199178226
40	bhbtri	C	0.19047207
40	bhbtri	D	0.19035536
40	bhbtri	E	0.138628102
40	bhbtri	F	0.100001294
44	bhbtri	A	0.181270255
44	bhbtri	B	0.19566835
44	bhbtri	C	0.189641929
44	bhbtri	D	0.187029911
44	bhbtri	E	0.138444378
44	bhbtri	F	0.092444305
48	bhbtri	A	0.183335417
48	bhbtri	B	0.189681967
48	bhbtri	C	0.171483315
48	bhbtri	D	0.161395485
48	bhbtri	E	0.123132313
48	bhbtri	F	0.086032908
60	bhbtri	A	0.158504916
60	bhbtri	B	0.167669069
60	bhbtri	C	0.168060984
60	bhbtri	D	0.138369484
60	bhbtri	E	0.113916002
60	bhbtri	F	0.077915931
72	bhbtri	A	0.141363103
72	bhbtri	B	0.143889115
72	bhbtri	C	0.150822453
72	bhbtri	D	0.140640175
72	bhbtri	E	0.115618469
72	bhbtri	F	0.08061858
96	bhbtri	A	0.138466155
96	bhbtri	B	0.140590642
96	bhbtri	C	0.13120016
96	bhbtri	D	0.125413622
96	bhbtri	E	0.108172362
96	bhbtri	F	0.074085821
120	bhbtri	A	0.113669902
120	bhbtri	B	0.122369272
120	bhbtri	C	0.125314432
120	bhbtri	D	0.113123693
120	bhbtri	E	0.097743691
120	bhbtri	F	0.07142349
