time	experiment	replicate	lactate
0	bhbtri	A	0.277434931
0	bhbtri	B	0.274698798
0	bhbtri	C	0.276242251
0	bhbtri	D	0.27030496
0	bhbtri	E	0.265898729
0	bhbtri	F	0.269067086
4	bhbtri	A	0.272551714
4	bhbtri	B	0.276154428
4	bhbtri	C	0.275159874
4	bhbtri	D	0.274457899
4	bhbtri	E	0.27474552
4	bhbtri	F	0.275811871
8	bhbtri	A	0.257467243
8	bhbtri	B	0.253352351
8	bhbtri	C	0.253200369
8	bhbtri	D	0.247476251
8	bhbtri	E	0.248104902
8	bhbtri	F	0.244557268
12	bhbtri	A	1.017758048
12	bhbtri	B	0.969316536
12	bhbtri	C	0.983224956
12	bhbtri	D	0.967851077
12	bhbtri	E	0.819437792
12	bhbtri	F	1.105622238
16	bhbtri	A	0.800450593
16	bhbtri	B	0.685145524
16	bhbtri	C	0.753174495
16	bhbtri	D	0.818263731
16	bhbtri	E	0.801636356
16	bhbtri	F	1.544210751
20	bhbtri	A	0.713709736
20	bhbtri	B	0.650133631
20	bhbtri	C	0.699877638
20	bhbtri	D	0.707284363
20	bhbtri	E	0.754522588
20	bhbtri	F	1.519896091
24	bhbtri	A	0.856991093
24	bhbtri	B	0.693608196
24	bhbtri	C	0.773154001
24	bhbtri	D	0.822759774
24	bhbtri	E	0.851838758
24	bhbtri	F	1.583014435
28	bhbtri	A	0.860568846
28	bhbtri	B	0.781879823
28	bhbtri	C	0.854128486
28	bhbtri	D	0.862504575
28	bhbtri	E	0.862299876
28	bhbtri	F	1.588215076
32	bhbtri	A	0.903580174
32	bhbtri	B	0.830319317
32	bhbtri	C	0.892584165
32	bhbtri	D	0.927049236
32	bhbtri	E	0.957494182
32	bhbtri	F	1.734297417
36	bhbtri	A	0.901747227
36	bhbtri	B	0.866081291
36	bhbtri	C	0.859758123
36	bhbtri	D	0.871805063
36	bhbtri	E	0.911723433
36	bhbtri	F	1.638522219
40	bhbtri	A	0.92296772
40	bhbtri	B	0.834473582
40	bhbtri	C	0.888301064
40	bhbtri	D	0.936994486
40	bhbtri	E	0.934690808
40	bhbtri	F	1.69129635
44	bhbtri	A	0.898305228
44	bhbtri	B	0.815552789
44	bhbtri	C	0.890734732
44	bhbtri	D	0.901781469
44	bhbtri	E	0.941880384
44	bhbtri	F	1.65742837
48	bhbtri	A	0.874954858
48	bhbtri	B	0.822131325
48	bhbtri	C	0.830336553
48	bhbtri	D	0.870459968
48	bhbtri	E	0.889061059
48	bhbtri	F	1.636745708
60	bhbtri	A	0.858017179
60	bhbtri	B	0.797763055
60	bhbtri	C	0.88114204
60	bhbtri	D	0.850941798
60	bhbtri	E	0.891547127
60	bhbtri	F	1.597145597
72	bhbtri	A	0.877744832
72	bhbtri	B	0.798221277
72	bhbtri	C	0.881592365
72	bhbtri	D	0.889457544
72	bhbtri	E	0.868452644
72	bhbtri	F	1.605453203
96	bhbtri	A	0.917333702
96	bhbtri	B	0.796879123
96	bhbtri	C	0.883895294
96	bhbtri	D	0.871106056
96	bhbtri	E	0.906218771
96	bhbtri	F	1.634168387
120	bhbtri	A	0.931185226
120	bhbtri	B	0.872156699
120	bhbtri	C	0.890369665
120	bhbtri	D	0.950729913
120	bhbtri	E	0.957728798
120	bhbtri	F	1.666409849
