time	experiment	replicate	od
0	bhbtri	A	0.001286174
0	bhbtri	B	0.002614379
0	bhbtri	C	0.003267974
0	bhbtri	D	0.000696864
0	bhbtri	E	0.001898734
0	bhbtri	F	0.000540541
4	bhbtri	A	0.013504823
4	bhbtri	B	0.014379085
4	bhbtri	C	0.011764706
4	bhbtri	D	0.01184669
4	bhbtri	E	0.008860759
4	bhbtri	F	0.008108108
8	bhbtri	A	0.173633441
8	bhbtri	B	0.196078431
8	bhbtri	C	0.18627451
8	bhbtri	D	0.18815331
8	bhbtri	E	0.161392405
8	bhbtri	F	0.110810811
12	bhbtri	A	0.855305466
12	bhbtri	B	0.892156863
12	bhbtri	C	0.879084967
12	bhbtri	D	0.902439024
12	bhbtri	E	0.85443038
12	bhbtri	F	0.605405405
16	bhbtri	A	1
16	bhbtri	B	1
16	bhbtri	C	1
16	bhbtri	D	0.979094077
16	bhbtri	E	1
16	bhbtri	F	1
20	bhbtri	A	0.951768489
20	bhbtri	B	0.960784314
20	bhbtri	C	0.950980392
20	bhbtri	D	1
20	bhbtri	E	0.981012658
20	bhbtri	F	0.921621622
24	bhbtri	A	0.797427653
24	bhbtri	B	0.843137255
24	bhbtri	C	0.816993464
24	bhbtri	D	0.885017422
24	bhbtri	E	0.882911392
24	bhbtri	F	0.694594595
28	bhbtri	A	0.774919614
28	bhbtri	B	0.830065359
28	bhbtri	C	0.826797386
28	bhbtri	D	0.885017422
28	bhbtri	E	0.898734177
28	bhbtri	F	0.740540541
32	bhbtri	A	0.778135048
32	bhbtri	B	0.758169935
32	bhbtri	C	0.797385621
32	bhbtri	D	0.853658537
32	bhbtri	E	0.848101266
32	bhbtri	F	0.72972973
36	bhbtri	A	0.78778135
36	bhbtri	B	0.807189542
36	bhbtri	C	0.937908497
36	bhbtri	D	0.857142857
36	bhbtri	E	0.841772152
36	bhbtri	F	0.708108108
40	bhbtri	A	0.749196141
40	bhbtri	B	0.741830065
40	bhbtri	C	0.767973856
40	bhbtri	D	0.81184669
40	bhbtri	E	0.810126582
40	bhbtri	F	0.702702703
44	bhbtri	A	0.75562701
44	bhbtri	B	0.754901961
44	bhbtri	C	0.797385621
44	bhbtri	D	0.825783972
44	bhbtri	E	0.806962025
44	bhbtri	F	0.718918919
48	bhbtri	A	0.778135048
48	bhbtri	B	0.787581699
48	bhbtri	C	0.800653595
48	bhbtri	D	0.829268293
48	bhbtri	E	0.806962025
48	bhbtri	F	0.740540541
60	bhbtri	A	0.813504823
60	bhbtri	B	0.810457516
60	bhbtri	C	0.784313725
60	bhbtri	D	0.804878049
60	bhbtri	E	0.768987342
60	bhbtri	F	0.732432432
72	bhbtri	A	0.78778135
72	bhbtri	B	0.790849673
72	bhbtri	C	0.810457516
72	bhbtri	D	0.867595819
72	bhbtri	E	0.775316456
72	bhbtri	F	0.762162162
96	bhbtri	A	0.800643087
96	bhbtri	B	0.823529412
96	bhbtri	C	0.803921569
96	bhbtri	D	0.822299652
96	bhbtri	E	0.762658228
96	bhbtri	F	0.762162162
120	bhbtri	A	0.749196141
120	bhbtri	B	0.790849673
120	bhbtri	C	0.803921569
120	bhbtri	D	0.853658537
120	bhbtri	E	0.784810127
120	bhbtri	F	0.659459459
