time	experiment	replicate	pH
0	bhbtri	A	6.69
0	bhbtri	B	6.69
0	bhbtri	C	6.65
0	bhbtri	D	6.69
0	bhbtri	E	6.65
0	bhbtri	F	6.69
4	bhbtri	A	6.61
4	bhbtri	B	6.61
4	bhbtri	C	6.65
4	bhbtri	D	6.69
4	bhbtri	E	6.61
4	bhbtri	F	6.61
8	bhbtri	A	6.35
8	bhbtri	B	6.35
8	bhbtri	C	6.35
8	bhbtri	D	6.31
8	bhbtri	E	6.31
8	bhbtri	F	6.4
12	bhbtri	A	5.38
12	bhbtri	B	5.34
12	bhbtri	C	5.39
12	bhbtri	D	5.38
12	bhbtri	E	5.38
12	bhbtri	F	5.51
16	bhbtri	A	5.17
16	bhbtri	B	5.17
16	bhbtri	C	5.17
16	bhbtri	D	5.17
16	bhbtri	E	5.17
16	bhbtri	F	5.09
20	bhbtri	A	5.21
20	bhbtri	B	5.21
20	bhbtri	C	5.21
20	bhbtri	D	5.17
20	bhbtri	E	5.21
20	bhbtri	F	5.13
24	bhbtri	A	5.25
24	bhbtri	B	5.25
24	bhbtri	C	5.21
24	bhbtri	D	5.21
24	bhbtri	E	5.21
24	bhbtri	F	5.13
28	bhbtri	A	5.34
28	bhbtri	B	5.3
28	bhbtri	C	5.3
28	bhbtri	D	5.3
28	bhbtri	E	5.3
28	bhbtri	F	5.21
32	bhbtri	A	5.37
32	bhbtri	B	5.37
32	bhbtri	C	5.37
32	bhbtri	D	5.37
32	bhbtri	E	5.33
32	bhbtri	F	5.25
36	bhbtri	A	5.46
36	bhbtri	B	5.46
36	bhbtri	C	5.42
36	bhbtri	D	5.45
36	bhbtri	E	5.46
36	bhbtri	F	5.37
40	bhbtri	A	5.34
40	bhbtri	B	5.42
40	bhbtri	C	5.38
40	bhbtri	D	5.38
40	bhbtri	E	5.34
40	bhbtri	F	5.3
44	bhbtri	A	5.47
44	bhbtri	B	5.47
44	bhbtri	C	5.42
44	bhbtri	D	5.42
44	bhbtri	E	5.38
44	bhbtri	F	5.34
48	bhbtri	A	5.47
48	bhbtri	B	5.51
48	bhbtri	C	5.47
48	bhbtri	D	5.47
48	bhbtri	E	5.47
48	bhbtri	F	5.38
60	bhbtri	A	5.47
60	bhbtri	B	5.55
60	bhbtri	C	5.51
60	bhbtri	D	5.51
60	bhbtri	E	5.51
60	bhbtri	F	5.42
72	bhbtri	A	5.51
72	bhbtri	B	5.55
72	bhbtri	C	5.55
72	bhbtri	D	5.55
72	bhbtri	E	5.55
72	bhbtri	F	5.42
96	bhbtri	A	5.5
96	bhbtri	B	5.54
96	bhbtri	C	5.5
96	bhbtri	D	5.5
96	bhbtri	E	5.5
96	bhbtri	F	5.37
120	bhbtri	A	5.62
120	bhbtri	B	5.59
120	bhbtri	C	5.54
120	bhbtri	D	5.54
120	bhbtri	E	5.58
120	bhbtri	F	5.46
