time	experiment	replicate	pyruvate
0	bhbtri	A	8.095857714
0	bhbtri	B	8.041547008
0	bhbtri	C	7.975690715
0	bhbtri	D	8.233590644
0	bhbtri	E	8.248023639
0	bhbtri	F	8.226194845
4	bhbtri	A	8.295698559
4	bhbtri	B	8.202391307
4	bhbtri	C	8.218408135
4	bhbtri	D	8.153739111
4	bhbtri	E	8.14797399
4	bhbtri	F	8.051364191
8	bhbtri	A	8.567347391
8	bhbtri	B	8.484016431
8	bhbtri	C	8.472788256
8	bhbtri	D	8.326011079
8	bhbtri	E	8.302518493
8	bhbtri	F	8.574370048
12	bhbtri	A	6.043697457
12	bhbtri	B	5.592030331
12	bhbtri	C	5.851342869
12	bhbtri	D	6.220329207
12	bhbtri	E	6.072881667
12	bhbtri	F	7.550536039
16	bhbtri	A	0.181047211
16	bhbtri	B	0.175778299
16	bhbtri	C	0.192349994
16	bhbtri	D	0.188668753
16	bhbtri	E	0.188190917
16	bhbtri	F	0.449238272
20	bhbtri	A	0.146771902
20	bhbtri	B	0.148511451
20	bhbtri	C	0.162626288
20	bhbtri	D	0.15559149
20	bhbtri	E	0.160020378
20	bhbtri	F	0.159833719
24	bhbtri	A	0.133445788
24	bhbtri	B	0.129350126
24	bhbtri	C	0.149599238
24	bhbtri	D	0.144161626
24	bhbtri	E	0.148499954
24	bhbtri	F	0.160467548
28	bhbtri	A	0.127151974
28	bhbtri	B	0.122889276
28	bhbtri	C	0.129681875
28	bhbtri	D	0.127817137
28	bhbtri	E	0.135926194
28	bhbtri	F	0.14941798
32	bhbtri	A	0.117459222
32	bhbtri	B	0.111939644
32	bhbtri	C	0.121146736
32	bhbtri	D	0.11905512
32	bhbtri	E	0.12271511
32	bhbtri	F	0.124678786
36	bhbtri	A	0.109960875
36	bhbtri	B	0.112676665
36	bhbtri	C	0.103901794
36	bhbtri	D	0.10018942
36	bhbtri	E	0.100225153
36	bhbtri	F	0.110899635
40	bhbtri	A	0.097510555
40	bhbtri	B	0.091238346
40	bhbtri	C	0.100503192
40	bhbtri	D	0.096600587
40	bhbtri	E	0.096585765
40	bhbtri	F	0.108561921
44	bhbtri	A	0.092597048
44	bhbtri	B	0.085973845
44	bhbtri	C	0.093793013
44	bhbtri	D	0.093492757
44	bhbtri	E	0.091540369
44	bhbtri	F	0.09652808
48	bhbtri	A	0.087379657
48	bhbtri	B	0.081717602
48	bhbtri	C	0.08376236
48	bhbtri	D	0.080367253
48	bhbtri	E	0.081264501
48	bhbtri	F	0.090648137
60	bhbtri	A	0.077320995
60	bhbtri	B	0
60	bhbtri	C	0
60	bhbtri	D	0
60	bhbtri	E	0
60	bhbtri	F	0.083256187
72	bhbtri	A	0
72	bhbtri	B	0
72	bhbtri	C	0
72	bhbtri	D	0
72	bhbtri	E	0
72	bhbtri	F	0
96	bhbtri	A	0
96	bhbtri	B	0
96	bhbtri	C	0
96	bhbtri	D	0
96	bhbtri	E	0
96	bhbtri	F	0
120	bhbtri	A	0
120	bhbtri	B	0
120	bhbtri	C	0
120	bhbtri	D	0
120	bhbtri	E	0
120	bhbtri	F	0
