time	experiment	replicate	succinate
0	bhbtri	A	0.448714277
0	bhbtri	B	0.449217626
0	bhbtri	C	0.441321742
0	bhbtri	D	0.445744799
0	bhbtri	E	0.441339884
0	bhbtri	F	0.443489858
4	bhbtri	A	0.463539637
4	bhbtri	B	0.456523023
4	bhbtri	C	0.459651265
4	bhbtri	D	0.457532588
4	bhbtri	E	0.459579757
4	bhbtri	F	0.446833294
8	bhbtri	A	0.723384057
8	bhbtri	B	0.729673449
8	bhbtri	C	0.733233335
8	bhbtri	D	0.700092863
8	bhbtri	E	0.724031523
8	bhbtri	F	0.744189919
12	bhbtri	A	3.530114958
12	bhbtri	B	3.58284906
12	bhbtri	C	3.586459917
12	bhbtri	D	3.420382461
12	bhbtri	E	3.374428691
12	bhbtri	F	3.36301965
16	bhbtri	A	5.303987842
16	bhbtri	B	4.86537012
16	bhbtri	C	5.159942146
16	bhbtri	D	5.263972793
16	bhbtri	E	5.097334261
16	bhbtri	F	5.928008994
20	bhbtri	A	5.056618025
20	bhbtri	B	4.851443784
20	bhbtri	C	5.044231973
20	bhbtri	D	5.073459374
20	bhbtri	E	4.982640683
20	bhbtri	F	5.699907974
24	bhbtri	A	5.572140667
24	bhbtri	B	5.107399047
24	bhbtri	C	5.398131513
24	bhbtri	D	5.486979217
24	bhbtri	E	5.382488652
24	bhbtri	F	6.057660582
28	bhbtri	A	5.569105335
28	bhbtri	B	5.214586603
28	bhbtri	C	5.393522282
28	bhbtri	D	5.49497563
28	bhbtri	E	5.38111958
28	bhbtri	F	6.082050049
32	bhbtri	A	5.7301482
32	bhbtri	B	5.279793777
32	bhbtri	C	5.550045134
32	bhbtri	D	5.594385108
32	bhbtri	E	5.579559669
32	bhbtri	F	6.625604431
36	bhbtri	A	5.693937211
36	bhbtri	B	5.683708437
36	bhbtri	C	5.512238884
36	bhbtri	D	5.518565267
36	bhbtri	E	5.448775879
36	bhbtri	F	6.170980061
40	bhbtri	A	5.692534838
40	bhbtri	B	5.300737002
40	bhbtri	C	5.570813063
40	bhbtri	D	5.598061937
40	bhbtri	E	5.5253767
40	bhbtri	F	6.243722474
44	bhbtri	A	5.702533653
44	bhbtri	B	5.335754844
44	bhbtri	C	5.559705293
44	bhbtri	D	5.639213273
44	bhbtri	E	5.560408364
44	bhbtri	F	6.293457685
48	bhbtri	A	5.744660743
48	bhbtri	B	5.317170897
48	bhbtri	C	5.517225097
48	bhbtri	D	5.584886422
48	bhbtri	E	5.59011893
48	bhbtri	F	6.244732157
60	bhbtri	A	5.812110331
60	bhbtri	B	5.371430518
60	bhbtri	C	5.711683002
60	bhbtri	D	5.540587288
60	bhbtri	E	5.633451106
60	bhbtri	F	6.354454601
72	bhbtri	A	5.83953513
72	bhbtri	B	5.360927177
72	bhbtri	C	5.671436422
72	bhbtri	D	5.676799617
72	bhbtri	E	5.654523133
72	bhbtri	F	6.309625807
96	bhbtri	A	6.210960868
96	bhbtri	B	5.358454176
96	bhbtri	C	5.850642899
96	bhbtri	D	5.629663695
96	bhbtri	E	5.57937432
96	bhbtri	F	6.369692834
120	bhbtri	A	5.633701799
120	bhbtri	B	5.053263201
120	bhbtri	C	5.368762744
120	bhbtri	D	5.43261027
120	bhbtri	E	5.462228475
120	bhbtri	F	6.086165434
