time	experiment	replicate	trehalose
0	bhbtri	A	0.68322543
0	bhbtri	B	0.684995231
0	bhbtri	C	0.689717289
0	bhbtri	D	0.677465161
0	bhbtri	E	0.685658414
0	bhbtri	F	0.686017005
4	bhbtri	A	0.685130014
4	bhbtri	B	0.682621314
4	bhbtri	C	0.686686992
4	bhbtri	D	0.679611298
4	bhbtri	E	0.687612813
4	bhbtri	F	0.684244416
8	bhbtri	A	0.644782649
8	bhbtri	B	0.638157189
8	bhbtri	C	0.645622698
8	bhbtri	D	0.636759754
8	bhbtri	E	0.640013479
8	bhbtri	F	0.647016247
12	bhbtri	A	0.589550953
12	bhbtri	B	0.589530757
12	bhbtri	C	0.596376855
12	bhbtri	D	0.593424005
12	bhbtri	E	0.586641454
12	bhbtri	F	0.588181024
16	bhbtri	A	0.585021182
16	bhbtri	B	0.582271648
16	bhbtri	C	0.595600648
16	bhbtri	D	0.590414833
16	bhbtri	E	0.57837671
16	bhbtri	F	0.570790614
20	bhbtri	A	0.549465507
20	bhbtri	B	0.567150243
20	bhbtri	C	0.577275882
20	bhbtri	D	0.561914783
20	bhbtri	E	0.561523954
20	bhbtri	F	0.564593545
24	bhbtri	A	0.578051413
24	bhbtri	B	0.575801252
24	bhbtri	C	0.657286302
24	bhbtri	D	0.649171299
24	bhbtri	E	0.65619477
24	bhbtri	F	0.645535237
28	bhbtri	A	0.609597521
28	bhbtri	B	0.610171808
28	bhbtri	C	0.607594449
28	bhbtri	D	0.610791176
28	bhbtri	E	0.624789318
28	bhbtri	F	0.623081078
32	bhbtri	A	0.594491665
32	bhbtri	B	0.58467983
32	bhbtri	C	0.597000238
32	bhbtri	D	0.586219781
32	bhbtri	E	0.622303434
32	bhbtri	F	0.656540896
36	bhbtri	A	0.579371486
36	bhbtri	B	0.61234207
36	bhbtri	C	0.589765254
36	bhbtri	D	0.578904561
36	bhbtri	E	0.596651576
36	bhbtri	F	0.597060362
40	bhbtri	A	0.567619407
40	bhbtri	B	0.561790351
40	bhbtri	C	0.575749156
40	bhbtri	D	0.569536581
40	bhbtri	E	0.587316045
40	bhbtri	F	0.595519017
44	bhbtri	A	0.563739679
44	bhbtri	B	0.558982044
44	bhbtri	C	0.567483567
44	bhbtri	D	0.563701568
44	bhbtri	E	0.583821527
44	bhbtri	F	0.592117369
48	bhbtri	A	0.548609444
48	bhbtri	B	0.534564868
48	bhbtri	C	0.550165577
48	bhbtri	D	0.547305976
48	bhbtri	E	0.574706805
48	bhbtri	F	0.57362499
60	bhbtri	A	0.521087353
60	bhbtri	B	0.505233767
60	bhbtri	C	0.528450317
60	bhbtri	D	0.504415772
60	bhbtri	E	0.544653917
60	bhbtri	F	0.552966405
72	bhbtri	A	0.502387264
72	bhbtri	B	0.483577575
72	bhbtri	C	0.507239332
72	bhbtri	D	0.498206578
72	bhbtri	E	0.524806819
72	bhbtri	F	0.537412004
96	bhbtri	A	0.5122888
96	bhbtri	B	0.460594297
96	bhbtri	C	0.500426951
96	bhbtri	D	0.471753499
96	bhbtri	E	0.497432271
96	bhbtri	F	0.522695075
120	bhbtri	A	0.444829947
120	bhbtri	B	0.419567143
120	bhbtri	C	0.43634993
120	bhbtri	D	0.444689206
120	bhbtri	E	0.472622195
120	bhbtri	F	0.492735902
