time	experiment	replicate	butyrate
0	bhri	A	0.090568513
0	bhri	B	0.084230182
0	bhri	C	0.082004829
0	bhri	D	0.086088637
0	bhri	E	0.085675171
0	bhri	F	0.084741486
4	bhri	A	0.110202401
4	bhri	B	0.107160359
4	bhri	C	0.104332323
4	bhri	D	0.108311345
4	bhri	E	0.112480703
4	bhri	F	0.11645445
8	bhri	A	0.746869374
8	bhri	B	0.651048991
8	bhri	C	0.851629095
8	bhri	D	0.992749719
8	bhri	E	0.898405512
8	bhri	F	1.196068397
12	bhri	A	4.708399492
12	bhri	B	4.420899182
12	bhri	C	5.333096726
12	bhri	D	5.888657398
12	bhri	E	5.51949313
12	bhri	F	6.574326865
16	bhri	A	8.943701569
16	bhri	B	8.815036564
16	bhri	C	9.0323796
16	bhri	D	8.9817886
16	bhri	E	8.900140721
16	bhri	F	8.978788015
20	bhri	A	8.992154674
20	bhri	B	9.071853001
20	bhri	C	9.142527523
20	bhri	D	9.292710194
20	bhri	E	9.219407174
20	bhri	F	9.436667524
20	bhri	A	9.109117766
24	bhri	B	9.08577825
24	bhri	C	9.295261518
24	bhri	D	9.375224439
24	bhri	E	9.296344705
24	bhri	F	9.385696168
28	bhri	A	9.108383697
28	bhri	B	9.067692974
28	bhri	C	9.18735898
28	bhri	D	9.293726313
28	bhri	E	9.233188182
28	bhri	F	9.301516258
32	bhri	A	9.108816421
32	bhri	B	8.937928245
32	bhri	C	9.211171643
32	bhri	D	9.299640203
32	bhri	E	9.227665673
32	bhri	F	9.335310965
36	bhri	A	9.317686893
36	bhri	B	9.34856462
36	bhri	C	9.438248665
36	bhri	D	9.459813186
36	bhri	E	9.389762484
36	bhri	F	9.524736434
48	bhri	A	9.558837998
48	bhri	B	9.571901475
48	bhri	C	9.618500576
48	bhri	D	9.781859728
48	bhri	E	9.676790566
48	bhri	F	9.682314913
60	bhri	A	9.777893554
60	bhri	B	9.716917187
60	bhri	C	9.767720414
60	bhri	D	9.859308075
60	bhri	E	9.730136848
60	bhri	F	9.803335133
72	bhri	A	9.746573916
72	bhri	B	9.814305734
72	bhri	C	9.787950015
72	bhri	D	9.945085664
72	bhri	E	9.865777799
72	bhri	F	9.90239945
96	bhri	A	9.904437202
96	bhri	B	9.896789661
96	bhri	C	9.997840282
96	bhri	D	10.09847747
96	bhri	E	9.943239927
96	bhri	F	10.02430441
120	bhri	A	10.08741408
120	bhri	B	10.09661612
120	bhri	C	10.07414389
120	bhri	D	10.16369931
120	bhri	E	10.07316635
120	bhri	F	10.09620452
