time	experiment	replicate	dead
0	bhri	A	0.00167
0	bhri	B	0.00135
0	bhri	C	0.0025
0	bhri	D	0.00143
0	bhri	E	0.00168
0	bhri	F	0.00171
4	bhri	A	0.00736
4	bhri	B	0.00326
4	bhri	C	0.00893
4	bhri	D	0.01009
4	bhri	E	0.01285
4	bhri	F	0.01299
8	bhri	A	0.19506
8	bhri	B	0.28413
8	bhri	C	0.16777
8	bhri	D	0.23536
8	bhri	E	0.27685
8	bhri	F	0.3594
12	bhri	A	0.0572
12	bhri	B	0.0636
12	bhri	C	0.1214
12	bhri	D	0.2019
12	bhri	E	0.1438
12	bhri	F	0.1211
16	bhri	A	0.2148
16	bhri	B	0.1241
16	bhri	C	0.228
16	bhri	D	0.2273
16	bhri	E	0.2328
16	bhri	F	0.2259
20	bhri	A	0.1809
20	bhri	B	0.1683
20	bhri	C	0.213
20	bhri	D	0.2388
20	bhri	E	0.2258
20	bhri	F	0.2562
20	bhri	A	0.5135
24	bhri	B	0.4226
24	bhri	C	0.401
24	bhri	D	0.5791
24	bhri	E	0.5401
24	bhri	F	0.6587
28	bhri	A	1.0776
28	bhri	B	1.0182
28	bhri	C	1.1801
28	bhri	D	1.1945
28	bhri	E	1.0104
28	bhri	F	1.3424
32	bhri	A	2.005
32	bhri	B	1.841
32	bhri	C	2.1589
32	bhri	D	1.7488
32	bhri	E	1.7327
32	bhri	F	2.2107
36	bhri	A	2.6196
36	bhri	B	3.0242
36	bhri	C	3.2003
36	bhri	D	2.769
36	bhri	E	2.9506
36	bhri	F	2.5863
48	bhri	A	3.9457
48	bhri	B	3.168
48	bhri	C	3.8522
48	bhri	D	3.739
48	bhri	E	3.5679
48	bhri	F	3.7383
60	bhri	A	5.5657
60	bhri	B	4.6671
60	bhri	C	5.2916
60	bhri	D	6.3121
60	bhri	E	5.5045
60	bhri	F	5.5731
72	bhri	A	5.2745
72	bhri	B	3.9203
72	bhri	C	4.5942
72	bhri	D	3.6726
72	bhri	E	4.4567
72	bhri	F	4.5388
96	bhri	A	10.5873
96	bhri	B	9.1263
96	bhri	C	7.4526
96	bhri	D	5.0746
96	bhri	E	9.4688
96	bhri	F	9.7591
120	bhri	A	6.8308
120	bhri	B	7.4085
120	bhri	C	7.0608
120	bhri	D	6.0759
120	bhri	E	7.6416
120	bhri	F	5.3498
