time	experiment	replicate	glucose
0	bhri	A	8.808898991
0	bhri	B	8.765470223
0	bhri	C	8.857385637
0	bhri	D	8.862792712
0	bhri	E	8.874062522
0	bhri	F	8.838645814
4	bhri	A	8.754278282
4	bhri	B	8.802252084
4	bhri	C	8.800611346
4	bhri	D	8.750029518
4	bhri	E	8.790224262
4	bhri	F	8.779183802
8	bhri	A	8.09200037
8	bhri	B	8.161963837
8	bhri	C	7.931101552
8	bhri	D	7.748396183
8	bhri	E	7.84814115
8	bhri	F	7.560016062
12	bhri	A	2.381143703
12	bhri	B	2.668819063
12	bhri	C	1.396565347
12	bhri	D	0.681460163
12	bhri	E	1.22157151
12	bhri	F	0.201906497
16	bhri	A	0.183072398
16	bhri	B	0.176853965
16	bhri	C	0.191405365
16	bhri	D	0.203156081
16	bhri	E	0.199961429
16	bhri	F	0.197622829
20	bhri	A	0.165178685
20	bhri	B	0.168850612
20	bhri	C	0.170117325
20	bhri	D	0.174241186
20	bhri	E	0.174557969
20	bhri	F	0.17820041
20	bhri	A	0.054344143
24	bhri	B	0.163896611
24	bhri	C	0.159154698
24	bhri	D	0.16489078
24	bhri	E	0.165061804
24	bhri	F	0.164095943
28	bhri	A	0.176191046
28	bhri	B	0.151526169
28	bhri	C	0.172098687
28	bhri	D	0.161825384
28	bhri	E	0.152102169
28	bhri	F	0.16059464
32	bhri	A	0.158367256
32	bhri	B	0.161016536
32	bhri	C	0.058941672
32	bhri	D	0.059051247
32	bhri	E	0.162709916
32	bhri	F	0.056700894
36	bhri	A	0.193277393
36	bhri	B	0.059700925
36	bhri	C	0.161068645
36	bhri	D	0.169917594
36	bhri	E	0.168338224
36	bhri	F	0.056013475
48	bhri	A	0.045952408
48	bhri	B	0.182070377
48	bhri	C	0.148104419
48	bhri	D	0.046886877
48	bhri	E	0.044187184
48	bhri	F	0.044652563
60	bhri	A	0.04319042
60	bhri	B	0.040168204
60	bhri	C	0.044260753
60	bhri	D	0.040002184
60	bhri	E	0.036516981
60	bhri	F	0.03865729
72	bhri	A	0.036842866
72	bhri	B	0.039392489
72	bhri	C	0.037958994
72	bhri	D	0.033401446
72	bhri	E	0.135335399
72	bhri	F	0.033062826
96	bhri	A	0.028340856
96	bhri	B	0.02970974
96	bhri	C	0.028190962
96	bhri	D	0.025358185
96	bhri	E	0.028834725
96	bhri	F	0.027861416
120	bhri	A	0.024046315
120	bhri	B	0.024296319
120	bhri	C	0.024159063
120	bhri	D	0.024662058
120	bhri	E	0.023173799
120	bhri	F	0.022887089
