time	experiment	replicate	live_bh
0	bhri	A	0.01631
0	bhri	B	0.01145
0	bhri	C	0.01345
0	bhri	D	0.00985
0	bhri	E	0.00795
0	bhri	F	0.00882
4	bhri	A	0.01579
4	bhri	B	0.01234
4	bhri	C	0.01731
4	bhri	D	0.0162
4	bhri	E	0.01559
4	bhri	F	0.01639
8	bhri	A	0.11055
8	bhri	B	0.08013
8	bhri	C	0.11131
8	bhri	D	0.11929
8	bhri	E	0.11641
8	bhri	F	0.11083
12	bhri	A	0.8012
12	bhri	B	0.5981
12	bhri	C	0.7841
12	bhri	D	0.7999
12	bhri	E	0.7344
12	bhri	F	0.6395
16	bhri	A	1.7064
16	bhri	B	1.0894
16	bhri	C	1.4108
16	bhri	D	1.3429
16	bhri	E	1.4226
16	bhri	F	1.1602
20	bhri	A	1.5692
20	bhri	B	1.0658
20	bhri	C	1.341
20	bhri	D	1.2277
20	bhri	E	1.3903
20	bhri	F	1.0822
24	bhri	A	1.3627
24	bhri	B	1.1304
24	bhri	C	1.0038
24	bhri	D	0.819
24	bhri	E	1.1594
24	bhri	F	0.9167
28	bhri	A	0.6395
28	bhri	B	0.7429
28	bhri	C	0.4979
28	bhri	D	0.6389
28	bhri	E	0.6733
28	bhri	F	0.4412
32	bhri	A	0.1866
32	bhri	B	0.2045
32	bhri	C	0.171
32	bhri	D	0.1153
32	bhri	E	0.1699
32	bhri	F	0.3136
36	bhri	A	0.256
36	bhri	B	0.1153
36	bhri	C	0.158
36	bhri	D	0.2178
36	bhri	E	0.1704
36	bhri	F	0.2633
48	bhri	A	2.792
48	bhri	B	2.1399
48	bhri	C	2.4783
48	bhri	D	0.7732
48	bhri	E	0.684
48	bhri	F	1.2677
60	bhri	A	2.6525
60	bhri	B	0.9681
60	bhri	C	0.4216
60	bhri	D	0.5284
60	bhri	E	0.4262
60	bhri	F	0.2701
72	bhri	A	0.7456
72	bhri	B	1.2802
72	bhri	C	0.2717
72	bhri	D	0.302
72	bhri	E	0.4516
72	bhri	F	0.5028
96	bhri	A	1.4889
96	bhri	B	0.9519
96	bhri	C	0.5162
96	bhri	D	0.2918
96	bhri	E	0.7457
96	bhri	F	0.6239
120	bhri	A	0.2712
120	bhri	B	0.3389
120	bhri	C	0.1352
120	bhri	D	0.1448
120	bhri	E	0.2009
120	bhri	F	0.0929
