time	experiment	replicate	live_ri
0	bhri	A	0.0052
0	bhri	B	0.00589
0	bhri	C	0.008
0	bhri	D	0.00565
0	bhri	E	0.00512
0	bhri	F	0.00629
4	bhri	A	0.07195
4	bhri	B	0.06265
4	bhri	C	0.0728
4	bhri	D	0.0758
4	bhri	E	0.07179
4	bhri	F	0.07791
8	bhri	A	0.93195
8	bhri	B	0.73295
8	bhri	C	0.96251
8	bhri	D	1.24129
8	bhri	E	1.05702
8	bhri	F	1.00836
12	bhri	A	7.3133
12	bhri	B	6.8328
12	bhri	C	7.6041
12	bhri	D	7.7655
12	bhri	E	7.1592
12	bhri	F	7.4071
16	bhri	A	14.6426
16	bhri	B	10.9472
16	bhri	C	10.9486
16	bhri	D	10.5262
16	bhri	E	10.7229
16	bhri	F	10.2925
20	bhri	A	10.997
20	bhri	B	8.7402
20	bhri	C	8.6882
20	bhri	D	7.764
20	bhri	E	9.2042
20	bhri	F	8.4627
24	bhri	A	11.5028
24	bhri	B	10.3414
24	bhri	C	7.077
24	bhri	D	6.5233
24	bhri	E	8.7931
24	bhri	F	8.5193
28	bhri	A	10.0558
28	bhri	B	11.8975
28	bhri	C	7.0877
28	bhri	D	8.088
28	bhri	E	7.9587
28	bhri	F	8.209
32	bhri	A	8.6937
32	bhri	B	9.3423
32	bhri	C	8.3521
32	bhri	D	5.0334
32	bhri	E	7.0805
32	bhri	F	5.0144
36	bhri	A	7.5304
36	bhri	B	7.7659
36	bhri	C	6.7863
36	bhri	D	5.474
36	bhri	E	5.9492
36	bhri	F	4.2264
48	bhri	A	4.0526
48	bhri	B	3.7796
48	bhri	C	3.3268
48	bhri	D	2.4677
48	bhri	E	2.5673
48	bhri	F	3.5438
60	bhri	A	4.5339
60	bhri	B	4.4064
60	bhri	C	4.155
60	bhri	D	4.0158
60	bhri	E	3.9355
60	bhri	F	3.7458
72	bhri	A	2.9983
72	bhri	B	1.9793
72	bhri	C	1.5282
72	bhri	D	1.1306
72	bhri	E	1.4904
72	bhri	F	1.8671
96	bhri	A	2.1356
96	bhri	B	2.1155
96	bhri	C	1.0308
96	bhri	D	0.4593
96	bhri	E	1.1241
96	bhri	F	1.3815
120	bhri	A	0.6177
120	bhri	B	0.6639
120	bhri	C	0.3919
120	bhri	D	0.2223
120	bhri	E	0.3518
120	bhri	F	0.2597
