time	experiment	replicate	pH
0	bhri	A	6.61
0	bhri	B	6.65
0	bhri	C	6.65
0	bhri	D	6.61
0	bhri	E	6.61
0	bhri	F	6.61
4	bhri	A	6.69
4	bhri	B	6.69
4	bhri	C	6.65
4	bhri	D	6.69
4	bhri	E	6.65
4	bhri	F	6.65
8	bhri	A	6.4
8	bhri	B	6.4
8	bhri	C	6.4
8	bhri	D	6.35
8	bhri	E	6.4
8	bhri	F	6.4
12	bhri	A	5.76
12	bhri	B	5.76
12	bhri	C	5.67
12	bhri	D	5.59
12	bhri	E	5.71
12	bhri	F	5.59
16	bhri	A	5.68
16	bhri	B	5.8
16	bhri	C	5.64
16	bhri	D	5.76
16	bhri	E	5.76
16	bhri	F	5.8
20	bhri	A	5.59
20	bhri	B	5.59
20	bhri	C	5.55
20	bhri	D	5.59
20	bhri	E	5.64
20	bhri	F	5.59
24	bhri	A	5.59
24	bhri	B	5.59
24	bhri	C	5.59
24	bhri	D	5.63
24	bhri	E	5.59
24	bhri	F	5.59
28	bhri	A	5.68
28	bhri	B	5.68
28	bhri	C	5.72
28	bhri	D	5.68
28	bhri	E	5.64
28	bhri	F	5.64
32	bhri	A	5.64
32	bhri	B	5.64
32	bhri	C	5.64
32	bhri	D	5.68
32	bhri	E	5.68
32	bhri	F	5.64
36	bhri	A	5.59
36	bhri	B	5.55
36	bhri	C	5.56
36	bhri	D	5.56
36	bhri	E	5.56
36	bhri	F	5.56
48	bhri	A	5.59
48	bhri	B	5.59
48	bhri	C	5.55
48	bhri	D	5.59
48	bhri	E	5.55
48	bhri	F	5.55
60	bhri	A	5.68
60	bhri	B	5.64
60	bhri	C	5.59
60	bhri	D	5.68
60	bhri	E	5.59
60	bhri	F	5.64
72	bhri	A	5.73
72	bhri	B	5.68
72	bhri	C	5.68
72	bhri	D	5.68
72	bhri	E	5.64
72	bhri	F	5.73
96	bhri	A	5.68
96	bhri	B	5.6
96	bhri	C	5.68
96	bhri	D	5.6
96	bhri	E	5.68
96	bhri	F	5.68
120	bhri	A	5.64
120	bhri	B	5.64
120	bhri	C	5.64
120	bhri	D	5.66
120	bhri	E	5.64
120	bhri	F	5.68
