time	experiment	replicate	pyruvate
0	bhri	A	8.7000316
0	bhri	B	8.666737177
0	bhri	C	8.790407024
0	bhri	D	8.748706411
0	bhri	E	8.813577352
0	bhri	F	8.760877133
4	bhri	A	8.689493172
4	bhri	B	8.770382556
4	bhri	C	8.713082678
4	bhri	D	8.738637236
4	bhri	E	8.819143787
4	bhri	F	8.81443267
8	bhri	A	8.918760527
8	bhri	B	8.92037586
8	bhri	C	8.940584476
8	bhri	D	9.019965139
8	bhri	E	8.874335656
8	bhri	F	9.043872059
12	bhri	A	7.508691662
12	bhri	B	7.68362489
12	bhri	C	6.942257593
12	bhri	D	6.422272407
12	bhri	E	6.845476569
12	bhri	F	5.296914354
16	bhri	A	0.124891114
16	bhri	B	0.125875937
16	bhri	C	0.124887328
16	bhri	D	0.120941879
16	bhri	E	0.122797139
16	bhri	F	0.113421838
20	bhri	A	0.119215114
20	bhri	B	0.121061313
20	bhri	C	0.119183362
20	bhri	D	0.11681102
20	bhri	E	0.116716182
20	bhri	F	0.115064012
24	bhri	A	0.108651143
24	bhri	B	0.112175457
24	bhri	C	0.102624729
24	bhri	D	0.098765183
24	bhri	E	0.099190879
24	bhri	F	0.097810111
28	bhri	A	0.094514536
28	bhri	B	0.098841627
28	bhri	C	0.09632227
28	bhri	D	0.095296729
28	bhri	E	0.094495645
28	bhri	F	0.095347764
32	bhri	A	0.083835366
32	bhri	B	0.08821799
32	bhri	C	0.087003544
32	bhri	D	0.08870577
32	bhri	E	0.08576748
32	bhri	F	0.083986071
36	bhri	A	0.08097677
36	bhri	B	0.084299995
36	bhri	C	0.080337149
36	bhri	D	0.08245408
36	bhri	E	0.083479065
36	bhri	F	0.078824277
48	bhri	A	0
48	bhri	B	0.070323211
48	bhri	C	0.070529002
48	bhri	D	0
48	bhri	E	0
48	bhri	F	0
60	bhri	A	0
60	bhri	B	0
60	bhri	C	0
60	bhri	D	0
60	bhri	E	0
60	bhri	F	0
72	bhri	A	0
72	bhri	B	0
72	bhri	C	0
72	bhri	D	0
72	bhri	E	0
72	bhri	F	0
96	bhri	A	0
96	bhri	B	0
96	bhri	C	0
96	bhri	D	0
96	bhri	E	0
96	bhri	F	0
120	bhri	A	0
120	bhri	B	0
120	bhri	C	0
120	bhri	D	0
120	bhri	E	0
120	bhri	F	0
