time	experiment	replicate	trehalose
0	bhri	A	0.787491541
0	bhri	B	0.784291645
0	bhri	C	0.773642844
0	bhri	D	0.791880233
0	bhri	E	0.793623119
0	bhri	F	0.7835759
4	bhri	A	0.793080184
4	bhri	B	0.790092983
4	bhri	C	0.793580191
4	bhri	D	0.791738521
4	bhri	E	0.790074984
4	bhri	F	0.793113901
8	bhri	A	0.761810149
8	bhri	B	0.761271777
8	bhri	C	0.752692637
8	bhri	D	0.756697346
8	bhri	E	0.749406125
8	bhri	F	0.753532603
12	bhri	A	0.623490878
12	bhri	B	0.636915748
12	bhri	C	0.593203789
12	bhri	D	0.571449319
12	bhri	E	0.596044418
12	bhri	F	0.57202145
16	bhri	A	0.374295079
16	bhri	B	0.414374146
16	bhri	C	0.330341715
16	bhri	D	0.339092587
16	bhri	E	0.337257296
16	bhri	F	0.364409177
20	bhri	A	0.077789931
20	bhri	B	0.134156108
20	bhri	C	0.058315452
20	bhri	D	0.072101875
20	bhri	E	0.065318336
20	bhri	F	0.134958089
20	bhri	A	0.065188945
24	bhri	B	0.063693961
24	bhri	C	0.062836324
24	bhri	D	0.055290811
24	bhri	E	0.059365192
24	bhri	F	0.057264185
28	bhri	A	0.064345378
28	bhri	B	0.062364197
28	bhri	C	0.056276117
28	bhri	D	0.049479987
28	bhri	E	0.052560543
28	bhri	F	0.049860454
32	bhri	A	0.056164451
32	bhri	B	0.055571415
32	bhri	C	0.049115138
32	bhri	D	0.042756828
32	bhri	E	0.044355078
32	bhri	F	0.045527877
36	bhri	A	0.050059354
36	bhri	B	0.047325653
36	bhri	C	0.046220458
36	bhri	D	0.041128851
36	bhri	E	0.044016935
36	bhri	F	0.043089572
48	bhri	A	0.046318387
48	bhri	B	0.045895098
48	bhri	C	0.041524331
48	bhri	D	0.038125994
48	bhri	E	0.040219881
48	bhri	F	0.039333544
60	bhri	A	0.044382774
60	bhri	B	0.042491889
60	bhri	C	0.039583545
60	bhri	D	0.035795507
60	bhri	E	0.036974918
60	bhri	F	0.03741388
72	bhri	A	0.040519333
72	bhri	B	0.039487438
72	bhri	C	0.037854513
72	bhri	D	0.035072674
72	bhri	E	0.03687715
72	bhri	F	0.036664903
96	bhri	A	0.042863366
96	bhri	B	0.042432805
96	bhri	C	0.039899734
96	bhri	D	0.036475203
96	bhri	E	0.038544183
96	bhri	F	0.038043896
120	bhri	A	0.040950657
120	bhri	B	0.040110346
120	bhri	C	0.036648428
120	bhri	D	0.033833918
120	bhri	E	0.034807417
120	bhri	F	0.035791641
