geneID	bt_t12_A	bt_t12_B	bt_t12_C	btri_t12_btA	btri_t12_btB	btri_t12_btC
BT_0001	145	106	109	94	70	59
BT_0002	89	65	41	80	103	64
BT_0003	47	14	19	30	16	42
BT_0004	10	6	35	2	4	7
BT_0005	6	11	18	7	8	3
BT_0006	0	0	0	0	0	0
BT_0007	0	0	0	1	2	0
BT_0008	403	389	521	328	296	301
BT_0009	179	155	219	658	705	572
BT_0010	66	38	67	81	49	79
BT_0011	28	16	28	30	23	18
BT_0012	463	307	463	895	799	662
BT_0013	26	57	31	65	57	89
BT_0014	135	165	126	366	354	256
BT_0015	3	2	9	42	53	46
BT_0016	5	3	6	7	20	11
BT_0017	25	6	0	17	19	16
BT_0018	45	17	46	162	171	134
BT_0019	0	0	0	0	0	0
BT_0020	0	0	0	1	3	3
BT_0021	0	0	0	0	0	1
BT_0022	8	19	26.671	20.989	25.991	23.993
BT_0023	0	0	0	0	0	0
BT_0024	44	31	69	75	151.571	67
BT_0025	10	3	4	6	4	3
BT_0026	4	3	0	5	0	5
BT_0027	48.42	3	8	41	10	15
BT_0028	59	42	49	39.872	32	31
BT_0029	495	477	616	351.128	438	500
BT_0030	209	213	228	134.001	176	187
BT_0031	84	33	74	53	43	44
BT_0032	0	2	0	0	0	0
BT_0033	85	26	80	41	40	45
BT_0034	81	33	62	91	76	91
BT_0035	2	0	0	0	0	0
BT_0036	24	11	32	50	44	47
BT_0037	392	295	335	581.054	370	449.985
BT_0038	24	23	11	6.946	3	6.015
BT_0039	88	83	96	44.623	43	60
BT_0040	185	193	207	183.377	159	145.887
BT_0041	365	262	370	251	289.999	298.854
BT_0042	131	103	106	49	50.001	20.259
BT_0043	0	4	3	0	0	0
BT_0044	37	22	36	20	21	29
BT_0045	68	66	67	83.911	46.006	81.798
BT_0046	143	109	152	164.106	193.994	165.202
BT_0047	22	22	23	10	8	10
BT_0048	39	6	35	10	15	16
BT_0049	90	123	121	71	88	77
BT_0050	130.034	72	112	129	159	142.999
BT_0051	65.966	88	72	54	55.13	94.001
BT_0052	933	561	1129	1199	974.719	960.726
BT_0053	234	226	236	189	151.151	150.274
BT_0054	100	83	125	106.011	99	143
BT_0055	159	117	156	88.989	86	119.414
BT_0056	285	238	230	239	275.302	208.694
BT_0057	108	104	105	88	144.698	102.892
BT_0058	2197	1645	2560.323	3723.771	4691.164	3105.66
BT_0059	1509.065	1264	1835.722	2168.894	2536.836	1860.262
BT_0060	489	446	541	840.483	784	624.349
BT_0061	2632	1890	2816	4623.853	4366	3459
BT_0062	3	0	3	0	0	0
BT_0063	0	0	7	2	5.103	3
BT_0064	1456	1213	1752	1654	1440.897	1397.977
BT_0065	2739	2045	2509	3949	4176.992	3041.023
BT_0066	304	268	261	189	213	167
BT_0067	16	17	23	22	8	14
BT_0068	178	100	202	187	134	234
BT_0069	508	511	359	279.787	365.993	387
BT_0070	554	533.181	629	445.482	398.007	532.987
BT_0071	1141	972.819	1255	1056.791	1194	1066.013
BT_0072	1122.477	952.239	1050.007	738.62	677.565	677.74
BT_0073	44056.151	34131.153	42742.885	120789.386	127728.3	95150.062
BT_0074	7118.388	4923.608	6207.108	19551.54	18143.637	14813.782
BT_0075	23	7	13.329	32.011	31.009	36.007
BT_0076	44	22	53	29	15	33
BT_0077	47	24	32	27	36	40
BT_0078	0	0	1	3	0	1
BT_0079	0	0	3	0	0	0
BT_0080	0	0	0	0	0	0
BT_0081	0	0	0	0	0	0
BT_0082	554.303	477	277	226	268	256
BT_0083	755.697	630	576	236	251	294
BT_0084	64	31	49	192	218	162.736
BT_0085	15	4	7	16	23	23.767
BT_0086	65	11	35	48	38	26.496
BT_0087	61	42	42	131	124	95
BT_0088	2	3	1	3	2	3
BT_0089	0	0	1	1	6	7
BT_0090	21	35	65	33	59	45
BT_0091	5	7	6	3	8	4
BT_0092	0	0	0	0	0	1
BT_0093	2	22	14	22	23	14
BT_0094	14	17	18	31	9	10
BT_0095	0	0	0	2	0	1
BT_0096	39	25	29	102	71	65
BT_0097	0	4	1	2	0	0
BT_0098	15	17	7	26	31	17
BT_0099	0	0	0	0	0	0
BT_0100	0	0	0	0	0	0
BT_0101	3	9	0	12	8	4
BT_0102	22	11	14	17	16	27
BT_0103	0	0	2	8	0	3
BT_0104	0	0	0	0	0	0
BT_0105	57	32	59	94	97	79
BT_0106	1071	711	862	1970	1216	1465
BT_0107	8	3	2	7	10	7
BT_0108	13	5	18	41.281	48	49
BT_0109	0	5	0	8.719	3	0
BT_0110	5	3	8	8	6	5
BT_0111	69	22	33	231	195	131.002
BT_0112	63	41	53	58	32	17
BT_0113	28	52	22	41.512	9	27.266
BT_0114	132	101	172	289.488	175	226.734
BT_0115	3	4	2	13	7.597	6
BT_0116	66	62	30	34	44.403	38
BT_0117	14	3	10	2	7	5
BT_0118	15	10	6	9	5	10
BT_0119	2	0	0	0	0	3
BT_0120	0	0	0	4	2	2
BT_0121	540	422	417	323	250	222
BT_0122	38120.995	28370	30370	62373.427	53209.714	44934.491
BT_0123	4	6	5	6.002	5	5
BT_0124	48	34	30	42.998	45	42
BT_0125	527	375	404	296	341	348
BT_0126	4005	3508	4046	4918	5346.916	4875.846
BT_0127	739	701	773	668	689	806.154
BT_0128	65	83	66	168	193	169
BT_0129	88	46	94	59	44	74
BT_0130	30	23	38	15	19	16
BT_0131	0	0	0	0	0	0
BT_0132	498	426	417	629	503	527
BT_0133	6733.216	5099.697	6131	21005.947	17352.48	15522.978
BT_0134	624.197	584.666	461	342.547	318.353	488.589
BT_0135	7813.588	7726.637	7098	5210.055	6596.767	5601.824
BT_0136	631	629	782	1341	1035	1173
BT_0137	71	40	73	80	110	67
BT_0138	9546	7786	9530.954	22441.639	18512	16856.965
BT_0139	0	0	2	0	1	4
BT_0140	284	258	270	522.716	543	536
BT_0141	136	105	140	297.284	236	351
BT_0142	129.701	124	109	96	151.239	120.124
BT_0143	503.299	401	495	490.002	398.761	451.876
