"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BT_0001"	65.9195110356118	-0.833992304192727	0.821016385749778	0	1	1
"BT_0002"	58.4421465973024	2.50298222204961	0.794286160132125	1.8922427425899	0.0584586458582333	1
"BT_0003"	6.59475735349673	0.752066286099745	1.06947842242569	0	1	1
"BT_0004"	6.18535236452539	-1.13502772080237	1.29093628524515	-0.10459673521124	0.916695805420189	1
"BT_0005"	2.49216304059864	-0.0211606108071922	1.51893793417059	0	1	1
"BT_0006"	0	NA	NA	NA	NA	NA
"BT_0007"	0.0522763087826389	1.25824043072216	3.1137995844218	0.082934184979062	0.933903871977995	1
"BT_0008"	327.520414911446	0.00968288606909882	0.646961962466077	0	1	1
"BT_0009"	67.0104241353253	0.691754583558868	0.896178442019484	0	1	1
"BT_0010"	18.8719388501036	0.844208839000626	0.971332933020132	0	1	1
"BT_0011"	13.0594181627546	2.34104164743575	1.11709419379827	1.20047320528633	0.229955612884223	1
"BT_0012"	223.7560479543	-0.773417742595817	0.433837531882122	0	1	1
"BT_0013"	14.4400173281327	0.0516195884649403	1.33978060630853	0	1	1
"BT_0014"	62.21169839904	0.428236212180607	0.495635468913933	0	1	1
"BT_0015"	15.5716375610191	0.732125091259572	1.07610505359657	0	1	1
"BT_0016"	10.5906085200879	0.883983797680981	1.07860111303885	0	1	1
"BT_0017"	3.02311140487344	0.524573897006607	1.46666389238996	0	1	1
"BT_0018"	71.9422041728461	2.21357075832155	0.556018524634238	2.18260850053488	0.0290646532532955	0.82355652212332
"BT_0019"	0	NA	NA	NA	NA	NA
"BT_0020"	1.98277581742455	-3.2132157681949	2.71740495043797	-0.81445931267557	0.415381871833535	1
"BT_0021"	0.0169517469320172	0.937092812618581	3.11617502636908	0	1	1
"BT_0022"	5.71388869533803	1.44143134845683	1.60038462575416	0.275828286121414	0.782679956983895	1
"BT_0023"	0.936215179019505	3.36241555822405	3.09448626878656	0.763427384394382	0.445208553565113	1
"BT_0024"	44.0606862799133	0.306155755105808	0.663678184987767	0	1	1
"BT_0025"	3.7308974288197	2.46168394354934	1.59132889326919	0.918530386604426	0.358341258054168	1
"BT_0026"	3.17426321697539	2.72104471751142	1.63827494090474	1.05052251886424	0.293477943142533	1
"BT_0027"	24.1320529491003	2.06245643478525	1.17089236312504	0.907390353071921	0.364200409054054	1
"BT_0028"	10.8522617530108	-0.600649791939243	1.01825934367071	0	1	1
"BT_0029"	114.776351462437	0.646261163060886	0.680853279216079	0	1	1
"BT_0030"	39.5252114578337	-0.0567839335817827	0.843447352897071	0	1	1
"BT_0031"	16.488857868863	-0.0728723657180875	0.792406020438597	0	1	1
"BT_0032"	0.0426411064919078	-0.250862814148979	3.09215247677374	0	1	1
"BT_0033"	24.0180802712518	-0.381280234638484	0.802960379842375	0	1	1
"BT_0034"	77.5130416824477	1.28586259641729	0.65541886203491	0.43615253233597	0.662726064970773	1
"BT_0035"	5.12876499593851	1.04822110450907	2.32018485830835	0.0207833028202039	0.983418517282489	1
"BT_0036"	27.9709685314695	0.20544901795122	1.03364429245359	0	1	1
"BT_0037"	114.171431885398	0.483149897829953	0.505636460166821	0	1	1
"BT_0038"	12.5874510891706	0.233902905304989	1.22005157220296	0	1	1
"BT_0039"	21.630413340503	-0.890132616112058	0.802115042366194	0	1	1
"BT_0040"	53.4985236366461	-0.745055680750715	0.310998531245137	0	1	1
"BT_0041"	58.915242625575	-0.579531711217863	0.639513683632143	0	1	1
"BT_0042"	11.589520705933	-0.980932211443285	1.24591438811286	0	1	1
"BT_0043"	0.142472789341918	-1.13637381919939	3.07893227649165	-0.0442925686416163	0.964671195227877	1
"BT_0044"	10.4950142475188	0.938551847124378	1.14324317843809	0	1	1
"BT_0045"	24.0132183617006	1.69192634569527	0.918088890936058	0.753659425058292	0.451053751654159	1
"BT_0046"	55.407294348707	0.487554140308595	0.478275428412611	0	1	1
"BT_0047"	4.19859627549507	0.489593280317155	1.41230002183877	0	1	1
"BT_0048"	7.57473666552077	-1.81936829981686	1.12082466722948	-0.731040566623343	0.464754374867888	1
"BT_0049"	28.5338576573557	0.742821749840081	0.967167512487616	0	1	1
"BT_0050"	57.5218170662624	0.480594345936555	0.586947400071232	0	1	1
"BT_0051"	26.2399495605418	-0.511539061890263	0.691198443856288	0	1	1
"BT_0052"	139.738850864411	-0.265549132794559	0.655459719924453	0	1	1
"BT_0053"	103.099217301216	0.198472248422848	0.509781157440514	0	1	1
"BT_0054"	26.3304844561389	-0.0335407663803706	0.749160040110055	0	1	1
"BT_0055"	24.2877853325315	-0.984103945937111	1.02889912025467	0	1	1
"BT_0056"	52.5032624844134	-0.746536108051226	0.663805625266957	0	1	1
"BT_0057"	19.6388482514057	-0.402041100444314	0.979879487383729	0	1	1
"BT_0058"	933.560836503027	0.415875858919184	0.299307878503234	0	1	1
"BT_0059"	422.386660194179	0.0998414608506163	0.289161148670408	0	1	1
"BT_0060"	123.226683908756	0.0698795038812008	0.536892111602402	0	1	1
"BT_0061"	787.371277594047	0.157502493301128	0.334020000135998	0	1	1
"BT_0062"	0.109660716253158	-0.924808226878163	3.08142778095558	0	1	1
"BT_0063"	0.30631335276785	0.0833081657187714	3.07173091403606	0	1	1
"BT_0064"	311.47677722605	-0.561897585118462	0.476020380981569	0	1	1
"BT_0065"	856.856438899428	-0.383546309259166	0.337748451196193	0	1	1
"BT_0066"	37.1439753804289	-0.76096073091614	1.09982701805169	0	1	1
"BT_0067"	1.83956510241246	-0.926553713378431	1.85583989592494	0	1	1
"BT_0068"	90.7210260852364	0.375016706182838	0.57311883054739	0	1	1
"BT_0069"	75.1843075693709	-0.486147713375106	0.868556142694578	0	1	1
"BT_0070"	83.2916925006028	-0.937491300644568	1.07900102632421	0	1	1
"BT_0071"	169.405087396271	-0.571550908836331	0.691590262433635	0	1	1
"BT_0072"	187.937737775812	-1.14450722182628	0.375634905416287	-0.384701261098554	0.700458760756897	1
"BT_0073"	21063.9761938912	1.13870446343942	0.200892441866783	0.690441423034727	0.489916634875989	1
"BT_0074"	7002.16740933153	1.44984250087448	0.422810605498546	1.06393381581349	0.287358682749448	1
"BT_0075"	19.8722214424766	1.77996928716371	0.947321948899093	0.823341302363076	0.410313932440823	1
"BT_0076"	84.223606853516	1.07015449153848	0.839926632151862	0.0835245470890046	0.933434459829704	1
"BT_0077"	7.82818735362094	-0.326498112309688	0.986206270263257	0	1	1
"BT_0078"	0.946187964256227	2.79969070329393	2.58223678980354	0.696950299213594	0.485833897989441	1
"BT_0079"	3.39480279977151	3.97321112529778	2.87466693116842	1.03428021279992	0.301005184485283	1
"BT_0080"	3.72436690321649	-5.1754973887845	3.01723798325582	-1.3838806921948	NA	NA
"BT_0081"	0	NA	NA	NA	NA	NA
"BT_0082"	579.279371208561	2.76608715523856	0.668253841430946	2.6428387623733	0.00822141759361938	0.401069567556772
"BT_0083"	326.175487027457	1.99738297366371	0.788019825678738	1.26568258965393	0.205626744007604	1
"BT_0084"	37.6792605295001	0.620215132162169	0.624104236933093	0	1	1
"BT_0085"	4.13001507099454	-1.05757916969232	1.23091345087375	-0.0467775940310445	0.962690486853945	1
"BT_0086"	28.5825242618538	-0.385001711460643	0.987682726151468	0	1	1
"BT_0087"	238.49056067298	0.813427969646998	0.835583111288532	0	1	1
"BT_0088"	1.78612873722956	-2.89614775257919	1.89273860761225	-1.00180117051199	0.316439631800056	1
"BT_0089"	0.259845327709919	1.57263352157091	3.09159909196	0.185222438142158	0.85305457049206	1
"BT_0090"	14.5072827649039	0.233056446285437	0.983556508840847	0	1	1
"BT_0091"	4.74181149415248	2.67221149684862	1.23698783715007	1.35184150290538	0.176426024113018	1
"BT_0092"	0.0169517469320172	0.937092812618581	3.11617502636908	0	1	1
"BT_0093"	9.07048949929229	2.63372073731577	1.29077536518055	1.26568943085403	0.20562429375462	1
"BT_0094"	8.02403240435941	-1.07409040906585	1.1158264345348	-0.0663995822044976	0.947059702823075	1
"BT_0095"	1.07184947060158	-2.73959041822854	3.03432855985013	-0.573303247791487	0.566439386752738	1
"BT_0096"	22.02304303051	1.67441768766108	0.962081010893892	0.70099885563115	0.48330372937739	1
"BT_0097"	1.49930625245766	-3.41770858479885	2.69282266296997	-0.897834312688197	0.369273888614612	1
"BT_0098"	15.0011042281761	1.94239309329172	1.03530978854352	0.910252277839942	0.362689479756264	1
"BT_0099"	0	NA	NA	NA	NA	NA
"BT_0100"	0	NA	NA	NA	NA	NA
"BT_0101"	3.11816493056854	2.54846722263118	1.97545169743142	0.783854763264813	0.433125335973917	1
"BT_0102"	10.5892123736106	1.07013289522539	1.15961940832081	0.0604792354475559	0.951773953284427	1
"BT_0103"	3.44835729419709	4.30990910303403	2.13378673207664	1.55119021656526	0.120856106018526	1
"BT_0104"	0	NA	NA	NA	NA	NA
"BT_0105"	26.9064942752008	0.94066838742183	0.756509867964854	0	1	1
"BT_0106"	301.148427686629	-0.263915081722243	0.399785464885916	0	1	1
"BT_0107"	3.55163727890391	-1.01934117357438	1.56604141786321	-0.0123503589073435	0.990146089813155	1
"BT_0108"	10.8575312144177	0.063674190877075	1.02679305449284	0	1	1
"BT_0109"	0.315177301709297	0.404280379428541	3.07285965967274	0	1	1
"BT_0110"	11.7372071577322	4.26954721423968	1.42906817421053	2.28788750127048	0.022144073360974	0.712828266286592
"BT_0111"	15.4224313703086	0.796796441959648	1.30559570245819	0	1	1
"BT_0112"	12.7135582234701	0.252952419688814	0.925946224891341	0	1	1
"BT_0113"	7.08052783075358	0.55087100606148	1.47952794762622	0	1	1
"BT_0114"	40.284213304345	0.236802747190441	0.580692995972857	0	1	1
"BT_0115"	1.44838307637738	-1.1610730153857	1.82930091129007	-0.088051678316887	0.92983560225261	1
"BT_0116"	37.2361044675541	0.885456408261928	0.698473684320633	0	1	1
"BT_0117"	3.68574304642478	1.80423631465061	1.4526703040828	0.553626182341765	0.57983470365886	1
"BT_0118"	3.53900559877541	-0.530068078175047	1.47512264192755	0	1	1
"BT_0119"	0.494976836594592	1.1294136070033	3.08577522777742	0.041938766582333	0.966547512306721	1
"BT_0120"	2.40014375613585	4.69555043997188	2.17694110052252	1.69758862060386	0.0895854320449296	1
"BT_0121"	89.9245750443451	-0.251119602299658	0.464524824355691	0	1	1
"BT_0122"	8619.16234018501	-0.0313068442625157	0.356228896971223	0	1	1
"BT_0123"	10.0512583414517	4.04223691277427	1.29690894591532	2.34575983329897	0.0189883383715316	0.64180583695777
"BT_0124"	27.5338961062089	-1.4480358693513	1.05776850730661	-0.423567034049949	0.671881601412788	1
"BT_0125"	164.059468211837	0.464316137264641	0.433030036747805	0	1	1
"BT_0126"	1383.01581296181	0.142407679892225	0.298084946108838	0	1	1
"BT_0127"	256.614139710556	0.230338464135417	0.303498997187512	0	1	1
"BT_0128"	64.0153854853758	2.14242938979941	0.542391372967344	2.10628237604398	0.0351798312733005	0.945857736279875
"BT_0129"	47.8647853744679	0.875561631999887	0.686904154774179	0	1	1
"BT_0130"	20.249587731905	0.578466040515229	0.988914542422757	0	1	1
"BT_0131"	0	0	0	0	1	NA
"BT_0132"	366.821266897185	0.866497160653083	0.480060398935692	0	1	1
"BT_0133"	2283.34101786515	0.354959706974058	0.432414266043027	0	1	1
"BT_0134"	101.040196880497	-0.772541324825907	0.527076867454872	0	1	1
"BT_0135"	1295.53388555378	-0.174046754974087	0.50294063695867	0	1	1
"BT_0136"	812.490961557904	1.40480745470072	0.529307776522555	0.764786524317148	0.444398673421863	1
"BT_0137"	105.881246306311	0.252500182312508	0.747224300757662	0	1	1
"BT_0138"	11155.2953748602	1.45990962553013	0.499650805708602	0.920462091275712	0.35733133431819	1
"BT_0139"	1.53177913191349	-1.12771449365238	2.52742707099131	-0.0505314258592197	0.959698907170636	1
"BT_0140"	310.237453427899	1.71925510173326	0.52232503424714	1.37702590259716	0.168504239611507	1
"BT_0141"	172.101386024348	1.45569145383332	0.543537291474611	0.838381213176811	0.40181663722931	1
"BT_0142"	82.8024896754165	0.128059624689129	0.528926853877602	0	1	1
"BT_0143"	300.911663085894	-0.151030872571208	0.49764305315579	0	1	1
"BT_0144"	6.97728393233262	0.0423133208483512	1.40451909427451	0	1	1
"BT_0145"	23.6074635162373	1.46332466549151	0.987114537579224	0.469372750428491	0.638803222463875	1
"BT_0146"	39.6533376850912	-1.02765391041548	0.844599389450207	-0.0327420440517747	0.97388029554629	1
"BT_0147"	3907.8970985262	-0.992907017563565	0.796440496619647	0	1	1
"BT_0148"	3377.15916501783	0.0501930817725744	0.957301284474904	0	1	1
"BT_0149"	300.957675612646	-0.897659499921325	0.333171400422703	0	1	1
"BT_0150"	973.010536546289	-0.522961302950044	0.181011244096052	0	1	1
"BT_0151"	921.311687828566	-0.875720655052895	0.484673427330332	0	1	1
"BT_0152"	1046.83674379631	0.0545024956338253	0.577511254846146	0	1	1
"BT_0153"	1709.7972398208	0.857090543116912	0.602844372134637	0	1	1
"BT_0154"	6100.00441480981	1.12614387539851	0.475089526303917	0.265516009961059	0.790611978164519	1
"BT_0155"	7077.08822202037	-0.259397861405624	0.47538658393281	0	1	1
"BT_0156"	1116.55755234861	0.523048960997714	0.397137025416489	0	1	1
"BT_0157"	3252.13238623325	-1.05243239157317	0.347609774319105	-0.150836931084203	0.880104352753806	1
"BT_0158"	968.38172471836	-0.434444125538362	0.672876884943884	0	1	1
"BT_0159"	1440.74956570861	-0.399027484190786	0.257060049711533	0	1	1
"BT_0160"	262.985179790484	-1.67935730007886	0.740087468220244	-0.917941904505656	0.35864928163569	1
"BT_0161"	288.555522463143	-0.490746727212258	0.547556476167981	0	1	1
"BT_0162"	2704.72422967131	0.896097804983269	0.626285988136551	0	1	1
"BT_0163"	255.201097987956	0.623524188079321	0.275647011671481	0	1	1
"BT_0164"	23712.3174100558	0.167329770912658	0.211883605940682	0	1	1
"BT_0165"	806.34637651814	0.977670803369567	0.428436280760341	0	1	1
"BT_0166"	3590.7809015603	1.73797281725503	0.525801131233163	1.40352078650774	0.160461597909237	1
"BT_0167"	339.356200459867	0.642221219484246	0.476933901242679	0	1	1
"BT_0168"	604.536438652519	0.841026138837043	0.49973054996856	0	1	1
"BT_0169"	430.144394895133	-0.0261281932786439	0.456748629131674	0	1	1
"BT_0170"	683.87812259106	-1.89449539075983	1.09892850565661	-0.81397050504697	0.415661848061551	1
"BT_0171"	43.7645941637491	3.85177238900268	1.14837391009099	2.48331346083675	0.0130166489147593	0.50487526774296
"BT_0172"	31.0268306610032	0.433446330782884	0.863473991358579	0	1	1
"BT_0173"	1699.52750812949	-0.0753222973512014	0.29233201046932	0	1	1
"BT_0174"	785.676847950329	-0.356692735604388	0.302109056947515	0	1	1
"BT_0175"	81.3259056996818	2.1576378305314	0.796727026111733	1.45299179341389	0.146226032572681	1
"BT_0176"	386.193020277979	2.08536445088252	0.417556631255062	2.59932274963567	0.00934079039545796	0.441933804901847
"BT_0177"	15641.5684748498	3.98522687788034	0.73109553964442	4.08322403297968	4.44151665801971e-05	0.0116762537920829
"BT_0178"	991.577635872237	1.5301540481662	0.615697449003112	0.861062603109009	0.389203564558111	1
"BT_0179"	469.43172151312	0.631083128963683	0.698201151749109	0	1	1
"BT_0180"	6086.80720957362	0.190014078008673	0.363789657617804	0	1	1
