"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"BT_0001"	97.8920387820129	-0.872624899684444	0.282707024796719	0	1	1
"BT_0002"	72.6757909181043	0.163050850128004	0.344882838645173	0	1	1
"BT_0003"	27.2815123356874	-0.0164648537069328	0.541796128805363	0	1	1
"BT_0004"	10.9775846328586	-2.15451735013754	0.873262743234638	-1.32207329246764	0.18614374620921	1
"BT_0005"	9.08610811916312	-1.16280012106487	0.833756837264971	-0.195260912760741	0.84518869515706	1
"BT_0006"	0	NA	NA	NA	NA	NA
"BT_0007"	0.469665493938906	2.26377647507389	3.65512509520797	0.345754643727723	0.729527114202726	NA
"BT_0008"	376.220378919509	-0.697478076777084	0.187872621099075	0	1	1
"BT_0009"	398.214049302644	1.6203552563931	0.191368718096377	3.24167535093525	0.00118829305287528	0.0255156719006122
"BT_0010"	62.2394405313776	0.111316710498856	0.346299235588197	0	1	1
"BT_0011"	23.600209496539	-0.19548535175528	0.502927258943606	0	1	1
"BT_0012"	581.969521935963	0.756390487586582	0.184967869227917	0	1	1
"BT_0013"	53.423077514222	0.664928028614251	0.405009392001783	0	1	1
"BT_0014"	227.70285769344	0.996305231375687	0.23495845576391	0	1	1
"BT_0015"	24.3616281654515	3.14823753016369	0.61639733571331	3.48515057690459	0.000491860167380009	0.0117113167033097
"BT_0016"	8.37465388603011	1.26699161022621	0.856412284154962	0.311755932470841	0.755226016799741	1
"BT_0017"	13.2883377277522	0.618213211228256	0.852102324099132	0	1	1
"BT_0018"	91.2329252384819	1.94551910978418	0.329355119234065	2.87081953358747	0.00409409183803361	0.0760354736159601
"BT_0019"	0	NA	NA	NA	NA	NA
"BT_0020"	1.08808398403598	3.47695997997859	2.44362391038591	1.01364206228749	0.310753579249298	NA
"BT_0021"	0.15355144062949	0.771228289665599	4.0804728567969	0	1	NA
"BT_0022"	20.7737158210558	0.183878484088746	0.573037404960065	0	1	1
"BT_0023"	0	NA	NA	NA	NA	NA
"BT_0024"	71.1530169310798	0.85373938110813	0.392724165490399	0	1	1
"BT_0025"	4.92464146372336	-0.538802440667741	1.05469513370412	0	1	1
"BT_0026"	2.76849983087348	0.323950240327085	1.58105672962169	0	1	1
"BT_0027"	19.9698481314006	0.0513911461670953	0.777584860110857	0	1	1
"BT_0028"	42.3318166445146	-0.723817633671115	0.376613483944853	0	1	1
"BT_0029"	481.475594589325	-0.492915591105752	0.191883118877876	0	1	1
"BT_0030"	192.57495193573	-0.580708823068109	0.222967602288372	0	1	1
"BT_0031"	54.7838337555351	-0.61198755389234	0.374840154644483	0	1	1
"BT_0032"	0.388108462256728	-2.16420062758528	4.02802913539832	-0.289024877539808	0.772562340070934	NA
"BT_0033"	52.4773549155441	-0.758116945526675	0.408083135423958	0	1	1
"BT_0034"	70.4596320008181	0.386351439172114	0.332804221056824	0	1	1
"BT_0035"	0.323947073366229	-1.93751080896793	4.04828690589885	-0.231582106397119	0.816862606758449	NA
"BT_0036"	33.5370361188887	0.899807922841592	0.452563910786682	0	1	1
"BT_0037"	396.909246184235	0.270477572301775	0.195551088931341	0	1	1
"BT_0038"	12.7662494724504	-2.05345584112503	0.730002604809658	-1.44308504405913	0.148996515866651	1
"BT_0039"	70.2423172986813	-1.04339932260881	0.31073593968535	-0.139666247337706	0.888923695684602	1
"BT_0040"	179.674023541792	-0.456181231649826	0.220445666009119	0	1	1
"BT_0041"	305.638840899627	-0.428140618589031	0.190746890283979	0	1	1
"BT_0042"	78.4326278401251	-1.6959469201109	0.346540289824697	-2.00827130508534	0.044614469403273	0.540350458485633
"BT_0043"	1.305874022254	-3.92245923892974	2.48621348925795	-1.17546592501274	0.239808361983197	NA
"BT_0044"	27.4668815760556	-0.617811045743052	0.466360033337919	0	1	1
"BT_0045"	68.4466793661657	-0.118431032534668	0.329396282114286	0	1	1
"BT_0046"	152.370816727425	0.189961161618938	0.230966003499133	0	1	1
"BT_0047"	16.232314635044	-1.4526187401935	0.596532772579813	-0.758749160144319	0.448002623214607	1
"BT_0048"	20.0252832728025	-1.10916486805683	0.63779722966392	-0.171159207001188	0.86409858220534	1
"BT_0049"	96.4595709206726	-0.703806750697002	0.289523172600443	0	1	1
"BT_0050"	121.728381467845	0.284827880954138	0.260471656088031	0	1	1
"BT_0051"	71.9130672829715	-0.361026224076901	0.339021655971576	0	1	1
