time	experiment	replicate	acetate
0	btri	A	1.707833627
0	btri	B	1.764380937
0	btri	C	1.772013015
0	btri	D	1.768940238
0	btri	E	1.764931851
0	btri	F	1.804061334
4	btri	A	1.905918599
4	btri	B	1.86122736
4	btri	C	1.798189382
4	btri	D	1.884740398
4	btri	E	1.91084107
4	btri	F	1.89737722
8	btri	A	3.967561823
8	btri	B	3.898789053
8	btri	C	3.051809547
8	btri	D	3.711439311
8	btri	E	3.749189416
8	btri	F	4.017906776
12	btri	A	9.772910554
12	btri	B	9.942581063
12	btri	C	6.635841954
12	btri	D	9.012441166
12	btri	E	8.824549239
12	btri	F	9.760168859
16	btri	A	11.35958687
16	btri	B	11.20180089
16	btri	C	11.65190062
16	btri	D	11.2320092
16	btri	E	11.43894527
16	btri	F	10.97623013
24	btri	A	11.28696619
24	btri	B	11.7671556
24	btri	C	12.395596
24	btri	D	11.95380675
24	btri	E	11.50921353
24	btri	F	11.21689309
28	btri	A	11.21651138
28	btri	B	11.81897954
28	btri	C	12.50259027
28	btri	D	12.04262169
28	btri	E	11.51427041
28	btri	F	11.20008943
32	btri	A	11.06040147
32	btri	B	11.79012299
32	btri	C	12.00889001
32	btri	D	11.92879594
32	btri	E	10.85704138
32	btri	F	10.89337707
38	btri	A	11.25806754
38	btri	B	11.31976608
38	btri	C	12.43474331
38	btri	D	11.65893873
38	btri	E	11.59896982
38	btri	F	11.19113227
48	btri	A	11.1468152
48	btri	B	11.11009111
48	btri	C	12.38553486
48	btri	D	11.4162821
48	btri	E	11.45021372
48	btri	F	11.1288186
62	btri	A	10.70056697
62	btri	B	10.82932133
62	btri	C	12.38768064
62	btri	D	11.01711376
62	btri	E	11.25748207
62	btri	F	10.95969912
72	btri	A	10.6987388
72	btri	B	10.71600931
72	btri	C	12.25234067
72	btri	D	11.00792891
72	btri	E	11.10242256
72	btri	F	10.66554668
96	btri	A	10.42953785
96	btri	B	10.43084656
96	btri	C	12.23346968
96	btri	D	10.78659518
96	btri	E	10.92798312
96	btri	F	10.54034726
120	btri	A	10.09659303
120	btri	B	10.13320041
120	btri	C	12.13397846
120	btri	D	10.5833805
120	btri	E	10.68979025
120	btri	F	10.25265703
