time	experiment	replicate	butyrate
0	btri	A	0.003276909
0	btri	B	0.002431036
0	btri	C	0.000996487
0	btri	D	0.000561112
0	btri	E	0.010555386
0	btri	F	0.004482542
4	btri	A	0.030044866
4	btri	B	0.020026545
4	btri	C	0.008398638
4	btri	D	0.024995625
4	btri	E	0.038289318
4	btri	F	0.033234347
8	btri	A	0.643102287
8	btri	B	0.571733432
8	btri	C	0.024861508
8	btri	D	0.407719251
8	btri	E	0.465888025
8	btri	F	0.654972558
12	btri	A	3.289420532
12	btri	B	3.280169801
12	btri	C	0.485199208
12	btri	D	2.457767238
12	btri	E	2.473131454
12	btri	F	3.169545514
16	btri	A	4.940103257
16	btri	B	5.003143101
16	btri	C	1.820210256
16	btri	D	4.42317902
16	btri	E	4.563697529
16	btri	F	4.941257187
24	btri	A	4.974789596
24	btri	B	4.85817057
24	btri	C	2.290794017
24	btri	D	4.524993108
24	btri	E	4.661565196
24	btri	F	4.83495784
28	btri	A	5.069673674
28	btri	B	5.232136179
28	btri	C	2.38246023
28	btri	D	4.653482634
28	btri	E	4.70515774
28	btri	F	5.179043889
32	btri	A	5.051360552
32	btri	B	5.320850004
32	btri	C	2.505088069
32	btri	D	4.868738175
32	btri	E	4.769621254
32	btri	F	5.207787294
38	btri	A	5.504544871
38	btri	B	5.401809752
38	btri	C	2.660530656
38	btri	D	4.963711962
38	btri	E	4.79461991
38	btri	F	5.254047026
48	btri	A	5.709011851
48	btri	B	5.654383016
48	btri	C	2.733281517
48	btri	D	5.170099096
48	btri	E	4.992923565
48	btri	F	5.489705481
62	btri	A	5.827138059
62	btri	B	5.788327065
62	btri	C	2.70277404
62	btri	D	5.254976785
62	btri	E	5.120720825
62	btri	F	5.681096122
72	btri	A	6.038165259
72	btri	B	5.999371721
72	btri	C	2.754914025
72	btri	D	5.457185058
72	btri	E	5.238774453
72	btri	F	5.81196471
96	btri	A	6.34094733
96	btri	B	6.272757064
96	btri	C	2.789069564
96	btri	D	5.703136548
96	btri	E	5.444549711
96	btri	F	6.0238987
120	btri	A	6.467076169
120	btri	B	6.406119095
120	btri	C	2.874800527
120	btri	D	5.852617765
120	btri	E	5.579992215
120	btri	F	6.200279526
