time	experiment	replicate	formate
0	btri	A	0.876114577
0	btri	B	0.851983614
0	btri	C	0.880057547
0	btri	D	0.897476865
0	btri	E	0.871358206
0	btri	F	0.886753634
4	btri	A	0.909991265
4	btri	B	0.857925332
4	btri	C	0.892994649
4	btri	D	0.897189616
4	btri	E	0.889741988
4	btri	F	0.849884768
8	btri	A	1.502390888
8	btri	B	1.489978733
8	btri	C	1.384519676
8	btri	D	1.497307251
8	btri	E	1.552036785
8	btri	F	1.540787664
12	btri	A	2.020660876
12	btri	B	2.044960763
12	btri	C	2.36909963
12	btri	D	2.13970036
12	btri	E	2.153233541
12	btri	F	2.071860138
16	btri	A	2.028773619
16	btri	B	2.047749446
16	btri	C	2.37757442
16	btri	D	2.12567586
16	btri	E	2.18031373
16	btri	F	2.015158098
24	btri	A	1.876881727
24	btri	B	1.947215631
24	btri	C	2.196548644
24	btri	D	1.984030651
24	btri	E	1.941063138
24	btri	F	1.867973026
28	btri	A	1.845247038
28	btri	B	1.897164737
28	btri	C	2.222720154
28	btri	D	1.957203559
28	btri	E	1.991035044
28	btri	F	1.859455704
32	btri	A	1.865247952
32	btri	B	1.880283669
32	btri	C	2.097733924
32	btri	D	1.950863548
32	btri	E	1.791831286
32	btri	F	1.956959071
38	btri	A	2.293886683
38	btri	B	2.310005524
38	btri	C	2.702432353
38	btri	D	2.428503614
38	btri	E	2.44384221
38	btri	F	2.298375394
48	btri	A	2.36978203
48	btri	B	2.332242078
48	btri	C	2.71381567
48	btri	D	2.476631762
48	btri	E	2.512278301
48	btri	F	2.375433356
62	btri	A	2.201740917
62	btri	B	2.214977839
62	btri	C	2.606237234
62	btri	D	2.322870133
62	btri	E	2.433116779
62	btri	F	2.282854517
72	btri	A	2.272909331
72	btri	B	2.294163246
72	btri	C	2.675729714
72	btri	D	2.404673256
72	btri	E	2.457742885
72	btri	F	2.290764237
96	btri	A	2.342346498
96	btri	B	2.314959156
96	btri	C	2.708490144
96	btri	D	2.429385893
96	btri	E	2.460623337
96	btri	F	2.344326233
120	btri	A	2.229351815
120	btri	B	2.219693249
120	btri	C	2.620489271
120	btri	D	2.348319225
120	btri	E	2.413888273
120	btri	F	2.293126971
