time	experiment	replicate	glucose
0	btri	A	7.485634708
0	btri	B	7.373072272
0	btri	C	7.450830006
0	btri	D	7.317839557
0	btri	E	7.466663101
0	btri	F	7.381889795
4	btri	A	7.222496052
4	btri	B	7.228063733
4	btri	C	7.231118293
4	btri	D	7.214932351
4	btri	E	7.253295332
4	btri	F	7.136482915
8	btri	A	5.489495546
8	btri	B	5.566321886
8	btri	C	6.477124507
8	btri	D	5.778974836
8	btri	E	5.81655547
8	btri	F	5.449055027
12	btri	A	0.527541973
12	btri	B	0.568037472
12	btri	C	3.701831747
12	btri	D	1.344438294
12	btri	E	1.478935643
12	btri	F	0.675689518
16	btri	A	0.05743664
16	btri	B	0.060720992
16	btri	C	0.200692198
16	btri	D	0.032233128
16	btri	E	0.029775185
16	btri	F	0.032782597
24	btri	A	0.076265055
24	btri	B	0.078368553
24	btri	C	0.026368252
24	btri	D	0.037933405
24	btri	E	0.033339032
24	btri	F	0.044419805
28	btri	A	0.094674911
28	btri	B	0.023734575
28	btri	C	0.023734575
28	btri	D	0.070563549
28	btri	E	0.042624211
28	btri	F	0.042624211
32	btri	A	0.081020656
32	btri	B	0.081020656
32	btri	C	0.081020656
32	btri	D	0.058819658
32	btri	E	0.069911704
32	btri	F	0.069911704
38	btri	A	0.177180709
38	btri	B	0.076359645
38	btri	C	0.024124986
38	btri	D	0.171930381
38	btri	E	0.064252152
38	btri	F	0.174311223
48	btri	A	0.174807814
48	btri	B	0.172437979
48	btri	C	0.024985521
48	btri	D	0.164602248
48	btri	E	0.156962997
48	btri	F	0.164824602
62	btri	A	0.066332114
62	btri	B	0.063550844
62	btri	C	0.021457405
62	btri	D	0.06216872
62	btri	E	0.061119071
62	btri	F	0.070876497
72	btri	A	0.062099063
72	btri	B	0.067826077
72	btri	C	0.026263382
72	btri	D	0.068604251
72	btri	E	0.062254265
72	btri	F	0.057220507
96	btri	A	0.06134547
96	btri	B	0.058230351
96	btri	C	0.033433461
96	btri	D	0.057780956
96	btri	E	0.051545108
96	btri	F	0.05950387
120	btri	A	0.043511799
120	btri	B	0.052073071
120	btri	C	0.023841817
120	btri	D	0.050595359
120	btri	E	0.015221695
120	btri	F	0.059441931
