time	experiment	replicate	lactate
0	btri	A	0.38415146
0	btri	B	0.37879633
0	btri	C	0.380898019
0	btri	D	0.372216929
0	btri	E	0.373960699
0	btri	F	0.379315108
4	btri	A	0.370611566
4	btri	B	0.359538284
4	btri	C	0.370676792
4	btri	D	0.369882094
4	btri	E	0.360226972
4	btri	F	0.352297836
8	btri	A	0.519302398
8	btri	B	0.531826377
8	btri	C	0.47361734
8	btri	D	0.510849911
8	btri	E	0.565423956
8	btri	F	0.513933615
12	btri	A	1.227559836
12	btri	B	1.217361679
12	btri	C	1.219134214
12	btri	D	1.285085147
12	btri	E	1.318430728
12	btri	F	1.344471026
16	btri	A	1.185681061
16	btri	B	1.141701266
16	btri	C	2.388882771
16	btri	D	1.300147425
16	btri	E	1.393299623
16	btri	F	1.228925178
24	btri	A	1.238438832
24	btri	B	1.293511212
24	btri	C	2.848027753
24	btri	D	1.519648979
24	btri	E	1.600549734
24	btri	F	1.372413077
28	btri	A	1.294677509
28	btri	B	1.315438277
28	btri	C	3.115692274
28	btri	D	1.461885768
28	btri	E	1.658721359
28	btri	F	1.424252997
32	btri	A	1.235020093
32	btri	B	1.365158304
32	btri	C	2.914780306
32	btri	D	1.298357016
32	btri	E	1.525598357
32	btri	F	1.473315719
38	btri	A	1.253293295
38	btri	B	1.263470693
38	btri	C	2.780768206
38	btri	D	1.544056838
38	btri	E	1.618526199
38	btri	F	1.372951932
48	btri	A	1.21194849
48	btri	B	1.261181394
48	btri	C	2.761345027
48	btri	D	1.498005329
48	btri	E	1.553043073
48	btri	F	1.400261989
62	btri	A	1.2391502
62	btri	B	1.232404085
62	btri	C	2.729472691
62	btri	D	1.463377109
62	btri	E	1.520984902
62	btri	F	1.38902742
72	btri	A	1.206978353
72	btri	B	1.128263099
72	btri	C	2.508581816
72	btri	D	1.385831039
72	btri	E	1.482775422
72	btri	F	1.270769538
96	btri	A	1.194338477
96	btri	B	1.191293628
96	btri	C	2.65313488
96	btri	D	1.415014987
96	btri	E	1.433066385
96	btri	F	1.220144316
120	btri	A	1.150217806
120	btri	B	1.112862456
120	btri	C	2.544605018
120	btri	D	1.283514543
120	btri	E	1.43514143
120	btri	F	1.283428619
