time	experiment	replicate	bt_live
0	btri	A	0.01289
0	btri	B	0.01138
0	btri	C	0.0131
0	btri	D	0.0131
0	btri	E	0.01278
0	btri	F	0.0116
4	btri	A	0.19091
4	btri	B	0.19293
4	btri	C	0.16073
4	btri	D	0.17381
4	btri	E	0.22323
4	btri	F	0.22102
8	btri	A	3.3539
8	btri	B	3.62195
8	btri	C	3.38885
8	btri	D	3.7032
8	btri	E	4.0181
8	btri	F	3.26635
12	btri	A	6.5526
12	btri	B	6.47235
12	btri	C	8.1899
12	btri	D	7.1449
12	btri	E	7.3004
12	btri	F	7.2115
16	btri	A	6.01285
16	btri	B	6.8172
16	btri	C	9.69975
16	btri	D	5.95365
16	btri	E	8.0188
16	btri	F	6.14
24	btri	A	6.20825
24	btri	B	7.2651
24	btri	C	9.6514
24	btri	D	7.2267
24	btri	E	7.49705
24	btri	F	5.89985
28	btri	A	8.514
28	btri	B	6.01245
28	btri	C	9.42655
28	btri	D	6.63155
28	btri	E	7.1669
28	btri	F	6.7748
32	btri	A	6.48395
32	btri	B	6.436
32	btri	C	9.6653
32	btri	D	7.9375
32	btri	E	6.99175
32	btri	F	5.6161
38	btri	A	0.9823
38	btri	B	0.82845
38	btri	C	7.7901
38	btri	D	4.69235
38	btri	E	5.2688
38	btri	F	3.2404
48	btri	A	1.7999
48	btri	B	1.1664
48	btri	C	4.5363
48	btri	D	3.941
48	btri	E	3.78765
48	btri	F	3.60015
62	btri	A	1.1279
62	btri	B	0.84535
62	btri	C	2.16215
62	btri	D	1.26985
62	btri	E	2.13885
62	btri	F	1.63225
72	btri	A	1.4782
72	btri	B	1.45655
72	btri	C	1.188
72	btri	D	2.1186
72	btri	E	2.70935
72	btri	F	2.1319
96	btri	A	1.1057
96	btri	B	1.0899
96	btri	C	0.3279
96	btri	D	1.3883
96	btri	E	2.79425
96	btri	F	1.83915
120	btri	A	0.40775
120	btri	B	0.55265
120	btri	C	0.08045
120	btri	D	0.8835
120	btri	E	1.39255
120	btri	F	1.1321
