time	experiment	replicate	od
0	btri	A	0.00748363
0	btri	B	0.006410256
0	btri	C	0.005660377
0	btri	D	0.006622517
0	btri	E	0.008737864
0	btri	F	0.007434944
4	btri	A	0.036482694
4	btri	B	0.032967033
4	btri	C	0.021698113
4	btri	D	0.03500473
4	btri	E	0.03592233
4	btri	F	0.037174721
8	btri	A	0.458372311
8	btri	B	0.433150183
8	btri	C	0.266037736
8	btri	D	0.405865658
8	btri	E	0.419417476
8	btri	F	0.470260223
12	btri	A	1
12	btri	B	1
12	btri	C	0.801886792
12	btri	D	1
12	btri	E	1
12	btri	F	1
16	btri	A	0.93919551
16	btri	B	0.91025641
16	btri	C	1
16	btri	D	0.941343425
16	btri	E	0.955339806
16	btri	F	0.907992565
24	btri	A	0.865294668
24	btri	B	0.840659341
24	btri	C	0.83490566
24	btri	D	0.894039735
24	btri	E	0.914563107
24	btri	F	0.836431227
28	btri	A	0.808231993
28	btri	B	0.792124542
28	btri	C	0.823584906
28	btri	D	0.844843898
28	btri	E	0.860194175
28	btri	F	0.794609665
32	btri	A	0.755846586
32	btri	B	0.756410256
32	btri	C	0.863207547
32	btri	D	0.789971618
32	btri	E	0.791262136
32	btri	F	0.735130112
38	btri	A	0.752104771
38	btri	B	0.736263736
38	btri	C	0.894339623
38	btri	D	0.789025544
38	btri	E	0.82038835
38	btri	F	0.75929368
48	btri	A	0.753040225
48	btri	B	0.738095238
48	btri	C	0.903773585
48	btri	D	0.804162725
48	btri	E	0.817475728
48	btri	F	0.75464684
62	btri	A	0.791393826
62	btri	B	0.775641026
62	btri	C	0.909433962
62	btri	D	0.826868496
62	btri	E	0.851456311
62	btri	F	0.777881041
72	btri	A	0.801683817
72	btri	B	0.8003663
72	btri	C	0.909433962
72	btri	D	0.833491012
72	btri	E	0.854368932
72	btri	F	0.780669145
96	btri	A	0.829747428
96	btri	B	0.814102564
96	btri	C	0.899056604
96	btri	D	0.841059603
96	btri	E	0.857281553
96	btri	F	0.794609665
120	btri	A	0.83536015
120	btri	B	0.824175824
120	btri	C	0.894339623
120	btri	D	0.849574267
120	btri	E	0.863106796
120	btri	F	0.798327138
