time	experiment	replicate	pH
0	btri	A	6.6
0	btri	B	6.69
0	btri	C	6.64
0	btri	D	6.64
0	btri	E	6.64
0	btri	F	6.64
4	btri	A	6.65
4	btri	B	6.69
4	btri	C	6.69
4	btri	D	6.65
4	btri	E	6.69
4	btri	F	6.69
8	btri	A	6.19
8	btri	B	6.23
8	btri	C	6.4
8	btri	D	6.27
8	btri	E	6.27
8	btri	F	6.19
12	btri	A	5.33
12	btri	B	5.33
12	btri	C	5.59
12	btri	D	5.38
12	btri	E	5.38
12	btri	F	5.38
16	btri	A	5.3
16	btri	B	5.34
16	btri	C	5.13
16	btri	D	5.3
16	btri	E	5.25
16	btri	F	5.3
24	btri	A	5.35
24	btri	B	5.35
24	btri	C	5.19
24	btri	D	5.35
24	btri	E	5.26
24	btri	F	5.35
28	btri	A	5.3
28	btri	B	5.3
28	btri	C	5.09
28	btri	D	5.26
28	btri	E	5.26
28	btri	F	5.3
32	btri	A	5.35
32	btri	B	5.34
32	btri	C	5.17
32	btri	D	5.34
32	btri	E	5.34
32	btri	F	5.3
38	btri	A	5.34
38	btri	B	5.42
38	btri	C	5.21
38	btri	D	5.38
38	btri	E	5.38
38	btri	F	5.38
48	btri	A	5.51
48	btri	B	5.51
48	btri	C	5.21
48	btri	D	5.35
48	btri	E	5.39
48	btri	F	5.43
62	btri	A	5.42
62	btri	B	5.47
62	btri	C	5.3
62	btri	D	5.47
62	btri	E	5.47
62	btri	F	5.51
72	btri	A	5.51
72	btri	B	5.51
72	btri	C	5.3
72	btri	D	5.51
72	btri	E	5.51
72	btri	F	5.51
96	btri	A	5.55
96	btri	B	5.56
96	btri	C	5.34
96	btri	D	5.51
96	btri	E	5.51
96	btri	F	5.55
120	btri	A	5.5
120	btri	B	5.5
120	btri	C	5.29
120	btri	D	5.5
120	btri	E	5.46
120	btri	F	5.46
