time	experiment	replicate	succinate
0	btri	A	0.555724769
0	btri	B	0.544169962
0	btri	C	0.553097912
0	btri	D	0.538611129
0	btri	E	0.539185123
0	btri	F	0.545131069
4	btri	A	0.57738261
4	btri	B	0.559799275
4	btri	C	0.560704188
4	btri	D	0.447216088
4	btri	E	0.56870657
4	btri	F	0.554571518
8	btri	A	1.461949445
8	btri	B	1.458731137
8	btri	C	1.430918367
8	btri	D	1.501679312
8	btri	E	1.594997206
8	btri	F	1.5388618
12	btri	A	3.74986053
12	btri	B	3.822564908
12	btri	C	3.913856042
12	btri	D	3.825687526
12	btri	E	3.935885596
12	btri	F	3.976027606
16	btri	A	4.422282327
16	btri	B	4.489718435
16	btri	C	6.4843958
16	btri	D	4.921780083
16	btri	E	5.25938369
16	btri	F	4.649215006
24	btri	A	5.154263189
24	btri	B	5.264263697
24	btri	C	8.188389449
24	btri	D	5.855279787
24	btri	E	5.836291219
24	btri	F	5.455800322
28	btri	A	5.282499873
28	btri	B	5.282499873
28	btri	C	5.130681768
28	btri	D	7.93787247
28	btri	E	5.536691168
28	btri	F	5.845341943
32	btri	A	5.061062325
32	btri	B	5.194427217
32	btri	C	7.85996418
32	btri	D	5.74528148
32	btri	E	5.581724786
32	btri	F	5.517745364
38	btri	A	5.35550995
38	btri	B	5.319029384
38	btri	C	8.42749149
38	btri	D	5.980703531
38	btri	E	6.15083919
38	btri	F	5.567081548
48	btri	A	5.362766873
48	btri	B	5.373806758
48	btri	C	8.557457194
48	btri	D	6.014484207
48	btri	E	6.206659497
48	btri	F	5.596111017
62	btri	A	5.427004573
62	btri	B	5.45732272
62	btri	C	8.572778389
62	btri	D	5.986730799
62	btri	E	6.272657719
62	btri	F	5.782739013
72	btri	A	5.416630028
72	btri	B	5.422237615
72	btri	C	8.557113557
72	btri	D	6.017214243
72	btri	E	6.331299771
72	btri	F	5.56088966
96	btri	A	5.692800576
96	btri	B	5.494949276
96	btri	C	8.589370565
96	btri	D	6.1297822
96	btri	E	6.266737827
96	btri	F	5.747048268
120	btri	A	5.707879922
120	btri	B	5.645246846
120	btri	C	8.61239038
120	btri	D	6.119072148
120	btri	E	6.366612922
120	btri	F	5.89384063
