"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"fig|536231.75.peg.1"	919.297874184158	1.21784910713957	0.30700592388393	0.709592519856155	0.477956859547959	1
"fig|536231.75.peg.2"	822.334005773971	1.31067440249972	0.20517658604448	1.51418058214679	0.12998004518585	1
"fig|536231.75.peg.3"	146.687654228955	1.17736249634059	0.46888028677445	0.378268187730199	0.705231375284977	1
"fig|536231.75.peg.4"	1768.8648165085	0.120509958212344	0.151013319159192	0	1	1
"fig|536231.75.peg.5"	2285.18795880758	0.46805483481574	0.249525933583111	0	1	1
"fig|536231.75.peg.6"	4501.82970547066	0.400166460741224	0.246302483076183	0	1	1
"fig|536231.75.peg.7"	406.341287298575	0.134233910270943	0.25121767898951	0	1	1
"fig|536231.75.peg.8"	318.298135273157	-0.0153931969910621	0.296085723421375	0	1	1
"fig|536231.75.peg.9"	978.151882125831	0.616334531473082	0.289000465776112	0	1	1
"fig|536231.75.peg.10"	7.13588439823901	0.63391189319511	0.965770582261765	0	1	1
"fig|536231.75.peg.11"	2299.07157269556	0.829902656036471	0.548110600742617	0	1	1
"fig|536231.75.peg.12"	368.46240579588	1.02826934773102	0.513714627682618	0.0550292832005754	0.95611513451178	1
"fig|536231.75.peg.13"	3552.84300408138	2.01178903058037	0.388537758255031	2.60409447752113	0.00921173599507385	0.517805960884348
"fig|536231.75.peg.14"	0	NA	NA	NA	NA	NA
"fig|536231.75.peg.15"	1213.5421981346	0.334393915835988	0.312434619124805	0	1	1
"fig|536231.75.peg.16"	688.30487010225	0.103514699362425	0.353404792989772	0	1	1
"fig|536231.75.peg.17"	458.74291005593	0.142855781244981	0.278997452194412	0	1	1
"fig|536231.75.peg.18"	299.694729387826	-0.829660449286355	0.294480747597642	0	1	1
"fig|536231.75.peg.19"	426.559261353621	0.67690018872884	0.216695954745443	0	1	1
"fig|536231.75.peg.20"	309.880716187976	0.290324335167806	0.264235096501379	0	1	1
"fig|536231.75.peg.21"	13.4648022562479	0.244321625612306	0.557448941495349	0	1	1
"fig|536231.75.peg.22"	146.282629595116	0.0625676651381348	0.40682504825026	0	1	1
"fig|536231.75.peg.23"	401.24877782281	0.0173152310110109	0.152340610587971	0	1	1
"fig|536231.75.peg.24"	5828.94179113041	0.19643064723447	0.28914939877356	0	1	1
"fig|536231.75.peg.25"	0.687254433977668	1.92697412877204	3.03112274047073	0.305818737194418	NA	NA
"fig|536231.75.peg.26"	3.49481105203503	0.663808297651278	2.31152143359804	0	1	1
"fig|536231.75.peg.27"	3.07297085671083	1.25030110630722	1.06971662251728	0.233988236733394	0.814994110927733	1
"fig|536231.75.peg.28"	1.32545275195629	2.39020990789099	1.70500546995488	0.815369764137929	0.414860686152256	1
"fig|536231.75.peg.29"	6.03536319970867	-1.31074105388055	1.37876711852568	-0.225376025947606	0.821686760425473	1
"fig|536231.75.peg.30"	24.8848745392385	-0.127072523449417	0.829943504596514	0	1	1
"fig|536231.75.peg.31"	17.9166897594162	1.11591705570344	0.929788215322676	0.12467038600098	0.900784502996778	1
"fig|536231.75.peg.32"	1.03580421915957	2.51945320765676	3.02817701092202	0.501771594651301	0.615828196328254	1
"fig|536231.75.peg.33"	7.16631031339449	-0.204337340831037	1.61455940812291	0	1	1
"fig|536231.75.peg.34"	169.397546402935	0.605017458380522	0.73426720069984	0	1	1
"fig|536231.75.peg.35"	0	NA	NA	NA	NA	NA
"fig|536231.75.peg.36"	81.5809711380733	-1.03291554936162	0.936771935656973	-0.0351372069430461	0.971970332869129	1
"fig|536231.75.peg.37"	31.3289706630036	0.163744412504528	1.54376346189112	0	1	1
"fig|536231.75.peg.38"	1081.22401840934	0.639850356975714	0.403979676475443	0	1	1
"fig|536231.75.peg.39"	567.705908695408	-0.0350941492990852	0.30596987756156	0	1	1
"fig|536231.75.peg.40"	32.5141602641346	0.0986280230412544	0.859772355015616	0	1	1
"fig|536231.75.peg.41"	274.915436396328	0.6206690046074	0.509042776259841	0	1	1
"fig|536231.75.peg.42"	4.69043109021088	-0.109775779399218	1.28550676786275	0	1	1
"fig|536231.75.peg.43"	48.0843269243958	0.240085872204921	0.514431409769131	0	1	1
"fig|536231.75.peg.44"	340.462518890876	0.833034329064509	0.45741512813144	0	1	1
"fig|536231.75.peg.45"	547.990439685998	0.982286556547544	0.427463699987787	0	1	1
"fig|536231.75.peg.46"	3157.19835088432	-0.88381090503138	0.518955752102688	0	1	1
"fig|536231.75.peg.47"	4892.53219271212	-0.554240155030135	0.619444080324276	0	1	1
