patricID	ri_t12_A	ri_t12_B	ri_t12_C	ri_t48_A	ri_t48_B	ri_t48_C	btri_t12_riA	btri_t12_riB	btri_t12_riC	btri_t24_riA	btri_t24_riB	btri_t24_riC	btri_t36_riA	btri_t36_riB	btri_t36_riC
fig|536231.75.peg.1	7654.448	6929.314	3979	3822	3751	7296	462	322	398	240	152	119	210	149	165
fig|536231.75.peg.2	6564.191	5952.954	5078.526	3038.446	3647.665	5883.114	297	126	222	181	193	142	469	237	144
fig|536231.75.peg.3	795.751	740.185	797.401	649.441	909.498	1295.642	30.949	19	27.759	68.692	31.723	0	110.857	56	50
fig|536231.75.peg.4	7445.057	7095.861	4591.072	6970.112	6669.837	11460.244	753.051	505	634.241	968.308	603.277	491	1089.143	809	583
fig|536231.75.peg.5	12057.993	11234	6651	9794	10300	14782	1153	882	1177	744	732	685	612	533	589
fig|536231.75.peg.6	18039.006	16929	11216	22577	22438	33574	1994	1562	1749	1483	1616	1487	1264	1548	1459
fig|536231.75.peg.7	1608	1280	1145	1804	1733	2537	169	138	168	184	170	97	115	201	154
fig|536231.75.peg.8	1227	1045	1394	1222	1006	1384	134	98	95	213	48	143	117	161	144
fig|536231.75.peg.9	5099.023	5101	6861.972	3423	2989.814	4917.448	304	227	279	662	368	152	326	332	332
fig|536231.75.peg.10	31.977	46	70.028	9.012	19	30.552	1	2	10	6	0	0	5	0	0
fig|536231.75.peg.11	16383	6396	7814	13204.988	12863.186	17511	236	223	149	576	309	299	5904	624	555
fig|536231.75.peg.12	2141.254	688	756	2514.783	2625.103	4144.654	61	36	28	98	58	63	706.917	107	76
fig|536231.75.peg.13	21026.889	5199.062	7738	37192.217	37880.897	43953.346	471	527	528	610	584	673	1648.083	654	503
fig|536231.75.peg.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|536231.75.peg.15	2631	1939	5563	6573	5844	9774	532	371	375	659	338	224	1216	411	314
fig|536231.75.peg.16	2116	1230	3504	2291	2890	4780	277	212	286	201	443	365	318	182	103
fig|536231.75.peg.17	1559	994	2088.633	1575	2197	2910.413	177	146	192	272	156	107	195.504	278	102
fig|536231.75.peg.18	848.004	390	1095.367	691	742	934.587	112	97	99	273	211	117	212.496	131	104
fig|536231.75.peg.19	2692	2188	2528	1295	1459	2819	161	116	127	239	83	97	239	102	152
fig|536231.75.peg.20	1141	1006	668	1786	1254	2471	126	107	125	184	113	51	214	67	111
fig|536231.75.peg.21	56	15	31	55	117	63	7	3	2	7	7	4	6	3	7
fig|536231.75.peg.22	728	581	382	479	555	846	80	63	78	43	37	110	76	11	21
fig|536231.75.peg.23	1795	1448	1334	1344	1405	2210	201	126	165	143	134	111	282	139	200
fig|536231.75.peg.24	32768.683	24622.766	42605	12119	12381	19942	2062.294	1498	1626	3027	1948	2013	4532	2252	2070
fig|536231.75.peg.25	0	0	0	3	29	4	0	0	0	0	0	0	0	0	0
fig|536231.75.peg.26	0	1	0	17	53	30	0	0	0	0	9	0	0	0	0
fig|536231.75.peg.27	7	14.008	15	27	21	21	2	3	1	0	0	0	0	79	0
fig|536231.75.peg.28	2	1.992	3	7	27	30	1	0	0	0	0	0	0	0	0
fig|536231.75.peg.29	7	2	0	22	19	27	2	0	4	0	0	0	12	15	0
fig|536231.75.peg.30	5	22	10	192	155	153	9	10	2	11	0	11	18	7	26
