patricID	btri_t12_riA	btri_t12_riB	btri_t12_riC	btri_t36_riA	btri_t36_riB	btri_t36_riC
fig|536231.75.peg.1	462	322	398	210	149	165
fig|536231.75.peg.2	297	126	222	469	237	144
fig|536231.75.peg.3	30.949	19	27.759	110.857	56	50
fig|536231.75.peg.4	753.051	505	634.241	1089.143	809	583
fig|536231.75.peg.5	1153	882	1177	612	533	589
fig|536231.75.peg.6	1994	1562	1749	1264	1548	1459
fig|536231.75.peg.7	169	138	168	115	201	154
fig|536231.75.peg.8	134	98	95	117	161	144
fig|536231.75.peg.9	304	227	279	326	332	332
fig|536231.75.peg.10	1	2	10	5	0	0
fig|536231.75.peg.11	236	223	149	5904	624	555
fig|536231.75.peg.12	61	36	28	706.917	107	76
fig|536231.75.peg.13	471	527	528	1648.083	654	503
fig|536231.75.peg.14	0	0	0	0	0	0
fig|536231.75.peg.15	532	371	375	1216	411	314
fig|536231.75.peg.16	277	212	286	318	182	103
fig|536231.75.peg.17	177	146	192	195.504	278	102
fig|536231.75.peg.18	112	97	99	212.496	131	104
fig|536231.75.peg.19	161	116	127	239	102	152
fig|536231.75.peg.20	126	107	125	214	67	111
fig|536231.75.peg.21	7	3	2	6	3	7
fig|536231.75.peg.22	80	63	78	76	11	21
fig|536231.75.peg.23	201	126	165	282	139	200
fig|536231.75.peg.24	2062.294	1498	1626	4532	2252	2070
fig|536231.75.peg.25	0	0	0	0	0	0
fig|536231.75.peg.26	0	0	0	0	0	0
fig|536231.75.peg.27	2	3	1	0	79	0
fig|536231.75.peg.28	1	0	0	0	0	0
fig|536231.75.peg.29	2	0	4	12	15	0
fig|536231.75.peg.30	9	10	2	18	7	26
fig|536231.75.peg.31	4	2	7	5	0	20
fig|536231.75.peg.32	0	0	0	0	0	18
fig|536231.75.peg.33	0	0	0	0	18	0
fig|536231.75.peg.34	22	30	29	250	109	34
fig|536231.75.peg.35	0	0	0	0	0	0
fig|536231.75.peg.36	6	4	4	337	80	18
fig|536231.75.peg.37	2	6	0	88	0	44
fig|536231.75.peg.38	346	330	287	1091	454	244
fig|536231.75.peg.39	351	258	254	404	200	106
fig|536231.75.peg.40	16	8	19	30.998	0	29
fig|536231.75.peg.41	52	59	55	279.002	165	110
fig|536231.75.peg.42	0	1	1	6	11	0
fig|536231.75.peg.43	25	27	16	18	28	25
fig|536231.75.peg.44	93	93	89	122	90	141
fig|536231.75.peg.45	135	145	120	266	129	180
fig|536231.75.peg.46	2401	2105	2757	251	524	699
fig|536231.75.peg.47	4158	3020	4679	220	547	764
fig|536231.75.peg.48	490	410	520	78	104	53
fig|536231.75.peg.49	325	233	262	173	107	84
fig|536231.75.peg.50	15	4	4	13	26	23
fig|536231.75.peg.51	3	3	19	46	11	0
fig|536231.75.peg.52	34	25	27	22	6	0
